Country or Area,Children orphaned by AIDS
Angola,140.0
Benin,47.0
Botswana,100.0
Burkina Faso,130.0
Burundi,120.0
Cameroon,340.0
CEE/CIS,170.0
Central African Republic,140.0
Chad,180.0
Congo,51.0
Côte d'Ivoire,410.0
Djibouti,9.0
East Asia and Pacific,510.0
Eastern and Southern Africa,10700.0
Equatorial Guinea,6.0
Eritrea,19.0
Ethiopia,950.0
Gabon,21.0
Ghana,180.0
Guinea,52.0
Guinea-Bissau,8.0
Haiti,87.0
Kenya,1100.0
Latin America and Caribbean,600.0
Least Developed Countries/Territories,7800.0
Lesotho,140.0
Liberia,33.0
Malawi,610.0
Middle East and North Africa,160.0
Mozambique,800.0
Namibia,75.0
Nigeria,2200.0
Papua New Guinea,12.0
Rwanda,170.0
Sierra Leone,18.0
South Africa,2100.0
South Asia,600.0
South Sudan,75.0
Sub-Saharan Africa,15200.0
Swaziland,75.0
Togo,89.0
Uganda,1100.0
United Republic of Tanzania,1300.0
Western and Central Africa,4500.0
World,17300.0
Zambia,680.0
Zimbabwe,1000.0
