Country or Area,Subgroup,Condom use at last high-risk sex
Albania,Male 15-24 yr,55.0
Armenia,Male 15-24 yr,86.0
Azerbaijan,Male 15-24 yr,29.0
Benin,Female 15-24 yr,35.0
Benin,Male 15-24 yr,44.0
Bolivia (Plurinational State of),Male 15-24 yr,41.0
Burkina Faso,Female 15-24 yr,65.0
Burkina Faso,Male 15-24 yr,75.0
Cameroon,Female 15-24 yr,47.0
Cameroon,Male 15-24 yr,67.0
Central African Republic,Female 15-24 yr,59.0
Central African Republic,Male 15-24 yr,73.0
Chad,Female 15-24 yr,57.0
Colombia,Female 15-24 yr,39.0
Congo,Female 15-24 yr,26.0
Congo,Male 15-24 yr,40.0
Côte d'Ivoire,Female 15-24 yr,34.0
Côte d'Ivoire,Male 15-24 yr,57.0
Cuba,Female 15-24 yr,66.0
Democratic Republic of the Congo,Female 15-24 yr,16.0
Dominican Republic,Female 15-24 yr,34.0
Dominican Republic,Male 15-24 yr,62.0
Eastern and Southern Africa,Female 15-24 yr,30.0
Eastern and Southern Africa,Male 15-24 yr,44.0
Ethiopia,Male 15-24 yr,47.0
Gambia,Female 15-24 yr,49.0
Ghana,Male 15-24 yr,42.0
Guatemala,Female 15-24 yr,27.0
Guatemala,Male 15-24 yr,74.0
Guinea-Bissau,Female 15-24 yr,50.0
Guyana,Male 15-24 yr,76.0
Haiti,Female 15-24 yr,23.0
Haiti,Male 15-24 yr,51.0
Honduras,Female 15-24 yr,27.0
India,Female 15-24 yr,17.0
India,Male 15-24 yr,32.0
Jamaica,Female 15-24 yr,57.0
Jamaica,Male 15-24 yr,77.0
Kenya,Female 15-24 yr,37.0
Kenya,Male 15-24 yr,67.0
Kiribati,Male 15-24 yr,33.0
Lesotho,Female 15-24 yr,45.0
Lesotho,Male 15-24 yr,60.0
Liberia,Female 15-24 yr,16.0
Liberia,Male 15-24 yr,28.0
Madagascar,Female 15-24 yr,7.0
Madagascar,Male 15-24 yr,9.0
Malawi,Female 15-24 yr,31.0
Malawi,Male 15-24 yr,41.0
Mali,Female 15-24 yr,27.0
Marshall Islands,Female 15-24 yr,9.0
Marshall Islands,Male 15-24 yr,23.0
Mongolia,Female 15-24 yr,65.0
Mongolia,Male 15-24 yr,69.0
Mozambique,Female 15-24 yr,33.0
Mozambique,Male 15-24 yr,37.0
Namibia,Female 15-24 yr,74.0
Namibia,Male 15-24 yr,82.0
Nauru,Female 15-24 yr,8.0
Nauru,Male 15-24 yr,17.0
Nepal,Male 15-24 yr,45.0
Niger,Male 15-24 yr,42.0
Nigeria,Female 15-24 yr,29.0
Nigeria,Male 15-24 yr,56.0
Paraguay,Female 15-24 yr,51.0
Peru,Female 15-24 yr,38.0
Rwanda,Female 15-24 yr,29.0
Rwanda,Male 15-24 yr,58.0
Sao Tome and Principe,Male 15-24 yr,59.0
Senegal,Male 15-24 yr,49.0
Serbia,Female 15-24 yr,65.0
Serbia,Male 15-24 yr,63.0
Sierra Leone,Female 15-24 yr,12.0
Solomon Islands,Female 15-24 yr,18.0
Solomon Islands,Male 15-24 yr,39.0
South Asia,Female 15-24 yr,17.0
South Asia,Male 15-24 yr,33.0
South Sudan,Female 15-24 yr,7.0
Sub-Saharan Africa,Female 15-24 yr,30.0
Sub-Saharan Africa,Male 15-24 yr,49.0
Suriname,Female 15-24 yr,80.0
Swaziland,Female 15-24 yr,69.0
Swaziland,Male 15-24 yr,85.0
Tajikistan,Male 15-24 yr,78.0
The former Yugoslav Republic of Macedonia,Female 15-24 yr,36.0
Togo,Female 15-24 yr,39.0
Togo,Male 15-24 yr,54.0
Trinidad and Tobago,Female 15-24 yr,67.0
Uganda,Female 15-24 yr,24.0
Uganda,Male 15-24 yr,31.0
Ukraine,Female 15-24 yr,63.0
Ukraine,Male 15-24 yr,64.0
United Republic of Tanzania,Female 15-24 yr,32.0
United Republic of Tanzania,Male 15-24 yr,36.0
Western and Central Africa,Female 15-24 yr,30.0
Western and Central Africa,Male 15-24 yr,56.0
Zambia,Female 15-24 yr,42.0
Zambia,Male 15-24 yr,43.0
Zimbabwe,Female 15-24 yr,39.0
Zimbabwe,Male 15-24 yr,51.0
