Country or Area,Year,Crude death rate (CDR)
Afghanistan,2011.0,16.0
Afghanistan,1990.0,22.0
Afghanistan,1970.0,29.0
Albania,2011.0,6.0
Albania,1990.0,6.0
Albania,1970.0,8.0
Algeria,2011.0,5.0
Algeria,1990.0,6.0
Algeria,1970.0,16.0
Angola,2011.0,14.0
Angola,1990.0,23.0
Angola,1970.0,27.0
Argentina,2011.0,8.0
Argentina,1990.0,8.0
Argentina,1970.0,9.0
Armenia,2011.0,9.0
Armenia,1990.0,8.0
Armenia,1970.0,5.0
Australia,2011.0,7.0
Australia,1990.0,7.0
Australia,1970.0,9.0
Austria,2011.0,9.0
Austria,1990.0,11.0
Austria,1970.0,13.0
Azerbaijan,2011.0,7.0
Azerbaijan,1990.0,7.0
Azerbaijan,1970.0,7.0
Bahamas,2011.0,5.0
Bahamas,1990.0,6.0
Bahamas,1970.0,6.0
Bahrain,2011.0,3.0
Bahrain,1990.0,3.0
Bahrain,1970.0,7.0
Bangladesh,2011.0,6.0
Bangladesh,1990.0,10.0
Bangladesh,1970.0,23.0
Barbados,2011.0,9.0
Barbados,1990.0,8.0
Barbados,1970.0,9.0
Belarus,2011.0,14.0
Belarus,1990.0,11.0
Belarus,1970.0,7.0
Belgium,2011.0,10.0
Belgium,1990.0,11.0
Belgium,1970.0,12.0
Belize,2011.0,4.0
Belize,1990.0,5.0
Belize,1970.0,8.0
Benin,2011.0,12.0
Benin,1990.0,17.0
Benin,1970.0,26.0
Bhutan,2011.0,7.0
Bhutan,1990.0,14.0
Bhutan,1970.0,23.0
Bolivia (Plurinational State of),2011.0,7.0
Bolivia (Plurinational State of),1990.0,11.0
Bolivia (Plurinational State of),1970.0,20.0
Bosnia and Herzegovina,2011.0,10.0
Bosnia and Herzegovina,1990.0,9.0
Bosnia and Herzegovina,1970.0,7.0
Botswana,2011.0,13.0
Botswana,1990.0,7.0
Botswana,1970.0,13.0
Brazil,2011.0,6.0
Brazil,1990.0,7.0
Brazil,1970.0,10.0
Brunei Darussalam,2011.0,3.0
Brunei Darussalam,1990.0,4.0
Brunei Darussalam,1970.0,7.0
Bulgaria,2011.0,15.0
Bulgaria,1990.0,12.0
Bulgaria,1970.0,9.0
Burkina Faso,2011.0,12.0
Burkina Faso,1990.0,17.0
Burkina Faso,1970.0,23.0
Burundi,2011.0,14.0
Burundi,1990.0,19.0
Burundi,1970.0,20.0
Cambodia,2011.0,8.0
Cambodia,1990.0,12.0
Cambodia,1970.0,20.0
Cameroon,2011.0,14.0
Cameroon,1990.0,14.0
Cameroon,1970.0,19.0
Canada,2011.0,8.0
Canada,1990.0,7.0
Canada,1970.0,7.0
Cape Verde,2011.0,5.0
Cape Verde,1990.0,9.0
Cape Verde,1970.0,15.0
CEE/CIS,2011.0,11.0
CEE/CIS,1990.0,11.0
CEE/CIS,1970.0,10.0
Central African Republic,2011.0,16.0
Central African Republic,1990.0,17.0
Central African Republic,1970.0,23.0
Chad,2011.0,16.0
Chad,1990.0,17.0
Chad,1970.0,22.0
Chile,2011.0,6.0
Chile,1990.0,6.0
Chile,1970.0,10.0
China,2011.0,7.0
China,1990.0,7.0
China,1970.0,9.0
Colombia,2011.0,5.0
Colombia,1990.0,6.0
