Country or Area,Early initiation of breastfeeding (within one hour of birth)
Albania,43.0
Algeria,50.0
Angola,55.0
Armenia,36.0
Azerbaijan,32.0
Bangladesh,36.0
Belarus,21.0
Belize,51.0
Benin,32.0
Bhutan,59.0
Bolivia (Plurinational State of),64.0
Bosnia and Herzegovina,57.0
Botswana,40.0
Brazil,43.0
Burkina Faso,20.0
Cambodia,65.0
Cameroon,20.0
Cape Verde,73.0
Central African Republic,43.0
Chad,29.0
China,41.0
Colombia,57.0
Comoros,25.0
Congo,39.0
Côte d'Ivoire,25.0
Cuba,70.0
Democratic People's Republic of Korea,18.0
Democratic Republic of the Congo,43.0
Djibouti,67.0
Dominican Republic,65.0
East Asia and Pacific,41.0
Eastern and Southern Africa,56.0
Egypt,56.0
El Salvador,33.0
Eritrea,78.0
Ethiopia,52.0
Fiji,57.0
Gabon,71.0
Gambia,52.0
Georgia,69.0
Ghana,52.0
Guatemala,56.0
Guinea,40.0
Guinea-Bissau,55.0
Guyana,43.0
Haiti,44.0
Honduras,79.0
India,41.0
Indonesia,29.0
Iran (Islamic Republic of),56.0
Iraq,31.0
Jamaica,62.0
Jordan,39.0
Kazakhstan,64.0
Kenya,58.0
Kyrgyzstan,65.0
Lao People's Democratic Republic,30.0
Least Developed Countries/Territories,52.0
Lesotho,53.0
Liberia,44.0
Madagascar,72.0
Malawi,58.0
Maldives,64.0
Mali,46.0
Marshall Islands,73.0
Mauritania,81.0
Mexico,18.0
Mongolia,71.0
Montenegro,25.0
Morocco,52.0
Mozambique,63.0
Myanmar,76.0
Namibia,71.0
Nauru,76.0
Nepal,45.0
Nicaragua,54.0
Niger,42.0
Nigeria,38.0
Oman,85.0
Pakistan,29.0
Paraguay,47.0
Peru,51.0
Philippines,54.0
Republic of Moldova,65.0
Rwanda,71.0
Samoa,88.0
Sao Tome and Principe,45.0
Senegal,23.0
Serbia,8.0
Sierra Leone,45.0
Solomon Islands,75.0
Somalia,26.0
South Africa,61.0
South Asia,39.0
Sri Lanka,80.0
Sub-Saharan Africa,48.0
Suriname,34.0
Swaziland,55.0
Syrian Arab Republic,46.0
Tajikistan,57.0
Thailand,50.0
The former Yugoslav Republic of Macedonia,21.0
Timor-Leste,82.0
Togo,46.0
Trinidad and Tobago,41.0
Tunisia,87.0
Turkey,39.0
Turkmenistan,60.0
Tuvalu,15.0
Uganda,42.0
Ukraine,41.0
United Republic of Tanzania,49.0
Uruguay,59.0
Uzbekistan,67.0
Vanuatu,72.0
Viet Nam,40.0
Western and Central Africa,41.0
World,42.0
Yemen,30.0
Zambia,57.0
Zimbabwe,69.0
