Country or Area,Exclusive breastfeeding rate
Albania,39.0
Algeria,7.0
Angola,11.0
Armenia,35.0
Azerbaijan,12.0
Bangladesh,64.0
Belarus,9.0
Belize,10.0
Benin,43.0
Bhutan,49.0
Bolivia (Plurinational State of),60.0
Bosnia and Herzegovina,18.0
Botswana,20.0
Brazil,41.0
Burkina Faso,25.0
Burundi,69.0
Cambodia,74.0
Cameroon,20.0
Cape Verde,60.0
Central African Republic,34.0
Chad,3.0
China,28.0
Colombia,43.0
Comoros,21.0
Congo,19.0
Costa Rica,15.0
Côte d'Ivoire,4.0
Cuba,49.0
Democratic People's Republic of Korea,65.0
Democratic Republic of the Congo,37.0
Djibouti,1.0
Dominican Republic,8.0
East Asia and Pacific,28.0
Eastern and Southern Africa,52.0
Ecuador,40.0
Egypt,53.0
El Salvador,31.0
Equatorial Guinea,24.0
Eritrea,52.0
Ethiopia,52.0
Fiji,40.0
Gabon,6.0
Gambia,34.0
Georgia,55.0
Ghana,63.0
Guatemala,50.0
Guinea,48.0
Guinea-Bissau,38.0
Guyana,33.0
Haiti,41.0
Honduras,30.0
India,46.0
Indonesia,32.0
Iran (Islamic Republic of),23.0
Iraq,25.0
Jamaica,15.0
Jordan,22.0
Kazakhstan,17.0
Kenya,32.0
Kiribati,69.0
Kyrgyzstan,32.0
Lao People's Democratic Republic,26.0
Latin America and Caribbean,37.0
Least Developed Countries/Territories,49.0
Lebanon,15.0
Lesotho,54.0
Liberia,34.0
Madagascar,51.0
Malawi,72.0
Maldives,48.0
Mali,38.0
Marshall Islands,31.0
Mauritania,46.0
Mauritius,21.0
Mexico,19.0
Mongolia,59.0
Montenegro,19.0
Morocco,31.0
Mozambique,41.0
Myanmar,24.0
Namibia,24.0
Nauru,67.0
Nepal,70.0
Nicaragua,31.0
Niger,27.0
Nigeria,13.0
Pakistan,37.0
Papua New Guinea,56.0
Paraguay,24.0
Peru,71.0
Philippines,34.0
Republic of Moldova,46.0
Romania,16.0
Rwanda,85.0
Samoa,51.0
Sao Tome and Principe,51.0
Senegal,39.0
Serbia,14.0
Sierra Leone,32.0
Solomon Islands,74.0
Somalia,9.0
South Africa,8.0
South Asia,47.0
South Sudan,45.0
Sri Lanka,76.0
State of Palestine,27.0
Sub-Saharan Africa,37.0
Sudan,41.0
Suriname,2.0
Swaziland,44.0
Syrian Arab Republic,43.0
Tajikistan,25.0
Thailand,15.0
The former Yugoslav Republic of Macedonia,23.0
Timor-Leste,52.0
Togo,62.0
Trinidad and Tobago,13.0
Tunisia,6.0
Turkey,42.0
Turkmenistan,11.0
Tuvalu,35.0
Uganda,62.0
Ukraine,18.0
United Republic of Tanzania,50.0
Uruguay,65.0
Uzbekistan,26.0
Vanuatu,40.0
Viet Nam,17.0
Western and Central Africa,25.0
World,39.0
Yemen,12.0
Zambia,61.0
Zimbabwe,31.0
