Country or Area,Year,Infant mortality rate (IMR)
Afghanistan,2011.0,73.0
Afghanistan,1990.0,129.0
Albania,2011.0,13.0
Albania,1990.0,36.0
Algeria,2011.0,26.0
Algeria,1990.0,54.0
Andorra,2011.0,3.0
Andorra,1990.0,7.0
Angola,2011.0,96.0
Angola,1990.0,144.0
Antigua and Barbuda,2011.0,6.0
Antigua and Barbuda,1990.0,23.0
Argentina,2011.0,13.0
Argentina,1990.0,24.0
Armenia,2011.0,16.0
Armenia,1990.0,40.0
Australia,2011.0,4.0
Australia,1990.0,8.0
Austria,2011.0,4.0
Austria,1990.0,8.0
Azerbaijan,2011.0,39.0
Azerbaijan,1990.0,75.0
Bahamas,2011.0,14.0
Bahamas,1990.0,18.0
Bahrain,2011.0,9.0
Bahrain,1990.0,18.0
Bangladesh,2011.0,37.0
Bangladesh,1990.0,97.0
Barbados,2011.0,18.0
Barbados,1990.0,16.0
Belarus,2011.0,4.0
Belarus,1990.0,14.0
Belgium,2011.0,4.0
Belgium,1990.0,9.0
Belize,2011.0,15.0
Belize,1990.0,35.0
Benin,2011.0,68.0
Benin,1990.0,107.0
Bhutan,2011.0,42.0
Bhutan,1990.0,96.0
Bolivia (Plurinational State of),2011.0,39.0
Bolivia (Plurinational State of),1990.0,83.0
Bosnia and Herzegovina,2011.0,7.0
Bosnia and Herzegovina,1990.0,17.0
Botswana,2011.0,20.0
Botswana,1990.0,41.0
Brazil,2011.0,14.0
Brazil,1990.0,49.0
Brunei Darussalam,2011.0,6.0
Brunei Darussalam,1990.0,9.0
Bulgaria,2011.0,11.0
Bulgaria,1990.0,19.0
Burkina Faso,2011.0,82.0
Burkina Faso,1990.0,105.0
Burundi,2011.0,86.0
Burundi,1990.0,110.0
Cambodia,2011.0,36.0
Cambodia,1990.0,85.0
Cameroon,2011.0,79.0
Cameroon,1990.0,90.0
Canada,2011.0,5.0
Canada,1990.0,7.0
Cape Verde,2011.0,18.0
Cape Verde,1990.0,45.0
CEE/CIS,2011.0,18.0
CEE/CIS,1990.0,40.0
Central African Republic,2011.0,108.0
Central African Republic,1990.0,112.0
Chad,2011.0,97.0
Chad,1990.0,113.0
Chile,2011.0,8.0
Chile,1990.0,16.0
China,2011.0,13.0
China,1990.0,39.0
Colombia,2011.0,15.0
Colombia,1990.0,28.0
Comoros,2011.0,59.0
Comoros,1990.0,86.0
Congo,2011.0,64.0
Congo,1990.0,75.0
Cook Islands,2011.0,8.0
Cook Islands,1990.0,16.0
Costa Rica,2011.0,9.0
Costa Rica,1990.0,15.0
Côte d'Ivoire,2011.0,81.0
Côte d'Ivoire,1990.0,104.0
Croatia,2011.0,4.0
Croatia,1990.0,11.0
Cuba,2011.0,5.0
Cuba,1990.0,11.0
Cyprus,2011.0,3.0
Cyprus,1990.0,10.0
Czech Republic,2011.0,3.0
Czech Republic,1990.0,13.0
Democratic People's Republic of Korea,2011.0,26.0
Democratic People's Republic of Korea,1990.0,23.0
Democratic Republic of the Congo,2011.0,111.0
Democratic Republic of the Congo,1990.0,117.0
Denmark,2011.0,3.0
Denmark,1990.0,7.0
Djibouti,2011.0,72.0
Djibouti,1990.0,94.0
Dominica,2011.0,11.0
Dominica,1990.0,14.0
Dominican Republic,2011.0,21.0
Dominican Republic,1990.0,45.0
East Asia and Pacific,2011.0,17.0
East Asia and Pacific,1990.0,41.0
Eastern and Southern Africa,2011.0,55.0
Eastern and Southern Africa,1990.0,100.0
Ecuador,2011.0,20.0
Ecuador,1990.0,41.0
Egypt,2011.0,18.0
Egypt,1990.0,63.0
El Salvador,2011.0,13.0
El Salvador,1990.0,47.0
Equatorial Guinea,2011.0,80.0
Equatorial Guinea,1990.0,118.0
Eritrea,2011.0,46.0
Eritrea,1990.0,86.0
Estonia,2011.0,3.0
Estonia,1990.0,16.0
Ethiopia,2011.0,52.0
Ethiopia,1990.0,118.0
Fiji,2011.0,14.0
Fiji,1990.0,25.0
Finland,2011.0,2.0
Finland,1990.0,6.0
France,2011.0,3.0
France,1990.0,7.0
Gabon,2011.0,49.0
Gabon,1990.0,69.0
Gambia,2011.0,58.0
Gambia,1990.0,78.0
Georgia,2011.0,18.0
Georgia,1990.0,40.0
Germany,2011.0,3.0
Germany,1990.0,7.0
Ghana,2011.0,52.0
Ghana,1990.0,76.0
Greece,2011.0,4.0
Greece,1990.0,12.0
Grenada,2011.0,10.0
Grenada,1990.0,17.0
Guatemala,2011.0,24.0
Guatemala,1990.0,56.0
Guinea,2011.0,79.0
Guinea,1990.0,135.0
Guinea-Bissau,2011.0,98.0
Guinea-Bissau,1990.0,125.0
Guyana,2011.0,29.0
Guyana,1990.0,48.0
Haiti,2011.0,53.0
Haiti,1990.0,99.0
Honduras,2011.0,18.0
Honduras,1990.0,43.0
Hungary,2011.0,5.0
Hungary,1990.0,17.0
Iceland,2011.0,2.0
Iceland,1990.0,5.0
India,2011.0,47.0
India,1990.0,81.0
Indonesia,2011.0,25.0
Indonesia,1990.0,54.0
Iran (Islamic Republic of),2011.0,21.0
Iran (Islamic Republic of),1990.0,47.0
Iraq,2011.0,31.0
Iraq,1990.0,37.0
Ireland,2011.0,3.0
Ireland,1990.0,8.0
Israel,2011.0,4.0
Israel,1990.0,10.0
Italy,2011.0,3.0
Italy,1990.0,8.0
Jamaica,2011.0,16.0
Jamaica,1990.0,28.0
Japan,2011.0,2.0
Japan,1990.0,5.0
Jordan,2011.0,18.0
Jordan,1990.0,31.0
Kazakhstan,2011.0,25.0
Kazakhstan,1990.0,48.0
Kenya,2011.0,48.0
Kenya,1990.0,64.0
Kiribati,2011.0,38.0
Kiribati,1990.0,64.0
Kuwait,2011.0,9.0
Kuwait,1990.0,14.0
Kyrgyzstan,2011.0,27.0
Kyrgyzstan,1990.0,58.0
Lao People's Democratic Republic,2011.0,34.0
Lao People's Democratic Republic,1990.0,102.0
Latin America and Caribbean,2011.0,16.0
Latin America and Caribbean,1990.0,42.0
Latvia,2011.0,7.0
Latvia,1990.0,17.0
Least Developed Countries/Territories,2011.0,65.0
Least Developed Countries/Territories,1990.0,107.0
Lebanon,2011.0,8.0
Lebanon,1990.0,27.0
Lesotho,2011.0,63.0
Lesotho,1990.0,71.0
Liberia,2011.0,58.0
Liberia,1990.0,161.0
Libya,2011.0,13.0
Libya,1990.0,33.0
Lithuania,2011.0,5.0
Lithuania,1990.0,14.0
Luxembourg,2011.0,2.0
Luxembourg,1990.0,7.0
Madagascar,2011.0,43.0
Madagascar,1990.0,98.0
Malawi,2011.0,53.0
Malawi,1990.0,134.0
Malaysia,2011.0,6.0
Malaysia,1990.0,15.0
Maldives,2011.0,9.0
Maldives,1990.0,76.0
Mali,2011.0,98.0
Mali,1990.0,132.0
Malta,2011.0,5.0
Malta,1990.0,10.0
Marshall Islands,2011.0,22.0
Marshall Islands,1990.0,41.0
Mauritania,2011.0,76.0
Mauritania,1990.0,81.0
Mauritius,2011.0,13.0
Mauritius,1990.0,21.0
Mexico,2011.0,13.0
Mexico,1990.0,38.0
Micronesia (Federated States of),2011.0,34.0
Micronesia (Federated States of),1990.0,44.0
Middle East and North Africa,2011.0,28.0
Middle East and North Africa,1990.0,54.0
Monaco,2011.0,3.0
Monaco,1990.0,6.0
Mongolia,2011.0,26.0
Mongolia,1990.0,76.0
Montenegro,2011.0,7.0
Montenegro,1990.0,16.0
Morocco,2011.0,28.0
Morocco,1990.0,64.0
Mozambique,2011.0,72.0
Mozambique,1990.0,151.0
Myanmar,2011.0,48.0
Myanmar,1990.0,77.0
Namibia,2011.0,30.0
Namibia,1990.0,49.0
Nauru,2011.0,32.0
Nauru,1990.0,32.0
Nepal,2011.0,39.0
Nepal,1990.0,94.0
Netherlands,2011.0,3.0
Netherlands,1990.0,7.0
New Zealand,2011.0,5.0
New Zealand,1990.0,9.0
Nicaragua,2011.0,22.0
Nicaragua,1990.0,50.0
Niger,2011.0,66.0
Niger,1990.0,133.0
Nigeria,2011.0,78.0
Nigeria,1990.0,127.0
Niue,2011.0,18.0
Niue,1990.0,12.0
Norway,2011.0,3.0
Norway,1990.0,7.0
Oman,2011.0,7.0
Oman,1990.0,36.0
Pakistan,2011.0,59.0
Pakistan,1990.0,95.0
Palau,2011.0,14.0
Palau,1990.0,27.0
Panama,2011.0,17.0
Panama,1990.0,26.0
Papua New Guinea,2011.0,45.0
Papua New Guinea,1990.0,64.0
Paraguay,2011.0,19.0
Paraguay,1990.0,41.0
Peru,2011.0,14.0
Peru,1990.0,54.0
Philippines,2011.0,20.0
Philippines,1990.0,40.0
Poland,2011.0,5.0
Poland,1990.0,15.0
Portugal,2011.0,3.0
Portugal,1990.0,11.0
Qatar,2011.0,6.0
Qatar,1990.0,17.0
Republic of Korea,2011.0,4.0
Republic of Korea,1990.0,6.0
Republic of Moldova,2011.0,14.0
Republic of Moldova,1990.0,29.0
Romania,2011.0,11.0
Romania,1990.0,31.0
Russian Federation,2011.0,10.0
Russian Federation,1990.0,23.0
Rwanda,2011.0,38.0
Rwanda,1990.0,95.0
