Country or Area,People living with HIVAIDS (high estimate)
Afghanistan,17
Algeria,28
Angola,340
Argentina,120
Armenia,7
Australia,27
Austria,24
Azerbaijan,9
Bahamas,7
Bangladesh,16
Barbados,2
Belarus,30
Belgium,26
Belize,5
Benin,73
Bhutan,3
Bolivia (Plurinational State of),30
Botswana,310
Brazil,570
Bulgaria,6
Burkina Faso,150
Burundi,93
Cambodia,96
Cameroon,600
Canada,89
Cape Verde,5
CEE/CIS,1800
Central African Republic,130
Chad,280
Chile,73
China,940
Colombia,240
Comoros,<0.5
Congo,92
Costa Rica,10
Côte d'Ivoire,400
Croatia,2
Cuba,16
Czech Republic,2
Denmark,7
Djibouti,12
Dominican Republic,50
East Asia and Pacific,2700
Eastern and Southern Africa,17800
Ecuador,84
Egypt,18
El Salvador,59
Equatorial Guinea,29
Eritrea,52
Estonia,12
Ethiopia,870
Fiji,<0.5
Finland,4
France,200
Gabon,67
Gambia,28
Georgia,8
Germany,82
Ghana,260
Greece,13
Guatemala,280
Guinea,100
Guinea-Bissau,28
Guyana,7
Haiti,130
Honduras,45
Hungary,5
Iceland,<1
Indonesia,570
Iran (Islamic Republic of),120
Ireland,10
Israel,11
Italy,200
Jamaica,39
Japan,10
Kazakhstan,23
Kenya,1700
Kyrgyzstan,19
Lao People's Democratic Republic,15
Latin America and Caribbean,1900
Latvia,13
Least Developed Countries/Territories,10900
Lebanon,4
Lesotho,340
Liberia,32
Lithuania,2
Luxembourg,1
Madagascar,47
Malawi,970
Malaysia,89
Maldives,<0.1
Mali,140
Malta,<0.5
Mauritania,41
Mauritius,10
Mexico,200
Middle East and North Africa,320
Mongolia,<1
Morocco,46
Mozambique,1600
Myanmar,260
Namibia,230
Nepal,100
Netherlands,36
New Zealand,3
Nicaragua,19
Niger,70
Nigeria,3800
Norway,6
Pakistan,260
Panama,29
Papua New Guinea,33
Paraguay,32
Peru,200
Philippines,24
Poland,46
Portugal,62
Republic of Korea,19
Republic of Moldova,17
Romania,20
Russian Federation,1300
Rwanda,250
Sao Tome and Principe,1
Senegal,65
Serbia,5
Sierra Leone,69
Singapore,5
Slovakia,<1
Slovenia,<1
Somalia,52
South Africa,5900
South Asia,3400
South Sudan,200
Spain,160
Sri Lanka,11
Sub-Saharan Africa,24900
Sudan,84
Suriname,5
Swaziland,200
Sweden,13
Switzerland,27
Tajikistan,15
Thailand,550
Togo,190
Trinidad and Tobago,15
Tunisia,2
Turkey,8
Uganda,1500
Ukraine,310
United Kingdom,120
United Republic of Tanzania,1700
United States,2000
Uruguay,33
Venezuela (Bolivarian Republic of),230
Viet Nam,330
Western and Central Africa,6800
World,35900
Yemen,25
Zambia,1100
Zimbabwe,1300
