Country or Area,Subgroup,People living with HIVAIDS
Afghanistan,Female 15+ yr,1
Afghanistan,Total,6
Angola,Female 15+ yr,120
Angola,Total,230
Angola,Total 0-14 yr,34
Argentina,Female 15+ yr,35
Argentina,Total,95
Armenia,Female 15+ yr,<1
Armenia,Total,4
Australia,Female 15+ yr,7
Australia,Total,22
Austria,Female 15+ yr,5
Austria,Total,18
Azerbaijan,Female 15+ yr,1
Azerbaijan,Total,7
Bahamas,Female 15+ yr,3
Bahamas,Total,7
Bangladesh,Female 15+ yr,<1
Bangladesh,Total,8
Barbados,Female 15+ yr,<0.5
Barbados,Total,1
Belarus,Female 15+ yr,6
Belarus,Total,20
Belgium,Female 15+ yr,6
Belgium,Total,20
Belize,Female 15+ yr,2
Belize,Total,5
Benin,Female 15+ yr,33
Benin,Total,64
Benin,Total 0-14 yr,9
Bhutan,Female 15+ yr,<0.5
Bhutan,Total,1
Bolivia (Plurinational State of),Female 15+ yr,1
Bolivia (Plurinational State of),Total,17
Botswana,Female 15+ yr,160
Botswana,Total,300
Botswana,Total 0-14 yr,15
Brazil,Female 15+ yr,200
Brazil,Total,490
Bulgaria,Female 15+ yr,1
Bulgaria,Total,4
Burkina Faso,Female 15+ yr,56
Burkina Faso,Total,120
Burkina Faso,Total 0-14 yr,23
Burundi,Female 15+ yr,38
Burundi,Total,80
Burundi,Total 0-14 yr,19
Cambodia,Female 15+ yr,31
Cambodia,Total,64
Cameroon,Female 15+ yr,280
Cameroon,Total,550
Cameroon,Total 0-14 yr,60
Canada,Female 15+ yr,13
Canada,Total,71
Cape Verde,Female 15+ yr,3
Cape Verde,Total,3
CEE/CIS,Female 15+ yr,410
CEE/CIS,Total,1500
CEE/CIS,Total 0-14 yr,18
Central African Republic,Female 15+ yr,62
Central African Republic,Total,130
Central African Republic,Total 0-14 yr,20
Chad,Female 15+ yr,100
Chad,Total,210
Chad,Total 0-14 yr,34
Chile,Female 15+ yr,5
Chile,Total,51
China,Female 15+ yr,231
China,Total,780
Colombia,Female 15+ yr,29
Colombia,Total,150
Comoros,Female 15+ yr,<0.1
Comoros,Total,<0.5
Congo,Female 15+ yr,40
Congo,Total,83
Congo,Total 0-14 yr,13
Costa Rica,Female 15+ yr,4
Costa Rica,Total,9
Côte d'Ivoire,Female 15+ yr,170
Côte d'Ivoire,Total,360
Côte d'Ivoire,Total 0-14 yr,61
Croatia,Female 15+ yr,<0.5
Croatia,Total,1
Cuba,Female 15+ yr,3
Cuba,Total,14
Czech Republic,Female 15+ yr,<1
Czech Republic,Total,2
Denmark,Female 15+ yr,2
Denmark,Total,6
Djibouti,Female 15+ yr,5
Djibouti,Total,9
Djibouti,Total 0-14 yr,1
Dominican Republic,Female 15+ yr,24
Dominican Republic,Total,44
East Asia and Pacific,Female 15+ yr,720
East Asia and Pacific,Total,2400
East Asia and Pacific,Total 0-14 yr,64
Eastern and Southern Africa,Female 15+ yr,8700
Eastern and Southern Africa,Total,17200
Eastern and Southern Africa,Total 0-14 yr,2200
Ecuador,Female 15+ yr,8
Ecuador,Total,35
Egypt,Female 15+ yr,2
Egypt,Total,10
El Salvador,Female 15+ yr,10
El Salvador,Total,24
Equatorial Guinea,Female 15+ yr,10
Equatorial Guinea,Total,20
Equatorial Guinea,Total 0-14 yr,3
Eritrea,Female 15+ yr,12
Eritrea,Total,23
Eritrea,Total 0-14 yr,4
Estonia,Female 15+ yr,3
Estonia,Total,10
