Country or Area,Subgroup,Unit,Population size
Afghanistan,Total <18 yr,Thousand,17219.0
Afghanistan,Total <5 yr,Thousand,5686.0
Afghanistan,Total,Thousand,32358.0
Afghanistan,Total 10-19 yr,Thousand,8015.0
Afghanistan,Total 10-19 yr,Percent,25.0
Albania,Total <18 yr,Thousand,877.0
Albania,Total <5 yr,Thousand,203.0
Albania,Total,Thousand,3216.0
Albania,Total 10-19 yr,Thousand,551.0
Albania,Total 10-19 yr,Percent,17.0
Algeria,Total <18 yr,Thousand,11641.0
Algeria,Total <5 yr,Thousand,3464.0
Algeria,Total,Thousand,35980.0
Algeria,Total 10-19 yr,Thousand,6425.0
Algeria,Total 10-19 yr,Percent,18.0
Andorra,Total <18 yr,Thousand,16.0
Andorra,Total <5 yr,Thousand,4.0
Andorra,Total,Thousand,86.0
Angola,Total <18 yr,Thousand,10399.0
Angola,Total <5 yr,Thousand,3393.0
Angola,Total,Thousand,19618.0
Angola,Total 10-19 yr,Thousand,4720.0
Angola,Total 10-19 yr,Percent,24.0
Antigua and Barbuda,Total <18 yr,Thousand,28.0
Antigua and Barbuda,Total <5 yr,Thousand,8.0
Antigua and Barbuda,Total,Thousand,90.0
Argentina,Total <18 yr,Thousand,12105.0
Argentina,Total <5 yr,Thousand,3423.0
Argentina,Total,Thousand,40765.0
Argentina,Total 10-19 yr,Thousand,6769.0
Argentina,Total 10-19 yr,Percent,17.0
Armenia,Total <18 yr,Thousand,763.0
Armenia,Total <5 yr,Thousand,225.0
Armenia,Total,Thousand,3100.0
Armenia,Total 10-19 yr,Thousand,435.0
Armenia,Total 10-19 yr,Percent,14.0
Australia,Total <18 yr,Thousand,5190.0
Australia,Total <5 yr,Thousand,1504.0
Australia,Total,Thousand,22606.0
Australia,Total 10-19 yr,Thousand,2917.0
Australia,Total 10-19 yr,Percent,13.0
Austria,Total <18 yr,Thousand,1512.0
Austria,Total <5 yr,Thousand,381.0
Austria,Total,Thousand,8413.0
Austria,Total 10-19 yr,Thousand,929.0
Austria,Total 10-19 yr,Percent,11.0
Azerbaijan,Total <18 yr,Thousand,2430.0
Azerbaijan,Total <5 yr,Thousand,846.0
Azerbaijan,Total,Thousand,9306.0
Azerbaijan,Total 10-19 yr,Thousand,1378.0
Azerbaijan,Total 10-19 yr,Percent,15.0
Bahamas,Total <18 yr,Thousand,95.0
Bahamas,Total <5 yr,Thousand,27.0
Bahamas,Total,Thousand,347.0
Bahamas,Total 10-19 yr,Thousand,58.0
Bahamas,Total 10-19 yr,Percent,17.0
Bahrain,Total <18 yr,Thousand,311.0
Bahrain,Total <5 yr,Thousand,102.0
Bahrain,Total,Thousand,1324.0
Bahrain,Total 10-19 yr,Thousand,153.0
Bahrain,Total 10-19 yr,Percent,11.0
Bangladesh,Total <18 yr,Thousand,55515.0
Bangladesh,Total <5 yr,Thousand,14421.0
Bangladesh,Total,Thousand,150494.0
Bangladesh,Total 10-19 yr,Thousand,31601.0
Bangladesh,Total 10-19 yr,Percent,21.0
Barbados,Total <18 yr,Thousand,59.0
Barbados,Total <5 yr,Thousand,15.0
Barbados,Total,Thousand,274.0
Barbados,Total 10-19 yr,Thousand,38.0
Barbados,Total 10-19 yr,Percent,14.0
Belarus,Total <18 yr,Thousand,1766.0
Belarus,Total <5 yr,Thousand,527.0
Belarus,Total,Thousand,9559.0
Belarus,Total 10-19 yr,Thousand,1025.0
