Country or Area,Prevalence of overweight (moderate and severe) - WHO
Afghanistan,5.0
Albania,23.0
Algeria,13.0
Argentina,10.0
Armenia,17.0
Azerbaijan,14.0
Bangladesh,2.0
Belarus,10.0
Belize,14.0
Benin,11.0
Bhutan,8.0
Bolivia (Plurinational State of),9.0
Bosnia and Herzegovina,26.0
Botswana,11.0
Brazil,7.0
Bulgaria,14.0
Burundi,3.0
Cambodia,2.0
Cameroon,6.0
CEE/CIS,16.0
Central African Republic,2.0
Chad,3.0
Chile,10.0
China,7.0
Colombia,5.0
Comoros,22.0
Congo,9.0
Costa Rica,8.0
Czech Republic,4.0
Djibouti,10.0
Dominican Republic,8.0
East Asia and Pacific,5.0
Eastern and Southern Africa,5.0
Ecuador,5.0
Egypt,21.0
El Salvador,6.0
Equatorial Guinea,8.0
Eritrea,2.0
Ethiopia,2.0
Gabon,6.0
Gambia,2.0
Georgia,20.0
Germany,4.0
Ghana,6.0
Guatemala,5.0
Guinea-Bissau,3.0
Guyana,6.0
Haiti,4.0
Honduras,6.0
India,2.0
Indonesia,14.0
Iraq,15.0
Jordan,7.0
Kazakhstan,17.0
Kenya,5.0
Kuwait,9.0
Kyrgyzstan,11.0
Lao People's Democratic Republic,1.0
Latin America and Caribbean,7.0
Least Developed Countries/Territories,4.0
Lebanon,17.0
Lesotho,7.0
Liberia,4.0
Libya,22.0
Malawi,9.0
Maldives,7.0
Mexico,8.0
Middle East and North Africa,12.0
Mongolia,14.0
Montenegro,16.0
Morocco,11.0
Mozambique,7.0
Myanmar,3.0
Namibia,5.0
Nauru,3.0
Nepal,1.0
Nicaragua,6.0
Niger,4.0
Nigeria,11.0
Oman,2.0
Pakistan,6.0
Papua New Guinea,3.0
Paraguay,7.0
Philippines,3.0
Republic of Moldova,9.0
Romania,8.0
Rwanda,7.0
Sao Tome and Principe,12.0
Saudi Arabia,6.0
Senegal,3.0
Serbia,16.0
Sierra Leone,10.0
Singapore,3.0
Solomon Islands,3.0
Somalia,5.0
South Asia,3.0
Sri Lanka,1.0
Sub-Saharan Africa,7.0
Sudan (pre-cession),5.0
Suriname,4.0
Swaziland,11.0
Syrian Arab Republic,18.0
Thailand,8.0
The former Yugoslav Republic of Macedonia,16.0
Timor-Leste,6.0
Togo,2.0
Trinidad and Tobago,5.0
Tunisia,9.0
Tuvalu,6.0
Uganda,3.0
United Republic of Tanzania,6.0
United States,8.0
Uruguay,9.0
Uzbekistan,13.0
Vanuatu,5.0
Venezuela (Bolivarian Republic of),6.0
Western and Central Africa,9.0
World,7.0
Yemen,5.0
Zambia,8.0
Zimbabwe,6.0
