Country or Area,Subgroup,Unit,Prevalence of underweight (moderate and severe) - WHO
Afghanistan,Total <5 yr,Percent,33.0
Albania,Total <5 yr,Percent,5.0
Albania,Rural,Percent,6.0
Albania,Urban,Percent,5.0
Albania,Poorest 20%,Percent,8.0
Albania,Richest 20%,Percent,4.0
Albania,Ratio of poorest to richest,Ratio,2.2
Albania,Ratio of rural to urban,Ratio,1.2
Algeria,Total <5 yr,Percent,3.0
Algeria,Rural,Percent,4.0
Algeria,Urban,Percent,3.0
Algeria,Poorest 20%,Percent,5.0
Algeria,Richest 20%,Percent,2.0
Algeria,Ratio of poorest to richest,Ratio,2.4
Algeria,Ratio of rural to urban,Ratio,1.4
Angola,Total <5 yr,Percent,16.0
Argentina,Total <5 yr,Percent,2.0
Armenia,Total <5 yr,Percent,5.0
Armenia,Rural,Percent,7.0
Armenia,Urban,Percent,3.0
Armenia,Poorest 20%,Percent,8.0
Armenia,Richest 20%,Percent,2.0
Armenia,Ratio of poorest to richest,Ratio,5.3
Armenia,Ratio of rural to urban,Ratio,2.6
Azerbaijan,Total <5 yr,Percent,8.0
Azerbaijan,Rural,Percent,12.0
Azerbaijan,Urban,Percent,4.0
Azerbaijan,Poorest 20%,Percent,15.0
Azerbaijan,Richest 20%,Percent,2.0
Azerbaijan,Ratio of poorest to richest,Ratio,7.0
Azerbaijan,Ratio of rural to urban,Ratio,3.1
Bangladesh,Total <5 yr,Percent,36.0
Bangladesh,Rural,Percent,39.0
Bangladesh,Urban,Percent,28.0
Bangladesh,Poorest 20%,Percent,50.0
Bangladesh,Richest 20%,Percent,21.0
Bangladesh,Ratio of poorest to richest,Ratio,2.4
Bangladesh,Ratio of rural to urban,Ratio,1.4
Belarus,Total <5 yr,Percent,1.0
Belarus,Rural,Percent,2.0
Belarus,Urban,Percent,1.0
Belarus,Poorest 20%,Percent,2.0
Belarus,Richest 20%,Percent,0.0
Belarus,Ratio of poorest to richest,Ratio,6.7
Belarus,Ratio of rural to urban,Ratio,1.7
Belize,Total <5 yr,Percent,4.0
Belize,Rural,Percent,6.0
Belize,Urban,Percent,2.0
Belize,Ratio of rural to urban,Ratio,2.9
Benin,Total <5 yr,Percent,18.0
Benin,Rural,Percent,21.0
Benin,Urban,Percent,15.0
Benin,Poorest 20%,Percent,25.0
Benin,Richest 20%,Percent,10.0
Benin,Ratio of poorest to richest,Ratio,2.4
Benin,Ratio of rural to urban,Ratio,1.4
Bhutan,Total <5 yr,Percent,13.0
Bhutan,Rural,Percent,14.0
Bhutan,Urban,Percent,11.0
Bhutan,Poorest 20%,Percent,16.0
Bhutan,Richest 20%,Percent,7.0
Bhutan,Ratio of poorest to richest,Ratio,2.2
Bhutan,Ratio of rural to urban,Ratio,1.3
Bolivia (Plurinational State of),Total <5 yr,Percent,4.0
Bolivia (Plurinational State of),Rural,Percent,6.0
Bolivia (Plurinational State of),Urban,Percent,3.0
Bolivia (Plurinational State of),Poorest 20%,Percent,8.0
Bolivia (Plurinational State of),Richest 20%,Percent,2.0
Bolivia (Plurinational State of),Ratio of poorest to richest,Ratio,3.8
Bolivia (Plurinational State of),Ratio of rural to urban,Ratio,2.3
Bosnia and Herzegovina,Total <5 yr,Percent,1.0
Bosnia and Herzegovina,Rural,Percent,1.0
Bosnia and Herzegovina,Urban,Percent,2.0
Bosnia and Herzegovina,Poorest 20%,Percent,2.0
Bosnia and Herzegovina,Richest 20%,Percent,3.0
Bosnia and Herzegovina,Ratio of poorest to richest,Ratio,0.5
Bosnia and Herzegovina,Ratio of rural to urban,Ratio,0.7
Botswana,Total <5 yr,Percent,11.0
Botswana,Poorest 20%,Percent,16.0
Botswana,Richest 20%,Percent,4.0
Botswana,Ratio of poorest to richest,Ratio,4.0
Brazil,Total <5 yr,Percent,2.0
Brazil,Rural,Percent,2.0
Brazil,Urban,Percent,2.0
Brazil,Ratio of rural to urban,Ratio,0.8
Burkina Faso,Total <5 yr,Percent,26.0
Burkina Faso,Poorest 20%,Percent,38.0
Burkina Faso,Richest 20%,Percent,18.0
Burkina Faso,Ratio of poorest to richest,Ratio,2.1
Burundi,Total <5 yr,Percent,29.0
Burundi,Rural,Percent,30.0
Burundi,Urban,Percent,18.0
Burundi,Poorest 20%,Percent,41.0
Burundi,Richest 20%,Percent,17.0
Burundi,Ratio of poorest to richest,Ratio,2.4
Burundi,Ratio of rural to urban,Ratio,1.7
Cambodia,Total <5 yr,Percent,28.0
Cambodia,Rural,Percent,30.0
Cambodia,Urban,Percent,19.0
Cambodia,Poorest 20%,Percent,35.0
Cambodia,Richest 20%,Percent,16.0
Cambodia,Ratio of poorest to richest,Ratio,2.2
Cambodia,Ratio of rural to urban,Ratio,1.6
Cameroon,Total <5 yr,Percent,15.0
Cameroon,Rural,Percent,20.0
Cameroon,Urban,Percent,7.0
Cameroon,Ratio of rural to urban,Ratio,2.8
CEE/CIS,Total <5 yr,Percent,2.0
Central African Republic,Total <5 yr,Percent,24.0
Central African Republic,Rural,Percent,24.0
Central African Republic,Urban,Percent,23.0
Central African Republic,Poorest 20%,Percent,26.0
Central African Republic,Richest 20%,Percent,19.0
Central African Republic,Ratio of poorest to richest,Ratio,1.4
Central African Republic,Ratio of rural to urban,Ratio,1.0
Chad,Total <5 yr,Percent,30.0
Chad,Rural,Percent,33.0
Chad,Urban,Percent,22.0
Chad,Poorest 20%,Percent,33.0
Chad,Richest 20%,Percent,21.0
Chad,Ratio of poorest to richest,Ratio,1.6
Chad,Ratio of rural to urban,Ratio,1.5
China,Total <5 yr,Percent,4.0
China,Rural,Percent,4.0
China,Urban,Percent,1.0
China,Ratio of rural to urban,Ratio,3.3
Colombia,Total <5 yr,Percent,3.0
Colombia,Rural,Percent,5.0
Colombia,Urban,Percent,3.0
Colombia,Poorest 20%,Percent,6.0
Colombia,Richest 20%,Percent,2.0
Colombia,Ratio of poorest to richest,Ratio,3.0
Colombia,Ratio of rural to urban,Ratio,1.6
Congo,Total <5 yr,Percent,11.0
Congo,Rural,Percent,15.0
Congo,Urban,Percent,8.0
Congo,Poorest 20%,Percent,16.0
Congo,Richest 20%,Percent,5.0
Congo,Ratio of poorest to richest,Ratio,3.1
Congo,Ratio of rural to urban,Ratio,2.0
Costa Rica,Total <5 yr,Percent,1.0
Côte d'Ivoire,Total <5 yr,Percent,16.0
Côte d'Ivoire,Rural,Percent,20.0
Côte d'Ivoire,Urban,Percent,9.0
Côte d'Ivoire,Poorest 20%,Percent,21.0
Côte d'Ivoire,Richest 20%,Percent,6.0
Côte d'Ivoire,Ratio of poorest to richest,Ratio,3.4
Côte d'Ivoire,Ratio of rural to urban,Ratio,2.2
Democratic People's Republic of Korea,Total <5 yr,Percent,19.0
Democratic People's Republic of Korea,Rural,Percent,27.0
Democratic People's Republic of Korea,Urban,Percent,13.0
Democratic People's Republic of Korea,Ratio of rural to urban,Ratio,2.0
Democratic Republic of the Congo,Total <5 yr,Percent,24.0
Democratic Republic of the Congo,Rural,Percent,27.0
Democratic Republic of the Congo,Urban,Percent,17.0
Democratic Republic of the Congo,Poorest 20%,Percent,29.0
Democratic Republic of the Congo,Richest 20%,Percent,12.0
Democratic Republic of the Congo,Ratio of poorest to richest,Ratio,2.3
Democratic Republic of the Congo,Ratio of rural to urban,Ratio,1.6
Djibouti,Total <5 yr,Percent,23.0
Djibouti,Rural,Percent,27.0
Djibouti,Urban,Percent,18.0
Djibouti,Ratio of rural to urban,Ratio,1.5
Dominican Republic,Total <5 yr,Percent,3.0
Dominican Republic,Rural,Percent,4.0
Dominican Republic,Urban,Percent,3.0
Dominican Republic,Poorest 20%,Percent,5.0
Dominican Republic,Richest 20%,Percent,1.0
Dominican Republic,Ratio of poorest to richest,Ratio,4.4
Dominican Republic,Ratio of rural to urban,Ratio,1.2
East Asia and Pacific,Total <5 yr,Percent,6.0
East Asia and Pacific,Rural,Percent,10.0
East Asia and Pacific,Urban,Percent,5.0
East Asia and Pacific,Poorest 20%,Percent,24.0
East Asia and Pacific,Richest 20%,Percent,10.0
East Asia and Pacific,Ratio of poorest to richest,Ratio,2.5
East Asia and Pacific,Ratio of rural to urban,Ratio,2.0
Eastern and Southern Africa,Total <5 yr,Percent,18.0
Eastern and Southern Africa,Rural,Percent,20.0
Eastern and Southern Africa,Urban,Percent,12.0
Eastern and Southern Africa,Poorest 20%,Percent,26.0
Eastern and Southern Africa,Richest 20%,Percent,12.0
Eastern and Southern Africa,Ratio of poorest to richest,Ratio,2.2
Eastern and Southern Africa,Ratio of rural to urban,Ratio,1.7
Ecuador,Total <5 yr,Percent,6.0
Egypt,Total <5 yr,Percent,6.0
Egypt,Rural,Percent,6.0
Egypt,Urban,Percent,6.0
Egypt,Poorest 20%,Percent,8.0
Egypt,Richest 20%,Percent,5.0
Egypt,Ratio of poorest to richest,Ratio,1.4
Egypt,Ratio of rural to urban,Ratio,1.0
El Salvador,Total <5 yr,Percent,6.0
El Salvador,Rural,Percent,7.0
El Salvador,Urban,Percent,4.0
El Salvador,Poorest 20%,Percent,12.0
El Salvador,Richest 20%,Percent,1.0
El Salvador,Ratio of poorest to richest,Ratio,12.9
El Salvador,Ratio of rural to urban,Ratio,2.0
Equatorial Guinea,Total <5 yr,Percent,11.0
Eritrea,Total <5 yr,Percent,35.0
Eritrea,Rural,Percent,40.0
Eritrea,Urban,Percent,23.0
Eritrea,Ratio of rural to urban,Ratio,1.7
Ethiopia,Total <5 yr,Percent,29.0
Ethiopia,Rural,Percent,30.0
Ethiopia,Urban,Percent,16.0
Ethiopia,Poorest 20%,Percent,36.0
Ethiopia,Richest 20%,Percent,15.0
Ethiopia,Ratio of poorest to richest,Ratio,2.4
Ethiopia,Ratio of rural to urban,Ratio,1.9
Gabon,Total <5 yr,Percent,8.0
Gambia,Total <5 yr,Percent,18.0
Gambia,Rural,Percent,22.0
Gambia,Urban,Percent,12.0
Gambia,Poorest 20%,Percent,24.0
Gambia,Richest 20%,Percent,9.0
Gambia,Ratio of poorest to richest,Ratio,2.6
Gambia,Ratio of rural to urban,Ratio,1.9
Georgia,Total <5 yr,Percent,1.0
Georgia,Rural,Percent,1.0
Georgia,Urban,Percent,1.0
Georgia,Ratio of rural to urban,Ratio,1.6
Ghana,Total <5 yr,Percent,14.0
Ghana,Rural,Percent,16.0
Ghana,Urban,Percent,11.0
Ghana,Poorest 20%,Percent,19.0
Ghana,Richest 20%,Percent,9.0
Ghana,Ratio of poorest to richest,Ratio,2.2
Ghana,Ratio of rural to urban,Ratio,1.5
Guatemala,Total <5 yr,Percent,13.0
Guatemala,Rural,Percent,16.0
Guatemala,Urban,Percent,8.0
Guatemala,Poorest 20%,Percent,21.0
Guatemala,Richest 20%,Percent,3.0
Guatemala,Ratio of poorest to richest,Ratio,6.5
Guatemala,Ratio of rural to urban,Ratio,1.9
Guinea,Total <5 yr,Percent,21.0
Guinea,Rural,Percent,23.0
Guinea,Urban,Percent,15.0
Guinea,Poorest 20%,Percent,24.0
Guinea,Richest 20%,Percent,19.0
Guinea,Ratio of poorest to richest,Ratio,1.3
Guinea,Ratio of rural to urban,Ratio,1.5
Guinea-Bissau,Total <5 yr,Percent,18.0
Guinea-Bissau,Rural,Percent,21.0
Guinea-Bissau,Urban,Percent,13.0
Guinea-Bissau,Poorest 20%,Percent,22.0
Guinea-Bissau,Richest 20%,Percent,11.0
Guinea-Bissau,Ratio of poorest to richest,Ratio,2.1
Guinea-Bissau,Ratio of rural to urban,Ratio,1.6
Guyana,Total <5 yr,Percent,11.0
Guyana,Rural,Percent,12.0
Guyana,Urban,Percent,7.0
Guyana,Poorest 20%,Percent,16.0
Guyana,Richest 20%,Percent,4.0
Guyana,Ratio of poorest to richest,Ratio,3.8
Guyana,Ratio of rural to urban,Ratio,1.7
Haiti,Total <5 yr,Percent,18.0
Haiti,Rural,Percent,20.0
Haiti,Urban,Percent,12.0
Haiti,Poorest 20%,Percent,22.0
Haiti,Richest 20%,Percent,6.0
Haiti,Ratio of poorest to richest,Ratio,3.6
Haiti,Ratio of rural to urban,Ratio,1.7
Honduras,Total <5 yr,Percent,8.0
Honduras,Rural,Percent,11.0
Honduras,Urban,Percent,4.0
Honduras,Poorest 20%,Percent,16.0
Honduras,Richest 20%,Percent,2.0
Honduras,Ratio of poorest to richest,Ratio,8.1
