Country or Area,Prevalence of underweight (severe) - WHO
Afghanistan,12.0
Albania,2.0
Algeria,1.0
Angola,7.0
Argentina,0.0
Armenia,1.0
Azerbaijan,2.0
Bangladesh,10.0
Belarus,1.0
Belize,1.0
Benin,5.0
Bhutan,3.0
Bolivia (Plurinational State of),1.0
Bosnia and Herzegovina,0.0
Botswana,4.0
Burkina Faso,7.0
Burundi,8.0
Cambodia,7.0
Cameroon,5.0
Central African Republic,8.0
Chad,13.0
Colombia,1.0
Congo,3.0
Côte d'Ivoire,5.0
Democratic People's Republic of Korea,4.0
Democratic Republic of the Congo,8.0
Djibouti,5.0
Dominican Republic,0.0
East Asia and Pacific,4.0
Eastern and Southern Africa,5.0
Egypt,1.0
El Salvador,1.0
Eritrea,13.0
Ethiopia,9.0
Gabon,2.0
Gambia,4.0
Georgia,1.0
Ghana,3.0
Guinea,7.0
Guinea-Bissau,5.0
Guyana,2.0
Haiti,6.0
Honduras,1.0
India,16.0
Indonesia,5.0
Iraq,2.0
Jordan,0.0
Kazakhstan,1.0
Kenya,4.0
Kyrgyzstan,0.0
Lao People's Democratic Republic,9.0
Least Developed Countries/Territories,7.0
Lesotho,2.0
Liberia,2.0
Malawi,3.0
Maldives,3.0
Mali,10.0
Mauritania,4.0
Mongolia,2.0
Montenegro,1.0
Mozambique,4.0
Myanmar,6.0
Namibia,4.0
Nauru,1.0
Nepal,8.0
Nicaragua,1.0
Niger,12.0
Nigeria,9.0
Oman,1.0
Pakistan,12.0
Papua New Guinea,5.0
Peru,1.0
Republic of Moldova,1.0
Romania,1.0
Rwanda,2.0
Sao Tome and Principe,3.0
Senegal,5.0
Serbia,1.0
Sierra Leone,8.0
Singapore,0.0
Solomon Islands,2.0
Somalia,12.0
South Asia,14.0
South Sudan,12.0
Sri Lanka,4.0
Sub-Saharan Africa,7.0
Sudan,13.0
Suriname,1.0
Swaziland,1.0
Tajikistan,6.0
Thailand,1.0
The former Yugoslav Republic of Macedonia,0.0
Timor-Leste,15.0
Togo,4.0
Turkey,0.0
Turkmenistan,2.0
Tuvalu,0.0
Uganda,3.0
United Republic of Tanzania,4.0
United States,0.0
Uruguay,2.0
Uzbekistan,1.0
Viet Nam,2.0
Western and Central Africa,8.0
World,10.0
Yemen,19.0
Zambia,3.0
Zimbabwe,2.0
