Country or Area,Prevalence of wasting (moderate and severe) - WHO
Afghanistan,9.0
Albania,9.0
Algeria,4.0
Angola,8.0
Argentina,1.0
Armenia,4.0
Azerbaijan,7.0
Bangladesh,16.0
Belarus,2.0
Belize,2.0
Benin,8.0
Bhutan,6.0
Bolivia (Plurinational State of),1.0
Bosnia and Herzegovina,4.0
Botswana,7.0
Brazil,2.0
Burkina Faso,11.0
Burundi,6.0
Cambodia,11.0
Cameroon,6.0
CEE/CIS,1.0
Central African Republic,7.0
Chad,16.0
China,3.0
Colombia,1.0
Congo,8.0
Costa Rica,1.0
Côte d'Ivoire,5.0
Democratic People's Republic of Korea,5.0
Democratic Republic of the Congo,9.0
Djibouti,10.0
Dominican Republic,2.0
East Asia and Pacific,4.0
Eastern and Southern Africa,7.0
Egypt,7.0
El Salvador,1.0
Equatorial Guinea,3.0
Eritrea,15.0
Ethiopia,10.0
Gabon,4.0
Gambia,10.0
Georgia,2.0
Ghana,9.0
Guatemala,1.0
Guinea,8.0
Guinea-Bissau,6.0
Guyana,5.0
Haiti,10.0
Honduras,1.0
India,20.0
Indonesia,13.0
Iraq,6.0
Jamaica,2.0
Jordan,2.0
Kazakhstan,5.0
Kenya,7.0
Kyrgyzstan,3.0
Lao People's Democratic Republic,7.0
Latin America and Caribbean,2.0
Least Developed Countries/Territories,10.0
Lesotho,4.0
Liberia,3.0
Madagascar,15.0
Malawi,4.0
Maldives,11.0
Mali,15.0
Mauritania,12.0
Mexico,2.0
Middle East and North Africa,9.0
Mongolia,2.0
Montenegro,4.0
Morocco,2.0
Mozambique,6.0
Myanmar,8.0
Namibia,8.0
Nauru,1.0
Nepal,11.0
Nicaragua,1.0
Niger,12.0
Nigeria,14.0
Oman,7.0
Pakistan,15.0
Panama,1.0
Papua New Guinea,5.0
Paraguay,1.0
Peru,0.0
Philippines,7.0
Republic of Moldova,5.0
Romania,4.0
Rwanda,3.0
Sao Tome and Principe,11.0
Senegal,10.0
Serbia,4.0
Sierra Leone,9.0
Singapore,4.0
Solomon Islands,4.0
Somalia,13.0
South Africa,5.0
South Asia,16.0
South Sudan,23.0
Sri Lanka,15.0
Sub-Saharan Africa,9.0
Sudan,16.0
Suriname,5.0
Swaziland,1.0
Syrian Arab Republic,12.0
Tajikistan,7.0
Thailand,5.0
The former Yugoslav Republic of Macedonia,2.0
Timor-Leste,19.0
Togo,5.0
Tunisia,3.0
Turkey,1.0
Turkmenistan,7.0
Tuvalu,3.0
Uganda,5.0
United Republic of Tanzania,5.0
United States,0.0
Uruguay,2.0
Uzbekistan,4.0
Venezuela (Bolivarian Republic of),5.0
Viet Nam,4.0
Western and Central Africa,12.0
World,8.0
Yemen,15.0
Zambia,5.0
Zimbabwe,3.0
