Country or Area,Proportion of 1 year-old children fully immunised against polio (OPV)
Afghanistan,66.0
Albania,99.0
Algeria,95.0
Andorra,99.0
Angola,85.0
Antigua and Barbuda,99.0
Argentina,95.0
Armenia,96.0
Australia,92.0
Austria,83.0
Azerbaijan,80.0
Bahamas,97.0
Bahrain,99.0
Bangladesh,96.0
Barbados,91.0
Belarus,98.0
Belgium,98.0
Belize,95.0
Benin,85.0
Bhutan,95.0
Bolivia (Plurinational State of),82.0
Bosnia and Herzegovina,89.0
Botswana,96.0
Brazil,97.0
Brunei Darussalam,99.0
Bulgaria,95.0
Burkina Faso,90.0
Burundi,94.0
Cambodia,94.0
Cameroon,67.0
Canada,99.0
Cape Verde,90.0
CEE/CIS,93.0
Central African Republic,47.0
Chad,31.0
Chile,93.0
China,99.0
Colombia,85.0
Comoros,85.0
Congo,90.0
Cook Islands,93.0
Costa Rica,82.0
Côte d'Ivoire,58.0
Croatia,96.0
Cuba,99.0
Cyprus,99.0
Czech Republic,99.0
Democratic People's Republic of Korea,99.0
Democratic Republic of the Congo,78.0
Denmark,91.0
Djibouti,87.0
Dominica,99.0
Dominican Republic,84.0
East Asia and Pacific,92.0
Eastern and Southern Africa,79.0
Ecuador,99.0
Egypt,96.0
El Salvador,89.0
Equatorial Guinea,39.0
Eritrea,99.0
Estonia,93.0
Ethiopia,62.0
Fiji,99.0
Finland,99.0
France,99.0
Gabon,44.0
Gambia,95.0
Georgia,90.0
Germany,95.0
Ghana,91.0
Greece,99.0
Grenada,95.0
Guatemala,86.0
Guinea,57.0
Guinea-Bissau,73.0
Guyana,93.0
Haiti,59.0
Honduras,98.0
Hungary,99.0
Iceland,96.0
India,70.0
Indonesia,70.0
Iran (Islamic Republic of),99.0
Iraq,78.0
Ireland,95.0
Israel,94.0
Italy,96.0
Jamaica,99.0
Japan,96.0
Jordan,98.0
Kazakhstan,99.0
Kenya,88.0
Kiribati,95.0
Kuwait,99.0
Kyrgyzstan,94.0
Lao People's Democratic Republic,79.0
Latin America and Caribbean,92.0
Latvia,94.0
Least Developed Countries/Territories,79.0
Lebanon,75.0
Lesotho,91.0
Liberia,56.0
Libya,98.0
Lithuania,92.0
Luxembourg,99.0
Madagascar,88.0
Malawi,86.0
Malaysia,99.0
Maldives,96.0
Mali,71.0
Malta,96.0
Marshall Islands,95.0
Mauritania,73.0
Mauritius,98.0
Mexico,97.0
Micronesia (Federated States of),83.0
Middle East and North Africa,92.0
Monaco,99.0
Mongolia,99.0
Montenegro,95.0
Morocco,98.0
Mozambique,73.0
Myanmar,99.0
Namibia,85.0
Nauru,99.0
Nepal,92.0
Netherlands,97.0
New Zealand,95.0
Nicaragua,99.0
Niger,44.0
Nigeria,73.0
Niue,98.0
Norway,94.0
Oman,99.0
Pakistan,75.0
Palau,98.0
Panama,91.0
Papua New Guinea,58.0
Paraguay,87.0
Peru,91.0
Philippines,80.0
Poland,96.0
Portugal,97.0
Qatar,93.0
Republic of Korea,98.0
Republic of Moldova,96.0
Romania,89.0
Russian Federation,97.0
Rwanda,93.0
Saint Kitts and Nevis,98.0
Saint Lucia,97.0
Saint Vincent and the Grenadines,95.0
Samoa,91.0
San Marino,86.0
Sao Tome and Principe,96.0
Saudi Arabia,98.0
Senegal,73.0
Serbia,91.0
Seychelles,99.0
Sierra Leone,81.0
Singapore,96.0
Slovakia,99.0
Slovenia,96.0
Solomon Islands,93.0
Somalia,49.0
South Africa,73.0
South Asia,73.0
South Sudan,46.0
Spain,97.0
Sri Lanka,99.0
State of Palestine,99.0
Sub-Saharan Africa,76.0
Sudan,93.0
Suriname,86.0
Swaziland,85.0
Sweden,98.0
Switzerland,95.0
Syrian Arab Republic,75.0
Tajikistan,97.0
Thailand,99.0
The former Yugoslav Republic of Macedonia,95.0
Timor-Leste,66.0
Togo,81.0
Tonga,99.0
Trinidad and Tobago,91.0
Tunisia,98.0
Turkey,97.0
Turkmenistan,97.0
Tuvalu,96.0
Uganda,82.0
Ukraine,58.0
United Arab Emirates,94.0
United Kingdom,95.0
United Republic of Tanzania,88.0
United States,94.0
Uruguay,95.0
Uzbekistan,99.0
Vanuatu,67.0
Venezuela (Bolivarian Republic of),78.0
Viet Nam,96.0
Western and Central Africa,72.0
World,84.0
Yemen,81.0
Zambia,83.0
Zimbabwe,99.0
