Country or Area,Proportion of 1 year-old children immunised against measles
Afghanistan,62.0
Albania,99.0
Algeria,95.0
Andorra,99.0
Angola,88.0
Antigua and Barbuda,99.0
Argentina,93.0
Armenia,97.0
Australia,94.0
Austria,76.0
Azerbaijan,67.0
Bahamas,90.0
Bahrain,99.0
Bangladesh,96.0
Barbados,93.0
Belarus,99.0
Belgium,95.0
Belize,98.0
Benin,72.0
Bhutan,95.0
Bolivia (Plurinational State of),84.0
Bosnia and Herzegovina,89.0
Botswana,94.0
Brazil,97.0
Brunei Darussalam,91.0
Bulgaria,95.0
Burkina Faso,63.0
Burundi,92.0
Cambodia,93.0
Cameroon,76.0
Canada,98.0
Cape Verde,96.0
CEE/CIS,94.0
Central African Republic,62.0
Chad,28.0
Chile,91.0
China,99.0
Colombia,88.0
Comoros,72.0
Congo,90.0
Cook Islands,89.0
Costa Rica,83.0
Côte d'Ivoire,49.0
Croatia,96.0
Cuba,99.0
Cyprus,87.0
Czech Republic,98.0
Democratic People's Republic of Korea,99.0
Democratic Republic of the Congo,71.0
Denmark,87.0
Djibouti,84.0
Dominica,99.0
Dominican Republic,79.0
East Asia and Pacific,95.0
Eastern and Southern Africa,79.0
Ecuador,98.0
Egypt,96.0
El Salvador,89.0
Equatorial Guinea,51.0
Eritrea,99.0
Estonia,94.0
Ethiopia,57.0
Fiji,94.0
Finland,97.0
France,89.0
Gabon,55.0
Gambia,91.0
Georgia,94.0
Germany,99.0
Ghana,91.0
Greece,99.0
Grenada,95.0
Guatemala,87.0
Guinea,58.0
Guinea-Bissau,61.0
Guyana,98.0
Haiti,59.0
Honduras,99.0
Hungary,99.0
Iceland,93.0
India,74.0
Indonesia,89.0
Iran (Islamic Republic of),99.0
Iraq,76.0
Ireland,92.0
Israel,98.0
Italy,90.0
Jamaica,88.0
Japan,94.0
Jordan,98.0
Kazakhstan,99.0
Kenya,87.0
Kiribati,90.0
Kuwait,99.0
Kyrgyzstan,97.0
Lao People's Democratic Republic,69.0
Latin America and Caribbean,93.0
Latvia,99.0
Least Developed Countries/Territories,76.0
Lebanon,79.0
Lesotho,85.0
Liberia,40.0
Libya,98.0
Lithuania,94.0
Luxembourg,96.0
Madagascar,70.0
Malawi,96.0
Malaysia,95.0
Maldives,96.0
Mali,56.0
Malta,84.0
Marshall Islands,97.0
Mauritania,67.0
Mauritius,99.0
Mexico,98.0
Micronesia (Federated States of),92.0
Middle East and North Africa,90.0
Monaco,99.0
Mongolia,98.0
Montenegro,91.0
Morocco,95.0
Mozambique,82.0
Myanmar,99.0
Namibia,74.0
Nauru,99.0
Nepal,88.0
Netherlands,96.0
New Zealand,93.0
Nicaragua,99.0
Niger,76.0
Nigeria,71.0
Niue,99.0
Norway,93.0
Oman,99.0
Pakistan,80.0
Palau,85.0
Panama,97.0
Papua New Guinea,60.0
Paraguay,93.0
Peru,96.0
Philippines,79.0
Poland,98.0
Portugal,96.0
Qatar,99.0
Republic of Korea,99.0
Republic of Moldova,91.0
Romania,93.0
Russian Federation,98.0
Rwanda,95.0
Saint Kitts and Nevis,99.0
Saint Lucia,95.0
Saint Vincent and the Grenadines,99.0
Samoa,67.0
San Marino,83.0
Sao Tome and Principe,91.0
Saudi Arabia,98.0
Senegal,82.0
Serbia,95.0
Seychelles,99.0
Sierra Leone,80.0
Singapore,95.0
Slovakia,98.0
Slovenia,95.0
Solomon Islands,73.0
Somalia,46.0
South Africa,78.0
South Asia,77.0
South Sudan,64.0
Spain,95.0
Sri Lanka,99.0
State of Palestine,99.0
Sub-Saharan Africa,74.0
Sudan,87.0
Suriname,85.0
Swaziland,98.0
Sweden,96.0
Switzerland,92.0
Syrian Arab Republic,80.0
Tajikistan,98.0
Thailand,98.0
The former Yugoslav Republic of Macedonia,98.0
Timor-Leste,62.0
Togo,67.0
Tonga,99.0
Trinidad and Tobago,92.0
Tunisia,96.0
Turkey,97.0
Turkmenistan,99.0
Tuvalu,98.0
Uganda,75.0
Ukraine,67.0
United Arab Emirates,94.0
United Kingdom,90.0
United Republic of Tanzania,93.0
United States,90.0
Uruguay,95.0
Uzbekistan,99.0
Vanuatu,52.0
Venezuela (Bolivarian Republic of),86.0
Viet Nam,96.0
Western and Central Africa,69.0
World,84.0
Yemen,71.0
Zambia,83.0
Zimbabwe,92.0
