Country or Area,Subgroup,Unit,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV
Albania,Female 15-24 yr,Percent,36.0
Albania,Male 15-24 yr,Percent,22.0
Albania,Female 15-19 yr,Percent,36.0
Albania,Male 15-19 yr,Percent,21.0
Albania,Rural Female 15-24 yr,Percent,26.0
Albania,Urban Female 15-24 yr,Percent,51.0
Albania,Female 15-24 yr Ratio of urban to rural,Ratio,2.0
Albania,Female 15-24 yr Ratio of richest to poorest,Ratio,3.0
Albania,Male 15-24 yr Ratio of richest to poorest,Ratio,3.8
Albania,Female 15-24 yr Poorest 20%,Percent,20.0
Albania,Female 15-24 yr Richest 20%,Percent,60.0
Albania,Male 15-24 yr Poorest 20%,Percent,10.0
Albania,Male 15-24 yr Richest 20%,Percent,38.0
Algeria,Female 15-24 yr,Percent,13.0
Algeria,Female 15-19 yr,Percent,12.0
Algeria,Rural Female 15-24 yr,Percent,10.0
Algeria,Urban Female 15-24 yr,Percent,16.0
Algeria,Female 15-24 yr Ratio of urban to rural,Ratio,1.7
Algeria,Female 15-24 yr Ratio of richest to poorest,Ratio,3.7
Algeria,Female 15-24 yr Poorest 20%,Percent,5.0
Algeria,Female 15-24 yr Richest 20%,Percent,20.0
Angola,Female 15-24 yr,Percent,25.0
Angola,Male 15-24 yr,Percent,32.0
Antigua and Barbuda,Female 15-24 yr,Percent,46.0
Antigua and Barbuda,Male 15-24 yr,Percent,53.0
Antigua and Barbuda,Female 15-19 yr,Percent,40.0
Antigua and Barbuda,Male 15-19 yr,Percent,55.0
Armenia,Female 15-24 yr,Percent,16.0
Armenia,Male 15-24 yr,Percent,9.0
Armenia,Female 15-19 yr,Percent,10.0
Armenia,Male 15-19 yr,Percent,4.0
Armenia,Rural Female 15-24 yr,Percent,16.0
Armenia,Urban Female 15-24 yr,Percent,16.0
Armenia,Female 15-24 yr Ratio of urban to rural,Ratio,1.0
Azerbaijan,Female 15-24 yr,Percent,5.0
Azerbaijan,Male 15-24 yr,Percent,5.0
Azerbaijan,Female 15-19 yr,Percent,3.0
Azerbaijan,Male 15-19 yr,Percent,2.0
Azerbaijan,Rural Female 15-24 yr,Percent,2.0
Azerbaijan,Urban Female 15-24 yr,Percent,7.0
Azerbaijan,Female 15-24 yr Ratio of urban to rural,Ratio,3.3
Azerbaijan,Female 15-24 yr Ratio of richest to poorest,Ratio,10.3
Azerbaijan,Male 15-24 yr Ratio of richest to poorest,Ratio,6.3
Azerbaijan,Female 15-24 yr Poorest 20%,Percent,1.0
Azerbaijan,Female 15-24 yr Richest 20%,Percent,12.0
Azerbaijan,Male 15-24 yr Poorest 20%,Percent,2.0
Azerbaijan,Male 15-24 yr Richest 20%,Percent,14.0
Bangladesh,Female 15-24 yr,Percent,8.0
Bangladesh,Male 15-24 yr,Percent,18.0
Bangladesh,Female 15-19 yr,Percent,7.0
Belize,Female 15-24 yr,Percent,40.0
Belize,Female 15-19 yr,Percent,39.0
Belize,Rural Female 15-24 yr,Percent,29.0
Belize,Urban Female 15-24 yr,Percent,49.0
Belize,Female 15-24 yr Ratio of urban to rural,Ratio,1.7
Belize,Female 15-24 yr Ratio of richest to poorest,Ratio,2.0
Belize,Female 15-24 yr Poorest 20%,Percent,28.0
Belize,Female 15-24 yr Richest 20%,Percent,55.0
Benin,Female 15-24 yr,Percent,16.0
Benin,Male 15-24 yr,Percent,35.0
Benin,Female 15-19 yr,Percent,17.0
Benin,Male 15-19 yr,Percent,31.0
Benin,Rural Female 15-24 yr,Percent,11.0
Benin,Urban Female 15-24 yr,Percent,22.0
Benin,Female 15-24 yr Ratio of urban to rural,Ratio,1.9
Benin,Female 15-24 yr Ratio of richest to poorest,Ratio,3.1
Benin,Male 15-24 yr Ratio of richest to poorest,Ratio,3.0
Benin,Female 15-24 yr Poorest 20%,Percent,9.0
Benin,Female 15-24 yr Richest 20%,Percent,26.0
Benin,Male 15-24 yr Poorest 20%,Percent,17.0
Benin,Male 15-24 yr Richest 20%,Percent,52.0
Bhutan,Female 15-24 yr,Percent,21.0
Bhutan,Female 15-19 yr,Percent,22.0
Bhutan,Rural Female 15-24 yr,Percent,15.0
Bhutan,Urban Female 15-24 yr,Percent,32.0
Bhutan,Female 15-24 yr Ratio of urban to rural,Ratio,2.1
Bhutan,Female 15-24 yr Ratio of richest to poorest,Ratio,4.4
Bhutan,Female 15-24 yr Poorest 20%,Percent,7.0
Bhutan,Female 15-24 yr Richest 20%,Percent,32.0
Bolivia (Plurinational State of),Female 15-24 yr,Percent,24.0
Bolivia (Plurinational State of),Male 15-24 yr,Percent,28.0
Bolivia (Plurinational State of),Female 15-19 yr,Percent,22.0
Bolivia (Plurinational State of),Male 15-19 yr,Percent,24.0
Bolivia (Plurinational State of),Rural Female 15-24 yr,Percent,9.0
Bolivia (Plurinational State of),Urban Female 15-24 yr,Percent,32.0
Bolivia (Plurinational State of),Female 15-24 yr Ratio of urban to rural,Ratio,3.5
Bolivia (Plurinational State of),Female 15-24 yr Ratio of richest to poorest,Ratio,8.4
Bolivia (Plurinational State of),Male 15-24 yr Ratio of richest to poorest,Ratio,4.3
Bolivia (Plurinational State of),Female 15-24 yr Poorest 20%,Percent,5.0
Bolivia (Plurinational State of),Female 15-24 yr Richest 20%,Percent,40.0
Bolivia (Plurinational State of),Male 15-24 yr Poorest 20%,Percent,11.0
Bolivia (Plurinational State of),Male 15-24 yr Richest 20%,Percent,45.0
Bosnia and Herzegovina,Female 15-24 yr,Percent,44.0
Bosnia and Herzegovina,Female 15-19 yr,Percent,45.0
Bosnia and Herzegovina,Rural Female 15-24 yr,Percent,42.0
Bosnia and Herzegovina,Urban Female 15-24 yr,Percent,46.0
Bosnia and Herzegovina,Female 15-24 yr Ratio of urban to rural,Ratio,1.1
Bosnia and Herzegovina,Female 15-24 yr Ratio of richest to poorest,Ratio,1.1
Bosnia and Herzegovina,Female 15-24 yr Poorest 20%,Percent,46.0
Bosnia and Herzegovina,Female 15-24 yr Richest 20%,Percent,49.0
Burkina Faso,Female 15-24 yr,Percent,31.0
Burkina Faso,Male 15-24 yr,Percent,36.0
Burkina Faso,Female 15-19 yr,Percent,29.0
Burkina Faso,Male 15-19 yr,Percent,31.0
Burkina Faso,Rural Female 15-24 yr,Percent,24.0
Burkina Faso,Urban Female 15-24 yr,Percent,46.0
Burkina Faso,Female 15-24 yr Ratio of urban to rural,Ratio,1.9
Burkina Faso,Female 15-24 yr Ratio of richest to poorest,Ratio,4.4
Burkina Faso,Female 15-24 yr Poorest 20%,Percent,8.0
Burkina Faso,Female 15-24 yr Richest 20%,Percent,37.0
Burundi,Female 15-24 yr,Percent,45.0
Burundi,Male 15-24 yr,Percent,47.0
Burundi,Female 15-19 yr,Percent,43.0
Burundi,Male 15-19 yr,Percent,45.0
Burundi,Rural Female 15-24 yr,Percent,43.0
Burundi,Urban Female 15-24 yr,Percent,59.0
Burundi,Female 15-24 yr Ratio of urban to rural,Ratio,1.4
Cambodia,Female 15-24 yr,Percent,44.0
Cambodia,Male 15-24 yr,Percent,44.0
Cambodia,Female 15-19 yr,Percent,43.0
Cambodia,Male 15-19 yr,Percent,41.0
Cambodia,Rural Female 15-24 yr,Percent,41.0
Cambodia,Urban Female 15-24 yr,Percent,55.0
Cambodia,Female 15-24 yr Ratio of urban to rural,Ratio,1.3
Cambodia,Female 15-24 yr Ratio of richest to poorest,Ratio,2.1
Cambodia,Male 15-24 yr Ratio of richest to poorest,Ratio,2.1
Cambodia,Female 15-24 yr Poorest 20%,Percent,28.0
Cambodia,Female 15-24 yr Richest 20%,Percent,58.0
Cambodia,Male 15-24 yr Poorest 20%,Percent,30.0
Cambodia,Male 15-24 yr Richest 20%,Percent,64.0
Cameroon,Female 15-24 yr,Percent,32.0
Cameroon,Male 15-24 yr,Percent,34.0
Cameroon,Female 15-19 yr,Percent,32.0
Cameroon,Rural Female 15-24 yr,Percent,18.0
Cameroon,Urban Female 15-24 yr,Percent,42.0
Cameroon,Female 15-24 yr Ratio of urban to rural,Ratio,2.4
Cameroon,Female 15-24 yr Ratio of richest to poorest,Ratio,4.0
Cameroon,Female 15-24 yr Poorest 20%,Percent,12.0
Cameroon,Female 15-24 yr Richest 20%,Percent,50.0
Central African Republic,Female 15-24 yr,Percent,17.0
Central African Republic,Male 15-24 yr,Percent,26.0
Central African Republic,Female 15-19 yr,Percent,16.0
Central African Republic,Male 15-19 yr,Percent,26.0
Central African Republic,Rural Female 15-24 yr,Percent,13.0
Central African Republic,Urban Female 15-24 yr,Percent,21.0
Central African Republic,Female 15-24 yr Ratio of urban to rural,Ratio,1.6
Central African Republic,Female 15-24 yr Ratio of richest to poorest,Ratio,1.6
Central African Republic,Male 15-24 yr Ratio of richest to poorest,Ratio,1.7
Central African Republic,Female 15-24 yr Poorest 20%,Percent,14.0
Central African Republic,Female 15-24 yr Richest 20%,Percent,23.0
Central African Republic,Male 15-24 yr Poorest 20%,Percent,19.0
Central African Republic,Male 15-24 yr Richest 20%,Percent,33.0
Chad,Female 15-24 yr,Percent,10.0
Chad,Female 15-19 yr,Percent,10.0
Chad,Rural Female 15-24 yr,Percent,7.0
Chad,Urban Female 15-24 yr,Percent,18.0
Chad,Female 15-24 yr Ratio of urban to rural,Ratio,2.6
Chad,Female 15-24 yr Ratio of richest to poorest,Ratio,2.9
Chad,Female 15-24 yr Poorest 20%,Percent,6.0
Chad,Female 15-24 yr Richest 20%,Percent,18.0
Colombia,Female 15-24 yr,Percent,24.0
Colombia,Female 15-19 yr,Percent,21.0
Colombia,Rural Female 15-24 yr,Percent,21.0
Colombia,Urban Female 15-24 yr,Percent,30.0
Colombia,Female 15-24 yr Ratio of urban to rural,Ratio,1.4
Colombia,Female 15-24 yr Ratio of richest to poorest,Ratio,2.2
Colombia,Female 15-24 yr Poorest 20%,Percent,15.0
Colombia,Female 15-24 yr Richest 20%,Percent,32.0
Congo,Female 15-24 yr,Percent,8.0
Congo,Male 15-24 yr,Percent,22.0
Congo,Female 15-19 yr,Percent,8.0
Congo,Male 15-19 yr,Percent,18.0
Congo,Rural Female 15-24 yr,Percent,6.0
Congo,Urban Female 15-24 yr,Percent,9.0
Congo,Female 15-24 yr Ratio of urban to rural,Ratio,1.5
Congo,Female 15-24 yr Ratio of richest to poorest,Ratio,2.4
Congo,Male 15-24 yr Ratio of richest to poorest,Ratio,2.3
Congo,Female 15-24 yr Poorest 20%,Percent,5.0
Congo,Female 15-24 yr Richest 20%,Percent,12.0
Congo,Male 15-24 yr Poorest 20%,Percent,12.0
Congo,Male 15-24 yr Richest 20%,Percent,27.0
Cuba,Female 15-24 yr,Percent,54.0
Cuba,Female 15-19 yr,Percent,54.0
Cuba,Rural Female 15-24 yr,Percent,49.0
Cuba,Urban Female 15-24 yr,Percent,55.0
Cuba,Female 15-24 yr Ratio of urban to rural,Ratio,1.1
Democratic People's Republic of Korea,Female 15-24 yr,Percent,8.0
Democratic People's Republic of Korea,Female 15-19 yr,Percent,7.0
