Country or Area,Subgroup,Unit,Proportion of births attended by skilled health personnel
Afghanistan,Total,Percent,39.0
Afghanistan,Rural,Percent,31.0
Afghanistan,Urban,Percent,74.0
Afghanistan,Ratio of urban to rural,Ratio,2.4
Afghanistan,Poorest 20%,Percent,16.0
Afghanistan,Richest 20%,Percent,76.0
Afghanistan,Ratio of richest to poorest,Ratio,4.9
Albania,Total,Percent,99.0
Albania,Rural,Percent,99.0
Albania,Urban,Percent,100.0
Albania,Ratio of urban to rural,Ratio,1.0
Albania,Poorest 20%,Percent,98.0
Albania,Richest 20%,Percent,100.0
Albania,Ratio of richest to poorest,Ratio,1.0
Algeria,Total,Percent,95.0
Algeria,Rural,Percent,92.0
Algeria,Urban,Percent,98.0
Algeria,Ratio of urban to rural,Ratio,1.1
Algeria,Poorest 20%,Percent,88.0
Algeria,Richest 20%,Percent,98.0
Algeria,Ratio of richest to poorest,Ratio,1.1
Angola,Total,Percent,47.0
Angola,Rural,Percent,26.0
Angola,Urban,Percent,71.0
Angola,Ratio of urban to rural,Ratio,2.8
Antigua and Barbuda,Total,Percent,100.0
Argentina,Total,Percent,95.0
Armenia,Total,Percent,100.0
Armenia,Rural,Percent,99.0
Armenia,Urban,Percent,100.0
Armenia,Ratio of urban to rural,Ratio,1.0
Armenia,Poorest 20%,Percent,99.0
Armenia,Richest 20%,Percent,100.0
Armenia,Ratio of richest to poorest,Ratio,1.0
Azerbaijan,Total,Percent,88.0
Azerbaijan,Rural,Percent,80.0
Azerbaijan,Urban,Percent,97.0
Azerbaijan,Ratio of urban to rural,Ratio,1.2
Azerbaijan,Poorest 20%,Percent,76.0
Azerbaijan,Richest 20%,Percent,100.0
Azerbaijan,Ratio of richest to poorest,Ratio,1.3
Bahamas,Total,Percent,99.0
Bahrain,Total,Percent,97.0
Bangladesh,Total,Percent,32.0
Bangladesh,Rural,Percent,25.0
Bangladesh,Urban,Percent,54.0
Bangladesh,Ratio of urban to rural,Ratio,2.1
Bangladesh,Poorest 20%,Percent,12.0
Bangladesh,Richest 20%,Percent,64.0
Bangladesh,Ratio of richest to poorest,Ratio,5.5
Barbados,Total,Percent,100.0
Belarus,Total,Percent,100.0
Belarus,Rural,Percent,100.0
Belarus,Urban,Percent,100.0
Belarus,Ratio of urban to rural,Ratio,1.0
Belarus,Poorest 20%,Percent,100.0
Belarus,Richest 20%,Percent,100.0
Belarus,Ratio of richest to poorest,Ratio,1.0
Belize,Total,Percent,94.0
