Country or Area,Proportion of households consuming iodized salt
Afghanistan,28.0
Albania,76.0
Algeria,61.0
Angola,45.0
Armenia,97.0
Azerbaijan,54.0
Bangladesh,84.0
Belarus,94.0
Benin,86.0
Bhutan,96.0
Bolivia (Plurinational State of),89.0
Bosnia and Herzegovina,62.0
Botswana,65.0
Brazil,96.0
Bulgaria,100.0
Burkina Faso,34.0
Burundi,98.0
Cambodia,83.0
Cameroon,49.0
Cape Verde,75.0
Central African Republic,65.0
Chad,54.0
China,97.0
Comoros,82.0
Congo,82.0
Côte d'Ivoire,84.0
Cuba,88.0
Democratic People's Republic of Korea,25.0
Democratic Republic of the Congo,59.0
Djibouti,0.0
Dominican Republic,19.0
East Asia and Pacific,87.0
Eastern and Southern Africa,50.0
Egypt,79.0
El Salvador,62.0
Equatorial Guinea,33.0
Eritrea,68.0
Ethiopia,15.0
Gabon,36.0
Gambia,21.0
Georgia,100.0
Ghana,32.0
Guatemala,76.0
Guinea,41.0
Guinea-Bissau,12.0
Guyana,11.0
Haiti,3.0
India,71.0
Indonesia,62.0
Iran (Islamic Republic of),99.0
Iraq,28.0
Jordan,88.0
Kazakhstan,92.0
Kenya,98.0
Kyrgyzstan,76.0
Lao People's Democratic Republic,84.0
Least Developed Countries/Territories,50.0
Lebanon,71.0
Lesotho,84.0
Madagascar,53.0
Malawi,50.0
Malaysia,18.0
Maldives,44.0
Mali,79.0
Mauritania,23.0
Mexico,91.0
Mongolia,70.0
Montenegro,71.0
Morocco,21.0
Mozambique,25.0
Myanmar,93.0
Namibia,63.0
Nepal,80.0
Nicaragua,97.0
Niger,32.0
Nigeria,97.0
Oman,69.0
Pakistan,69.0
Papua New Guinea,92.0
Paraguay,93.0
Peru,91.0
Philippines,45.0
Republic of Moldova,60.0
Romania,74.0
Russian Federation,35.0
Rwanda,99.0
Saint Kitts and Nevis,100.0
Sao Tome and Principe,86.0
Senegal,47.0
Serbia,32.0
Sierra Leone,63.0
Somalia,1.0
South Asia,71.0
South Sudan,54.0
Sri Lanka,92.0
State of Palestine,86.0
Sub-Saharan Africa,48.0
Sudan,10.0
Swaziland,52.0
Syrian Arab Republic,79.0
Tajikistan,62.0
Thailand,47.0
The former Yugoslav Republic of Macedonia,94.0
Timor-Leste,60.0
Togo,32.0
Trinidad and Tobago,28.0
Tunisia,97.0
Turkey,69.0
Turkmenistan,87.0
Uganda,96.0
Ukraine,18.0
United Republic of Tanzania,59.0
Uzbekistan,53.0
Vanuatu,23.0
Viet Nam,45.0
World,76.0
Yemen,30.0
Zambia,77.0
Zimbabwe,94.0
