Country or Area,Proportion of households owning at least one ITN
Angola,35.0
Benin,80.0
Burkina Faso,57.0
Burundi,52.0
Cambodia,5.0
Cameroon,36.0
Central African Republic,47.0
Chad,42.0
Colombia,3.0
Congo,27.0
Côte d'Ivoire,68.0
Democratic Republic of the Congo,51.0
Djibouti,30.0
Eastern and Southern Africa,54.0
Eritrea,71.0
Ethiopia,53.0
Gabon,70.0
Gambia,51.0
Ghana,48.0
Guinea,8.0
Guinea-Bissau,53.0
Guyana,26.0
Indonesia,3.0
Kenya,56.0
Lao People's Democratic Republic,45.0
Least Developed Countries/Territories,53.0
Liberia,50.0
Madagascar,57.0
Malawi,57.0
Mali,85.0
Mauritania,12.0
Mozambique,28.0
Namibia,54.0
Niger,76.0
Nigeria,42.0
Pakistan,0.0
Rwanda,82.0
Sao Tome and Principe,61.0
Senegal,63.0
Sierra Leone,36.0
Solomon Islands,49.0
Somalia,12.0
South Sudan,53.0
Sri Lanka,5.0
Sub-Saharan Africa,50.0
Sudan,25.0
Swaziland,10.0
Tajikistan,2.0
Timor-Leste,42.0
Togo,57.0
Uganda,60.0
United Republic of Tanzania,64.0
Vanuatu,68.0
Viet Nam,10.0
Western and Central Africa,49.0
Zambia,64.0
Zimbabwe,29.0
