Country or Area,Proportion of population in malaria risk areas using effective malaria prevention measures
Angola,26.0
Azerbaijan,1.0
Benin,71.0
Burkina Faso,47.0
Burundi,45.0
Cambodia,4.0
Cameroon,21.0
Central African Republic,36.0
Chad,10.0
Comoros,9.0
Congo,26.0
Côte d'Ivoire,39.0
Democratic Republic of the Congo,38.0
Djibouti,20.0
East Asia and Pacific,6.0
Eastern and Southern Africa,41.0
Equatorial Guinea,1.0
Eritrea,49.0
Ethiopia,33.0
Gabon,55.0
Gambia,33.0
Ghana,39.0
Guinea,5.0
Guinea-Bissau,36.0
Guyana,24.0
Indonesia,3.0
Iraq,0.0
Kenya,47.0
Lao People's Democratic Republic,41.0
Least Developed Countries/Territories,41.0
Liberia,37.0
Madagascar,46.0
Malawi,39.0
Mali,70.0
Mozambique,18.0
Myanmar,11.0
Namibia,34.0
Niger,64.0
Nigeria,29.0
Rwanda,70.0
Sao Tome and Principe,56.0
Senegal,35.0
Sierra Leone,30.0
Solomon Islands,40.0
Somalia,11.0
South Sudan,25.0
Sri Lanka,3.0
Sub-Saharan Africa,38.0
Suriname,3.0
Swaziland,2.0
Tajikistan,1.0
Timor-Leste,42.0
Togo,57.0
Uganda,43.0
United Republic of Tanzania,64.0
Vanuatu,56.0
Viet Nam,9.0
Western and Central Africa,36.0
Zambia,50.0
Zimbabwe,10.0
