Country or Area,Subgroup,Unit,Proportion of population with access to improved sanitation
Afghanistan,Rural,Percent,30.0
Afghanistan,Urban,Percent,60.0
Afghanistan,Total,Percent,37.0
Afghanistan,Ratio of urban to rural,Ratio,2.0
Albania,Rural,Percent,93.0
Albania,Urban,Percent,95.0
Albania,Total,Percent,94.0
Albania,Ratio of urban to rural,Ratio,1.0
Algeria,Rural,Percent,88.0
Algeria,Urban,Percent,98.0
Algeria,Total,Percent,95.0
Algeria,Ratio of urban to rural,Ratio,1.1
Andorra,Rural,Percent,100.0
Andorra,Urban,Percent,100.0
Andorra,Total,Percent,100.0
Andorra,Ratio of urban to rural,Ratio,1.0
Angola,Rural,Percent,19.0
Angola,Urban,Percent,85.0
Angola,Total,Percent,58.0
Angola,Ratio of urban to rural,Ratio,4.5
Antigua and Barbuda,Urban,Percent,98.0
Armenia,Rural,Percent,80.0
Armenia,Urban,Percent,95.0
Armenia,Total,Percent,90.0
Armenia,Ratio of urban to rural,Ratio,1.2
Australia,Rural,Percent,100.0
Australia,Urban,Percent,100.0
Australia,Total,Percent,100.0
Australia,Ratio of urban to rural,Ratio,1.0
Austria,Rural,Percent,100.0
Austria,Urban,Percent,100.0
Austria,Total,Percent,100.0
Austria,Ratio of urban to rural,Ratio,1.0
Azerbaijan,Rural,Percent,78.0
Azerbaijan,Urban,Percent,86.0
Azerbaijan,Total,Percent,82.0
Azerbaijan,Ratio of urban to rural,Ratio,1.1
Bahamas,Rural,Percent,100.0
Bahamas,Urban,Percent,100.0
Bahamas,Total,Percent,100.0
Bahamas,Ratio of urban to rural,Ratio,1.0
Bahrain,Urban,Percent,100.0
Bangladesh,Rural,Percent,55.0
Bangladesh,Urban,Percent,57.0
Bangladesh,Total,Percent,56.0
Bangladesh,Ratio of urban to rural,Ratio,1.0
Barbados,Rural,Percent,100.0
Barbados,Urban,Percent,100.0
Barbados,Total,Percent,100.0
Barbados,Ratio of urban to rural,Ratio,1.0
Belarus,Rural,Percent,97.0
Belarus,Urban,Percent,91.0
Belarus,Total,Percent,93.0
Belarus,Ratio of urban to rural,Ratio,0.9
Belgium,Rural,Percent,100.0
Belgium,Urban,Percent,100.0
Belgium,Total,Percent,100.0
Belgium,Ratio of urban to rural,Ratio,1.0
Belize,Rural,Percent,87.0
Belize,Urban,Percent,93.0
Belize,Total,Percent,90.0
Belize,Ratio of urban to rural,Ratio,1.1
Benin,Rural,Percent,5.0
Benin,Urban,Percent,25.0
Benin,Total,Percent,13.0
Benin,Ratio of urban to rural,Ratio,5.0
Bhutan,Rural,Percent,29.0
Bhutan,Urban,Percent,73.0
Bhutan,Total,Percent,44.0
Bhutan,Ratio of urban to rural,Ratio,2.5
Bolivia (Plurinational State of),Rural,Percent,10.0
Bolivia (Plurinational State of),Urban,Percent,35.0
Bolivia (Plurinational State of),Total,Percent,27.0
Bolivia (Plurinational State of),Ratio of urban to rural,Ratio,3.5
Bosnia and Herzegovina,Rural,Percent,92.0
Bosnia and Herzegovina,Urban,Percent,99.0
Bosnia and Herzegovina,Total,Percent,95.0
Bosnia and Herzegovina,Ratio of urban to rural,Ratio,1.1
Botswana,Rural,Percent,41.0
Botswana,Urban,Percent,75.0
Botswana,Total,Percent,62.0
Botswana,Ratio of urban to rural,Ratio,1.8
Brazil,Rural,Percent,44.0
Brazil,Urban,Percent,85.0
Brazil,Total,Percent,79.0
Brazil,Ratio of urban to rural,Ratio,1.9
Bulgaria,Rural,Percent,100.0
Bulgaria,Urban,Percent,100.0
Bulgaria,Total,Percent,100.0
Bulgaria,Ratio of urban to rural,Ratio,1.0
Burkina Faso,Rural,Percent,6.0
Burkina Faso,Urban,Percent,50.0
Burkina Faso,Total,Percent,17.0
Burkina Faso,Ratio of urban to rural,Ratio,8.3
Burundi,Rural,Percent,46.0
Burundi,Urban,Percent,49.0
Burundi,Total,Percent,46.0
Burundi,Ratio of urban to rural,Ratio,1.1
Cambodia,Rural,Percent,20.0
Cambodia,Urban,Percent,73.0
Cambodia,Total,Percent,31.0
Cambodia,Ratio of urban to rural,Ratio,3.7
Cameroon,Rural,Percent,36.0
Cameroon,Urban,Percent,58.0
Cameroon,Total,Percent,49.0
Cameroon,Ratio of urban to rural,Ratio,1.6
Canada,Rural,Percent,99.0
Canada,Urban,Percent,100.0
Canada,Total,Percent,100.0
Canada,Ratio of urban to rural,Ratio,1.0
Cape Verde,Rural,Percent,43.0
Cape Verde,Urban,Percent,73.0
Cape Verde,Total,Percent,61.0
Cape Verde,Ratio of urban to rural,Ratio,1.7
CEE/CIS,Rural,Percent,80.0
CEE/CIS,Urban,Percent,87.0
CEE/CIS,Total,Percent,85.0
CEE/CIS,Ratio of urban to rural,Ratio,1.1
Central African Republic,Rural,Percent,28.0
Central African Republic,Urban,Percent,43.0
Central African Republic,Total,Percent,34.0
Central African Republic,Ratio of urban to rural,Ratio,1.5
Chad,Rural,Percent,6.0
Chad,Urban,Percent,30.0
Chad,Total,Percent,13.0
Chad,Ratio of urban to rural,Ratio,5.0
Chile,Rural,Percent,83.0
Chile,Urban,Percent,98.0
Chile,Total,Percent,96.0
Chile,Ratio of urban to rural,Ratio,1.2
China,Rural,Percent,56.0
China,Urban,Percent,74.0
China,Total,Percent,64.0
China,Ratio of urban to rural,Ratio,1.3
Colombia,Rural,Percent,63.0
Colombia,Urban,Percent,82.0
Colombia,Total,Percent,77.0
Colombia,Ratio of urban to rural,Ratio,1.3
Comoros,Rural,Percent,30.0
Comoros,Urban,Percent,50.0
Comoros,Total,Percent,36.0
Comoros,Ratio of urban to rural,Ratio,1.7
Congo,Rural,Percent,15.0
Congo,Urban,Percent,20.0
Congo,Total,Percent,18.0
Congo,Ratio of urban to rural,Ratio,1.3
