Country or Area,Subgroup,Proportion of population with sustainable access to an improved water source
Afghanistan,Rural,42.0
Afghanistan,Urban,78.0
Afghanistan,Total,50.0
Albania,Rural,94.0
Albania,Urban,96.0
Albania,Total,95.0
Algeria,Rural,79.0
Algeria,Urban,85.0
Algeria,Total,83.0
Andorra,Rural,100.0
Andorra,Urban,100.0
Andorra,Total,100.0
Angola,Rural,38.0
Angola,Urban,60.0
Angola,Total,51.0
Antigua and Barbuda,Urban,95.0
Argentina,Urban,98.0
Armenia,Rural,97.0
Armenia,Urban,99.0
Armenia,Total,98.0
Australia,Rural,100.0
Australia,Urban,100.0
Australia,Total,100.0
Austria,Rural,100.0
Austria,Urban,100.0
Austria,Total,100.0
Azerbaijan,Rural,71.0
Azerbaijan,Urban,88.0
Azerbaijan,Total,80.0
Bahamas,Urban,98.0
Bahrain,Urban,100.0
Bangladesh,Rural,80.0
Bangladesh,Urban,85.0
Bangladesh,Total,81.0
Barbados,Rural,100.0
Barbados,Urban,100.0
Barbados,Total,100.0
Belarus,Rural,99.0
Belarus,Urban,100.0
Belarus,Total,100.0
Belgium,Rural,100.0
Belgium,Urban,100.0
Belgium,Total,100.0
Belize,Rural,99.0
Belize,Urban,98.0
Belize,Total,98.0
Benin,Rural,68.0
Benin,Urban,84.0
Benin,Total,75.0
Bhutan,Rural,94.0
Bhutan,Urban,100.0
Bhutan,Total,96.0
Bolivia (Plurinational State of),Rural,71.0
Bolivia (Plurinational State of),Urban,96.0
Bolivia (Plurinational State of),Total,88.0
Bosnia and Herzegovina,Rural,98.0
Bosnia and Herzegovina,Urban,100.0
Bosnia and Herzegovina,Total,99.0
Botswana,Rural,92.0
Botswana,Urban,99.0
Botswana,Total,96.0
Brazil,Rural,85.0
Brazil,Urban,100.0
Brazil,Total,98.0
Bulgaria,Rural,100.0
Bulgaria,Urban,100.0
Bulgaria,Total,100.0
Burkina Faso,Rural,73.0
Burkina Faso,Urban,95.0
Burkina Faso,Total,79.0
Burundi,Rural,71.0
Burundi,Urban,83.0
Burundi,Total,72.0
Cambodia,Rural,58.0
Cambodia,Urban,87.0
Cambodia,Total,64.0
Cameroon,Rural,52.0
Cameroon,Urban,95.0
Cameroon,Total,77.0
Canada,Rural,99.0
Canada,Urban,100.0
Canada,Total,100.0
Cape Verde,Rural,85.0
Cape Verde,Urban,90.0
Cape Verde,Total,88.0
CEE/CIS,Rural,91.0
CEE/CIS,Urban,99.0
CEE/CIS,Total,96.0
Central African Republic,Rural,51.0
Central African Republic,Urban,92.0
Central African Republic,Total,67.0
