Country or Area,Subgroup,Unit,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding
Afghanistan,Total <5 yr,Percent,53.0
Afghanistan,Rural,Percent,54.0
Afghanistan,Urban,Percent,48.0
Afghanistan,Ratio of urban to rural,Ratio,0.9
Afghanistan,Poorest 20%,Percent,56.0
Afghanistan,Richest 20%,Percent,52.0
Afghanistan,Ratio of richest to poorest,Ratio,0.9
Albania,Total <5 yr,Percent,54.0
Albania,Rural,Percent,36.0
Albania,Urban,Percent,33.0
Albania,Ratio of urban to rural,Ratio,0.9
Algeria,Total <5 yr,Percent,19.0
Algeria,Rural,Percent,19.0
Algeria,Urban,Percent,18.0
Algeria,Ratio of urban to rural,Ratio,1.0
Algeria,Poorest 20%,Percent,15.0
Algeria,Richest 20%,Percent,19.0
Algeria,Ratio of richest to poorest,Ratio,1.2
Armenia,Total <5 yr,Percent,33.0
Armenia,Rural,Percent,28.0
Armenia,Urban,Percent,22.0
Armenia,Ratio of urban to rural,Ratio,0.8
Azerbaijan,Total <5 yr,Percent,21.0
Azerbaijan,Rural,Percent,5.0
Azerbaijan,Urban,Percent,19.0
Azerbaijan,Ratio of urban to rural,Ratio,3.6
Azerbaijan,Poorest 20%,Percent,3.0
Azerbaijan,Richest 20%,Percent,36.0
Azerbaijan,Ratio of richest to poorest,Ratio,13.3
Bangladesh,Total <5 yr,Percent,78.0
Bangladesh,Rural,Percent,76.0
Bangladesh,Urban,Percent,84.0
Bangladesh,Ratio of urban to rural,Ratio,1.1
Bangladesh,Poorest 20%,Percent,81.0
Bangladesh,Richest 20%,Percent,82.0
Bangladesh,Ratio of richest to poorest,Ratio,1.0
Belarus,Total <5 yr,Percent,36.0
Belarus,Rural,Percent,33.0
Belarus,Urban,Percent,38.0
Belarus,Ratio of urban to rural,Ratio,1.1
Belize,Total <5 yr,Percent,27.0
Benin,Total <5 yr,Percent,50.0
Benin,Rural,Percent,47.0
Benin,Urban,Percent,58.0
Benin,Ratio of urban to rural,Ratio,1.2
Benin,Poorest 20%,Percent,15.0
Benin,Richest 20%,Percent,32.0
Benin,Ratio of richest to poorest,Ratio,2.1
Bhutan,Total <5 yr,Percent,61.0
Bhutan,Rural,Percent,60.0
Bhutan,Urban,Percent,64.0
Bhutan,Ratio of urban to rural,Ratio,1.1
Bhutan,Poorest 20%,Percent,60.0
Bhutan,Richest 20%,Percent,56.0
Bhutan,Ratio of richest to poorest,Ratio,0.9
Bolivia (Plurinational State of),Total <5 yr,Percent,35.0
Bolivia (Plurinational State of),Rural,Percent,32.0
Bolivia (Plurinational State of),Urban,Percent,38.0
Bolivia (Plurinational State of),Ratio of urban to rural,Ratio,1.2
Bolivia (Plurinational State of),Poorest 20%,Percent,31.0
Bolivia (Plurinational State of),Richest 20%,Percent,35.0
Bolivia (Plurinational State of),Ratio of richest to poorest,Ratio,1.1
Bosnia and Herzegovina,Total <5 yr,Percent,35.0
Bosnia and Herzegovina,Rural,Percent,35.0
Bosnia and Herzegovina,Urban,Percent,34.0
Bosnia and Herzegovina,Ratio of urban to rural,Ratio,1.0
Botswana,Total <5 yr,Percent,49.0
Botswana,Rural,Percent,51.0
Botswana,Urban,Percent,47.0
Botswana,Ratio of urban to rural,Ratio,0.9
Burkina Faso,Total <5 yr,Percent,21.0
Burkina Faso,Rural,Percent,19.0
Burkina Faso,Urban,Percent,31.0
Burkina Faso,Ratio of urban to rural,Ratio,1.6
Burkina Faso,Poorest 20%,Percent,13.0
