Country or Area,Routine EPI vaccines financed by government
Azerbaijan,78.0
Bahrain,100.0
Bangladesh,30.0
Benin,17.0
Bhutan,4.0
Botswana,100.0
Burkina Faso,32.0
Burundi,3.0
Cambodia,23.0
Cameroon,9.0
Cape Verde,100.0
Chad,11.0
China,100.0
Congo,9.0
Côte d'Ivoire,30.0
Democratic Republic of the Congo,0.0
Djibouti,0.0
East Asia and Pacific,95.0
Eastern and Southern Africa,39.0
Egypt,100.0
Equatorial Guinea,100.0
Eritrea,3.0
Estonia,100.0
Finland,100.0
Gabon,100.0
Gambia,100.0
Georgia,78.0
Guinea,24.0
Hungary,100.0
India,100.0
Indonesia,100.0
Iran (Islamic Republic of),100.0
Jordan,100.0
Kenya,57.0
Lao People's Democratic Republic,6.0
Latvia,100.0
Least Developed Countries/Territories,19.0
Lesotho,42.0
Liberia,91.0
Lithuania,100.0
Madagascar,21.0
Maldives,100.0
Marshall Islands,2.0
Mauritania,21.0
Mauritius,100.0
Middle East and North Africa,75.0
Mongolia,69.0
Montenegro,100.0
Mozambique,20.0
Nauru,100.0
Nepal,20.0
Netherlands,100.0
New Zealand,100.0
Niger,14.0
Niue,5.0
Norway,100.0
Palau,0.0
Papua New Guinea,45.0
Portugal,100.0
Romania,100.0
Rwanda,11.0
Samoa,100.0
Sao Tome and Principe,15.0
Senegal,32.0
Seychelles,100.0
Sierra Leone,2.0
Slovakia,100.0
Solomon Islands,47.0
Somalia,0.0
South Africa,100.0
South Asia,90.0
South Sudan,0.0
Sri Lanka,39.0
Sub-Saharan Africa,27.0
Sudan,2.0
Switzerland,0.0
Tajikistan,18.0
Thailand,100.0
Timor-Leste,100.0
Togo,25.0
Tonga,100.0
Uganda,19.0
United Republic of Tanzania,23.0
Vanuatu,16.0
Viet Nam,30.0
Western and Central Africa,17.0
World,84.0
Yemen,13.0
Zambia,19.0
