Country or Area,Year,Total fertility rate (TFR)
Afghanistan,2011.0,6.2
Afghanistan,1990.0,8.0
Afghanistan,1970.0,7.7
Albania,2011.0,1.5
Albania,1990.0,3.2
Albania,1970.0,4.9
Algeria,2011.0,2.2
Algeria,1990.0,4.7
Algeria,1970.0,7.4
Angola,2011.0,5.3
Angola,1990.0,7.2
Angola,1970.0,7.3
Argentina,2011.0,2.2
Argentina,1990.0,3.0
Argentina,1970.0,3.1
Armenia,2011.0,1.7
Armenia,1990.0,2.5
Armenia,1970.0,3.2
Australia,2011.0,2.0
Australia,1990.0,1.9
Australia,1970.0,2.7
Austria,2011.0,1.4
Austria,1990.0,1.5
Austria,1970.0,2.3
Azerbaijan,2011.0,2.2
Azerbaijan,1990.0,3.0
Azerbaijan,1970.0,4.6
Bahamas,2011.0,1.9
Bahamas,1990.0,2.6
Bahamas,1970.0,3.5
Bahrain,2011.0,2.5
Bahrain,1990.0,3.7
Bahrain,1970.0,6.5
Bangladesh,2011.0,2.2
Bangladesh,1990.0,4.5
Bangladesh,1970.0,6.9
Barbados,2011.0,1.6
Barbados,1990.0,1.7
Barbados,1970.0,3.1
Belarus,2011.0,1.5
Belarus,1990.0,1.9
Belarus,1970.0,2.3
Belgium,2011.0,1.8
Belgium,1990.0,1.6
Belgium,1970.0,2.2
Belize,2011.0,2.7
Belize,1990.0,4.5
Belize,1970.0,6.3
Benin,2011.0,5.2
Benin,1990.0,6.7
Benin,1970.0,6.7
Bhutan,2011.0,2.3
Bhutan,1990.0,5.8
Bhutan,1970.0,6.7
Bolivia (Plurinational State of),2011.0,3.3
Bolivia (Plurinational State of),1990.0,4.9
Bolivia (Plurinational State of),1970.0,6.6
Bosnia and Herzegovina,2011.0,1.1
Bosnia and Herzegovina,1990.0,1.7
Bosnia and Herzegovina,1970.0,2.9
Botswana,2011.0,2.7
Botswana,1990.0,4.7
Botswana,1970.0,6.6
Brazil,2011.0,1.8
Brazil,1990.0,2.8
Brazil,1970.0,5.0
Brunei Darussalam,2011.0,2.0
Brunei Darussalam,1990.0,3.5
Brunei Darussalam,1970.0,5.8
Bulgaria,2011.0,1.5
Bulgaria,1990.0,1.7
Bulgaria,1970.0,2.2
Burkina Faso,2011.0,5.8
Burkina Faso,1990.0,6.8
Burkina Faso,1970.0,6.6
Burundi,2011.0,4.2
Burundi,1990.0,6.5
Burundi,1970.0,6.8
Cambodia,2011.0,2.5
Cambodia,1990.0,5.7
Cambodia,1970.0,5.9
Cameroon,2011.0,4.4
Cameroon,1990.0,5.9
Cameroon,1970.0,6.2
Canada,2011.0,1.7
Canada,1990.0,1.7
Canada,1970.0,2.2
Cape Verde,2011.0,2.3
Cape Verde,1990.0,5.3
Cape Verde,1970.0,6.9
CEE/CIS,2011.0,1.8
CEE/CIS,1990.0,2.3
CEE/CIS,1970.0,2.8
Central African Republic,2011.0,4.5
Central African Republic,1990.0,5.8
Central African Republic,1970.0,6.0
Chad,2011.0,5.9
Chad,1990.0,6.7
Chad,1970.0,6.5
Chile,2011.0,1.8
Chile,1990.0,2.6
Chile,1970.0,4.0
China,2011.0,1.6
China,1990.0,2.3
China,1970.0,5.5
Colombia,2011.0,2.3
Colombia,1990.0,3.1
Colombia,1970.0,5.6
Comoros,2011.0,4.9
Comoros,1990.0,5.6
Comoros,1970.0,7.1
Congo,2011.0,4.5
Congo,1990.0,5.4
Congo,1970.0,6.3
Costa Rica,2011.0,1.8
Costa Rica,1990.0,3.2
Costa Rica,1970.0,5.0
Côte d'Ivoire,2011.0,4.3
Côte d'Ivoire,1990.0,6.3
Côte d'Ivoire,1970.0,7.9
Croatia,2011.0,1.5
Croatia,1990.0,1.7
Croatia,1970.0,2.0
Cuba,2011.0,1.5
Cuba,1990.0,1.8
Cuba,1970.0,4.0
Cyprus,2011.0,1.5
Cyprus,1990.0,2.4
Cyprus,1970.0,2.6
Czech Republic,2011.0,1.5
Czech Republic,1990.0,1.8
Czech Republic,1970.0,2.0
Democratic People's Republic of Korea,2011.0,2.0
Democratic People's Republic of Korea,1990.0,2.4
Democratic People's Republic of Korea,1970.0,4.0
Democratic Republic of the Congo,2011.0,5.7
Democratic Republic of the Congo,1990.0,7.1
Democratic Republic of the Congo,1970.0,6.2
Denmark,2011.0,1.9
Denmark,1990.0,1.7
Denmark,1970.0,2.1
Djibouti,2011.0,3.7
Djibouti,1990.0,6.2
Djibouti,1970.0,7.4
Dominican Republic,2011.0,2.5
Dominican Republic,1990.0,3.5
Dominican Republic,1970.0,6.2
East Asia and Pacific,2011.0,1.8
East Asia and Pacific,1990.0,2.6
East Asia and Pacific,1970.0,5.6
Eastern and Southern Africa,2011.0,4.5
Eastern and Southern Africa,1990.0,6.0
Eastern and Southern Africa,1970.0,6.8
Ecuador,2011.0,2.4
Ecuador,1990.0,3.7
Ecuador,1970.0,6.3
Egypt,2011.0,2.7
Egypt,1990.0,4.4
Egypt,1970.0,5.9
El Salvador,2011.0,2.2
El Salvador,1990.0,4.0
El Salvador,1970.0,6.2
Equatorial Guinea,2011.0,5.1
Equatorial Guinea,1990.0,5.9
Equatorial Guinea,1970.0,5.7
Eritrea,2011.0,4.4
Eritrea,1990.0,6.2
Eritrea,1970.0,6.6
Estonia,2011.0,1.7
Estonia,1990.0,1.9
Estonia,1970.0,2.1
Ethiopia,2011.0,4.0
Ethiopia,1990.0,7.1
Ethiopia,1970.0,6.8
Fiji,2011.0,2.6
Fiji,1990.0,3.4
Fiji,1970.0,4.5
Finland,2011.0,1.9
Finland,1990.0,1.7
Finland,1970.0,1.9
France,2011.0,2.0
France,1990.0,1.8
France,1970.0,2.5
Gabon,2011.0,3.2
Gabon,1990.0,5.2
Gabon,1970.0,4.7
Gambia,2011.0,4.8
Gambia,1990.0,6.1
Gambia,1970.0,6.1
Georgia,2011.0,1.5
Georgia,1990.0,2.2
Georgia,1970.0,2.6
Germany,2011.0,1.4
Germany,1990.0,1.4
Germany,1970.0,2.0
Ghana,2011.0,4.1
Ghana,1990.0,5.6
Ghana,1970.0,7.0
Greece,2011.0,1.5
Greece,1990.0,1.4
Greece,1970.0,2.4
Grenada,2011.0,2.2
Grenada,1990.0,3.8
Grenada,1970.0,4.6
Guatemala,2011.0,3.9
Guatemala,1990.0,5.6
Guatemala,1970.0,6.2
Guinea,2011.0,5.2
Guinea,1990.0,6.7
Guinea,1970.0,6.8
Guinea-Bissau,2011.0,5.0
Guinea-Bissau,1990.0,6.6
Guinea-Bissau,1970.0,6.1
Guyana,2011.0,2.2
Guyana,1990.0,2.6
Guyana,1970.0,5.6
Haiti,2011.0,3.3
Haiti,1990.0,5.4
Haiti,1970.0,5.8
Honduras,2011.0,3.1
Honduras,1990.0,5.1
Honduras,1970.0,7.3
Hungary,2011.0,1.4
Hungary,1990.0,1.8
Hungary,1970.0,2.0
Iceland,2011.0,2.1
Iceland,1990.0,2.2
Iceland,1970.0,3.0
India,2011.0,2.6
India,1990.0,3.9
India,1970.0,5.5
Indonesia,2011.0,2.1
Indonesia,1990.0,3.1
Indonesia,1970.0,5.5
Iran (Islamic Republic of),2011.0,1.6
Iran (Islamic Republic of),1990.0,4.8
Iran (Islamic Republic of),1970.0,6.5
Iraq,2011.0,4.6
Iraq,1990.0,6.0
Iraq,1970.0,7.4
Ireland,2011.0,2.1
Ireland,1990.0,2.0
Ireland,1970.0,3.8
Israel,2011.0,2.9
Israel,1990.0,3.0
Israel,1970.0,3.8
Italy,2011.0,1.4
Italy,1990.0,1.3
Italy,1970.0,2.5
Jamaica,2011.0,2.3
Jamaica,1990.0,2.9
Jamaica,1970.0,5.5
Japan,2011.0,1.4
Japan,1990.0,1.6
Japan,1970.0,2.1
Jordan,2011.0,3.0
