Country or Area,Adolescent birth rate
Afghanistan,90
Albania,11
Algeria,4
Andorra,5
Angola,165
Antigua and Barbuda,67
Argentina,68
Armenia,28
Australia,16
Austria,10
Azerbaijan,41
Bahamas,41
Bahrain,12
Bangladesh,133
Barbados,50
Belarus,21
Belgium,11
Belize,90
Benin,114
Bhutan,59
Bolivia (Plurinational State of),89
Bosnia and Herzegovina,17
Botswana,51
Brazil,71
Brunei Darussalam,18
Bulgaria,48
Burkina Faso,130
Burundi,65
Cambodia,48
Cameroon,127
Canada,14
Cape Verde,92
CEE/CIS,31
Central African Republic,133
Chad,193
Chile,54
China,6
Colombia,85
Comoros,95
Congo,132
Cook Islands,47
Costa Rica,67
Côte d'Ivoire,111
Croatia,13
Cuba,51
Cyprus,4
Czech Republic,11
Democratic People's Republic of Korea,1
Democratic Republic of the Congo,135
Denmark,6
Djibouti,27
Dominica,48
Dominican Republic,98
East Asia and Pacific,14
Eastern and Southern Africa,102
Ecuador,100
Egypt,50
El Salvador,65
Equatorial Guinea,128
Estonia,21
Ethiopia,79
Fiji,31
Finland,8
France,12
Gambia,104
Georgia,44
Germany,9
Ghana,70
Greece,12
Grenada,53
Guatemala,92
Guinea,153
Guinea-Bissau,137
Guyana,97
Haiti,69
Honduras,108
Hungary,19
Iceland,15
India,39
Indonesia,52
Iran (Islamic Republic of),31
Iraq,68
Ireland,16
Israel,14
Italy,7
Jamaica,72
Japan,5
Jordan,32
Kazakhstan,31
Kenya,106
Kiribati,39
Kuwait,14
Kyrgyzstan,31
Lao People's Democratic Republic,110
Latin America and Caribbean,77
Latvia,15
Least Developed Countries/Territories,106
Lebanon,18
Lesotho,92
Liberia,177
Libya,4
Liechtenstein,4
Lithuania,17
Luxembourg,7
Madagascar,147
Malawi,157
Malaysia,14
Maldives,19
Mali,190
Malta,20
Marshall Islands,105
Mauritania,88
Mauritius,31
Mexico,87
Micronesia (Federated States of),52
Middle East and North Africa,37
Mongolia,20
Montenegro,24
Morocco,18
Mozambique,193
Myanmar,17
Namibia,74
Nauru,84
Nepal,81
Netherlands,5
New Zealand,29
Nicaragua,109
Niger,199
Nigeria,123
Niue,16
Norway,10
Oman,12
Pakistan,16
Palau,27
Panama,88
Papua New Guinea,70
Paraguay,63
Peru,72
Philippines,53
Poland,16
Portugal,16
Qatar,15
Republic of Korea,2
Republic of Moldova,26
Romania,41
Russian Federation,30
Rwanda,41
Saint Kitts and Nevis,67
Saint Lucia,49
Saint Vincent and the Grenadines,70
Samoa,29
San Marino,1
Sao Tome and Principe,110
Saudi Arabia,7
Senegal,93
Serbia,22
Seychelles,62
Sierra Leone,98
Singapore,6
Slovakia,21
Slovenia,5
Solomon Islands,70
Somalia,123
South Africa,54
South Asia,38
Spain,13
Sri Lanka,24
State of Palestine,60
Sub-Saharan Africa,109
Sudan (pre-cession),70
Suriname,66
Swaziland,111
Sweden,6
Switzerland,4
Syrian Arab Republic,75
Tajikistan,27
Thailand,47
The former Yugoslav Republic of Macedonia,20
Timor-Leste,54
Tonga,16
Trinidad and Tobago,33
Tunisia,6
Turkey,38
Turkmenistan,21
Tuvalu,28
Uganda,159
Ukraine,30
United Arab Emirates,34
United Kingdom,25
United Republic of Tanzania,128
United States,39
Uruguay,60
Uzbekistan,26
Venezuela (Bolivarian Republic of),101
Viet Nam,35
Western and Central Africa,121
World,43
Yemen,80
Zambia,151
