Country or Area,Adult HIVAIDS prevalence rate_Female 15-24 yr,Adult HIVAIDS prevalence rate_Male 15-24 yr,Adult HIVAIDS prevalence rate_Total 15-24 yr,Adult HIVAIDS prevalence rate_Total 15-49 yr
Afghanistan,,,,
Angola,1.6,0.6,1.1,2.1
Argentina,0.2,0.2,0.2,0.4
Armenia,0.1,0.1,0.1,0.2
Australia,0.1,0.1,0.1,0.2
Austria,0.2,0.3,0.3,0.4
Azerbaijan,,,,0.1
Bahamas,0.5,0.3,0.4,2.8
Bangladesh,,,,
Barbados,0.2,0.3,0.3,0.9
Belarus,0.2,0.4,0.3,0.4
Belgium,0.2,0.2,0.2,0.3
Belize,1.0,1.0,1.0,2.3
Benin,0.8,0.3,0.6,1.2
Bhutan,0.2,0.3,0.2,0.3
Bolivia (Plurinational State of),,0.2,0.1,0.3
Botswana,9.0,4.1,6.6,23.4
Brazil,0.1,0.1,0.1,0.3
Bulgaria,0.1,0.1,0.1,0.1
Burkina Faso,0.6,0.3,0.5,1.1
Burundi,0.6,0.3,0.4,1.3
CEE/CIS,0.1,0.1,0.1,0.6
Cambodia,0.1,0.1,0.1,0.6
Cameroon,2.9,1.2,2.1,4.6
Canada,0.1,0.1,0.1,0.3
Cape Verde,1.1,0.1,0.6,1.0
Central African Republic,2.6,1.2,1.9,4.6
Chad,2.1,0.9,1.5,3.1
Chile,,0.3,0.2,0.5
China,,,,
Colombia,0.1,0.4,0.3,0.5
Comoros,,0.1,,0.1
Congo,2.5,1.2,1.8,3.3
Costa Rica,0.2,0.1,0.1,0.3
Croatia,,,,
Cuba,,0.1,,0.2
Czech Republic,,,,
Côte d'Ivoire,1.4,0.6,1.0,3.0
Denmark,0.1,0.1,0.1,0.2
Djibouti,0.3,0.1,0.2,1.4
Dominican Republic,0.4,0.1,0.2,0.7
East Asia and Pacific,0.1,0.1,0.1,0.2
Eastern and Southern Africa,4.3,1.9,3.1,7.0
Ecuador,0.1,0.2,0.2,0.4
Egypt,,,,
El Salvador,0.3,0.3,0.3,0.6
Equatorial Guinea,4.1,1.6,2.8,4.7
Eritrea,0.3,0.1,0.2,0.6
Estonia,0.2,0.2,0.2,1.3
Ethiopia,0.4,0.2,0.3,1.4
Fiji,,,,0.1
Finland,,,,0.1
France,0.1,0.2,0.1,0.4
Gabon,3.0,1.2,2.1,5.0
Gambia,1.2,0.4,0.8,1.5
Georgia,0.1,0.2,0.2,0.2
Germany,,0.1,0.1,0.1
Ghana,0.9,0.4,0.6,1.5
Greece,0.1,0.1,0.1,0.2
Guatemala,0.5,0.4,0.4,0.8
Guinea,0.9,0.4,0.6,1.4
Guinea-Bissau,2.0,0.9,1.5,2.5
Guyana,0.3,0.2,0.3,1.1
Haiti,1.1,0.4,0.8,1.8
Hungary,,0.1,,0.1
Iceland,0.1,0.1,0.1,0.3
Indonesia,0.2,0.2,0.2,0.3
Iran (Islamic Republic of),,,,0.2
Ireland,0.1,0.1,0.1,0.3
Israel,,0.1,0.1,0.2
Italy,0.1,0.1,0.1,0.4
Jamaica,0.6,0.9,0.7,1.8
Japan,,,,
Kazakhstan,0.1,,,0.2
Kenya,3.5,1.6,2.6,6.2
Kyrgyzstan,0.3,0.3,0.3,0.4
Lao People's Democratic Republic,0.2,0.1,0.1,0.3
Latin America and Caribbean,0.2,0.2,0.2,0.4
Latvia,0.1,0.2,0.1,0.7
Least Developed Countries/Territories,1.3,0.6,0.9,1.9
Lebanon,0.1,0.1,0.1,0.1
Lesotho,15.4,6.4,10.9,23.3
Liberia,0.3,0.1,0.2,1.0
Lithuania,,,,0.1
Luxembourg,0.1,0.1,0.1,0.3
Madagascar,0.1,0.2,0.1,0.3
Malawi,4.9,2.1,3.5,10.0
Malaysia,,0.1,0.1,0.4
Maldives,,,,
Mali,0.3,0.1,0.2,1.1
Malta,,,,0.1
Mauritania,0.4,0.2,0.3,1.1
Mauritius,0.4,0.6,0.5,1.0
Mexico,,0.1,0.1,0.2
Middle East and North Africa,0.1,0.1,0.1,0.1
Mongolia,0.1,,,
Morocco,0.1,0.1,0.1,0.2
Mozambique,8.2,2.8,5.5,11.3
Myanmar,0.3,0.2,0.3,0.6
Namibia,6.5,2.7,4.6,13.4
Nepal,0.1,0.1,0.1,0.3
Netherlands,0.1,0.1,0.1,0.2
New Zealand,,,,0.1
Nicaragua,0.2,0.1,0.1,0.2
Niger,0.5,0.2,0.4,0.8
Nigeria,2.9,1.1,2.0,3.7
Norway,,0.1,,0.1
Pakistan,0.1,0.1,0.1,0.1
Panama,0.1,0.4,0.3,0.8
Papua New Guinea,0.4,0.2,0.3,0.7
Paraguay,0.2,0.2,0.2,0.3
Peru,0.1,0.2,0.2,0.4
Philippines,,,,
Poland,,0.1,0.1,0.1
Portugal,0.2,0.3,0.2,0.7
Republic of Korea,,,,
Republic of Moldova,0.1,0.1,0.1,0.5
Romania,,,,0.1
Rwanda,1.7,0.8,1.3,2.9
Sao Tome and Principe,0.3,0.4,0.4,1.0
Senegal,0.5,0.3,0.4,0.7
Serbia,,,,0.1
Sierra Leone,1.3,0.5,0.9,1.6
Singapore,,,,0.1
Slovakia,,,,
Slovenia,,0.1,,0.1
