Country or Area,Average annual rate of reduction of total fertility rate_1970-1990,Average annual rate of reduction of total fertility rate_1990-2011
Afghanistan,-0.2,1.2
Albania,2.1,3.6
Algeria,2.3,3.6
Angola,0.1,1.4
Argentina,0.1,1.5
Armenia,1.2,1.8
Australia,1.9,-0.2
Austria,2.4,0.3
Azerbaijan,2.2,1.5
Bahamas,1.5,1.6
Bahrain,2.8,1.9
Bangladesh,2.1,3.4
Barbados,2.9,0.5
Belarus,1.0,1.2
Belgium,1.7,-0.7
Belize,1.7,2.4
Benin,0.0,1.2
Bhutan,0.7,4.3
Bolivia (Plurinational State of),1.5,1.9
Bosnia and Herzegovina,2.6,1.9
Botswana,1.7,2.6
Brazil,2.9,2.1
Brunei Darussalam,2.4,2.7
Bulgaria,1.1,0.6
Burkina Faso,-0.2,0.8
Burundi,0.2,2.1
CEE/CIS,0.9,1.3
Cambodia,0.2,3.9
Cameroon,0.2,1.4
Canada,1.5,-0.1
Cape Verde,1.3,3.9
Central African Republic,0.1,1.1
Chad,-0.1,0.6
Chile,2.1,1.7
China,4.3,1.9
Colombia,2.9,1.3
Comoros,1.2,0.7
Congo,0.8,0.8
Costa Rica,2.3,2.6
Croatia,0.9,0.6
Cuba,4.2,0.9
Cyprus,0.4,2.4
Czech Republic,0.6,1.0
Côte d'Ivoire,1.2,1.7
Democratic People's Republic of Korea,2.6,0.9
Democratic Republic of the Congo,-0.7,1.1
Denmark,1.2,-0.6
Djibouti,0.9,2.5
Dominican Republic,2.9,1.5
East Asia and Pacific,3.8,1.8
Eastern and Southern Africa,0.6,1.4
Ecuador,2.7,1.9
Egypt,1.6,2.3
El Salvador,2.3,2.8
Equatorial Guinea,-0.2,0.7
Eritrea,0.3,1.7
Estonia,0.4,0.6
Ethiopia,-0.2,2.7
Fiji,1.5,1.2
Finland,0.3,-0.3
France,1.8,-0.6
Gabon,-0.5,2.3
Gambia,0.0,1.1
Georgia,0.9,1.6
Germany,1.9,-0.2
Ghana,1.1,1.5
Greece,2.5,-0.3
Grenada,0.9,2.6
Guatemala,0.6,1.7
Guinea,0.1,1.3
Guinea-Bissau,-0.5,1.4
Guyana,3.8,0.7
Haiti,0.3,2.4
Honduras,1.7,2.4
Hungary,0.6,1.2
Iceland,1.6,0.1
India,1.7,2.0
Indonesia,2.8,1.9
Iran (Islamic Republic of),1.5,5.1
Iraq,1.0,1.2
Ireland,3.2,-0.3
Israel,1.2,0.1
Italy,3.2,-0.5
Jamaica,3.1,1.2
