Country or Area,Caesarean section
Afghanistan,4
Albania,19
Armenia,13
Australia,31
Austria,24
Azerbaijan,5
Bangladesh,17
Belarus,22
Belgium,18
Benin,4
Bhutan,12
Bolivia (Plurinational State of),19
Brazil,50
Bulgaria,31
Burkina Faso,2
Burundi,4
Cambodia,3
Cameroon,2
Canada,26
Cape Verde,11
Central African Republic,5
Chad,2
China,27
Colombia,43
Congo,3
Costa Rica,21
Côte d'Ivoire,6
Croatia,19
Czech Republic,20
Democratic People's Republic of Korea,13
Democratic Republic of the Congo,7
Denmark,21
Djibouti,12
Dominican Republic,42
East Asia and Pacific,23
Eastern and Southern Africa,4
Ecuador,26
Egypt,28
El Salvador,25
Eritrea,3
Ethiopia,2
Finland,16
France,21
Gabon,6
Gambia,3
Georgia,24
Germany,29
Ghana,11
Guatemala,16
Guinea,2
Guyana,13
Haiti,3
Honduras,13
Hungary,31
Iceland,17
India,9
Indonesia,15
Iran (Islamic Republic of),40
Iraq,21
Ireland,25
Italy,40
Jamaica,15
Jordan,19
Kenya,6
Kiribati,10
Lao People's Democratic Republic,2
Latin America and Caribbean,40
Least Developed Countries/Territories,6
Lesotho,7
Liberia,4
Luxembourg,29
Madagascar,2
Malawi,5
Maldives,32
Mali,2
Marshall Islands,9
Mauritania,3
Mexico,43
Mongolia,21
Morocco,16
Mozambique,2
Namibia,13
Nauru,8
Nepal,5
Netherlands,14
New Zealand,23
Nicaragua,20
Niger,1
Nigeria,2
Norway,16
Oman,14
Pakistan,7
Paraguay,33
Peru,23
Philippines,10
Poland,21
Portugal,31
Republic of Korea,32
Republic of Moldova,9
Romania,19
Rwanda,7
Samoa,13
Sao Tome and Principe,5
Senegal,6
Serbia,25
Sierra Leone,5
Slovakia,24
Solomon Islands,6
South Africa,21
South Asia,9
South Sudan,1
Spain,26
Sri Lanka,24
State of Palestine,15
Sub-Saharan Africa,4
Sudan,7
Swaziland,12
Switzerland,30
Syrian Arab Republic,26
Thailand,24
The former Yugoslav Republic of Macedonia,25
Timor-Leste,2
Togo,9
Tunisia,21
Turkey,37
Turkmenistan,3
Tuvalu,7
Uganda,5
Ukraine,10
United Kingdom,26
United Republic of Tanzania,5
United States,31
Uruguay,34
Viet Nam,20
Western and Central Africa,4
World,16
Yemen,9
Zambia,3
Zimbabwe,5
