Country or Area,Child discipline_Female,Child discipline_Male,Child discipline_Total
Afghanistan,74.0,75.0,74.0
Albania,71.0,78.0,75.0
Algeria,87.0,89.0,88.0
Armenia,67.0,72.0,70.0
Azerbaijan,71.0,79.0,75.0
Belarus,80.0,87.0,84.0
Belize,70.0,71.0,71.0
Bosnia and Herzegovina,36.0,40.0,38.0
Burkina Faso,82.0,84.0,83.0
Cameroon,93.0,93.0,93.0
Central African Republic,92.0,92.0,92.0
Chad,84.0,85.0,84.0
Côte d'Ivoire,91.0,91.0,91.0
Democratic Republic of the Congo,91.0,92.0,92.0
Djibouti,71.0,73.0,72.0
Dominican Republic,65.0,69.0,67.0
Egypt,,,92.0
Fiji,,,72.0
Gambia,91.0,90.0,90.0
Georgia,63.0,70.0,67.0
Ghana,94.0,94.0,94.0
Guinea-Bissau,81.0,82.0,82.0
Guyana,74.0,79.0,76.0
Iraq,84.0,87.0,86.0
Jamaica,87.0,90.0,89.0
Kazakhstan,45.0,54.0,49.0
Kiribati,,,81.0
Kyrgyzstan,49.0,58.0,54.0
Lao People's Democratic Republic,72.0,75.0,74.0
Lebanon,82.0,82.0,82.0
Liberia,94.0,94.0,94.0
Middle East and North Africa,,,90.0
Mongolia,43.0,48.0,46.0
Montenegro,61.0,64.0,63.0
Morocco,90.0,92.0,91.0
Serbia,64.0,70.0,67.0
Sierra Leone,82.0,81.0,82.0
Solomon Islands,,,72.0
State of Palestine,,,95.0
Suriname,85.0,87.0,86.0
Swaziland,88.0,90.0,89.0
Syrian Arab Republic,88.0,90.0,89.0
Tajikistan,75.0,80.0,78.0
The former Yugoslav Republic of Macedonia,67.0,71.0,69.0
Togo,93.0,94.0,93.0
Trinidad and Tobago,77.0,78.0,77.0
Ukraine,65.0,76.0,70.0
Vanuatu,,,78.0
Viet Nam,71.0,76.0,74.0
Yemen,95.0,95.0,95.0
