Country or Area,Children left in inadequate care_Female,Children left in inadequate care_Male,Children left in inadequate care_Poorest 20%,Children left in inadequate care_Richest 20%,Children left in inadequate care_Total
Afghanistan,39.0,42.0,43.0,27.0,40.0
Albania,11.0,14.0,9.0,16.0,13.0
Belize,2.0,3.0,4.0,1.0,2.0
Bhutan,15.0,13.0,17.0,7.0,14.0
Bosnia and Herzegovina,6.0,7.0,6.0,10.0,7.0
Cameroon,36.0,36.0,45.0,25.0,36.0
Central African Republic,62.0,60.0,58.0,60.0,61.0
Chad,56.0,57.0,58.0,56.0,56.0
Côte d'Ivoire,58.0,60.0,62.0,51.0,59.0
Democratic People's Republic of Korea,16.0,17.0,,,17.0
Democratic Republic of the Congo,60.0,60.0,69.0,39.0,60.0
Djibouti,13.0,11.0,,,12.0
Gambia,19.0,22.0,25.0,18.0,21.0
Georgia,8.0,8.0,7.0,8.0,8.0
Ghana,21.0,21.0,27.0,15.0,21.0
Guyana,10.0,13.0,19.0,6.0,11.0
Jamaica,3.0,4.0,,,4.0
Kazakhstan,4.0,4.0,5.0,4.0,4.0
Kyrgyzstan,9.0,12.0,11.0,6.0,11.0
Lao People's Democratic Republic,25.0,26.0,33.0,17.0,26.0
Lebanon,10.0,8.0,,,9.0
Mali,33.0,33.0,33.0,36.0,33.0
Mongolia,8.0,9.0,10.0,6.0,9.0
Montenegro,5.0,8.0,11.0,3.0,6.0
Morocco,9.0,9.0,11.0,6.0,9.0
Mozambique,32.0,33.0,,,33.0
Nigeria,37.0,38.0,41.0,32.0,38.0
Serbia,1.0,1.0,2.0,1.0,1.0
Sierra Leone,32.0,33.0,29.0,28.0,32.0
Suriname,8.0,6.0,13.0,1.0,7.0
Swaziland,15.0,15.0,20.0,9.0,15.0
Syrian Arab Republic,17.0,17.0,22.0,15.0,17.0
Tajikistan,12.0,13.0,15.0,11.0,13.0
Thailand,13.0,14.0,18.0,7.0,13.0
The former Yugoslav Republic of Macedonia,5.0,5.0,10.0,1.0,5.0
Togo,41.0,42.0,45.0,35.0,41.0
Trinidad and Tobago,1.0,1.0,2.0,0.0,1.0
Ukraine,10.0,11.0,15.0,4.0,10.0
Uzbekistan,5.0,5.0,6.0,7.0,5.0
Viet Nam,9.0,10.0,17.0,4.0,9.0
Western and Central Africa,43.0,43.0,47.0,34.0,43.0
Yemen,33.0,36.0,46.0,22.0,34.0
