Country or Area,Continued breastfeeding rate
Afghanistan,54.0
Albania,31.0
Algeria,22.0
Angola,37.0
Argentina,28.0
Armenia,23.0
Azerbaijan,16.0
Bangladesh,90.0
Belarus,4.0
Belize,27.0
Benin,92.0
Bhutan,66.0
Bolivia (Plurinational State of),40.0
Bosnia and Herzegovina,10.0
Botswana,6.0
Brazil,25.0
Burkina Faso,80.0
Burundi,79.0
Cambodia,43.0
Cameroon,24.0
Cape Verde,13.0
Central African Republic,32.0
Chad,59.0
Colombia,33.0
Comoros,45.0
Congo,21.0
Costa Rica,40.0
Côte d'Ivoire,37.0
Cuba,17.0
Democratic People's Republic of Korea,36.0
Democratic Republic of the Congo,53.0
Djibouti,18.0
Dominican Republic,12.0
East Asia and Pacific,42.0
Eastern and Southern Africa,59.0
Ecuador,23.0
Egypt,35.0
El Salvador,54.0
Eritrea,62.0
Ethiopia,82.0
Gabon,9.0
Gambia,31.0
Georgia,17.0
Ghana,44.0
Guatemala,46.0
Guinea-Bissau,65.0
Guyana,49.0
Haiti,35.0
Honduras,48.0
India,77.0
Indonesia,50.0
Iran (Islamic Republic of),58.0
Iraq,36.0
Jamaica,24.0
Jordan,11.0
Kazakhstan,16.0
Kenya,54.0
Kiribati,82.0
Kyrgyzstan,26.0
Lao People's Democratic Republic,48.0
Least Developed Countries/Territories,64.0
Lebanon,15.0
Lesotho,35.0
Liberia,41.0
Madagascar,61.0
Malawi,77.0
Maldives,68.0
Mali,56.0
Marshall Islands,53.0
Mauritania,47.0
Mongolia,66.0
Montenegro,13.0
Morocco,15.0
Mozambique,52.0
Myanmar,65.0
Namibia,28.0
Nauru,65.0
Nepal,93.0
Nicaragua,43.0
Nigeria,32.0
Oman,73.0
Pakistan,55.0
Papua New Guinea,72.0
Paraguay,14.0
Peru,55.0
Philippines,34.0
Republic of Moldova,2.0
Rwanda,84.0
Samoa,74.0
Sao Tome and Principe,20.0
Senegal,51.0
Serbia,15.0
Sierra Leone,48.0
Solomon Islands,67.0
Somalia,35.0
South Africa,31.0
South Asia,75.0
South Sudan,38.0
Sri Lanka,84.0
Sub-Saharan Africa,50.0
Sudan,40.0
Suriname,15.0
Swaziland,11.0
Syrian Arab Republic,25.0
Tajikistan,34.0
The former Yugoslav Republic of Macedonia,13.0
Timor-Leste,33.0
Togo,64.0
Trinidad and Tobago,22.0
Tunisia,15.0
Turkey,22.0
Turkmenistan,37.0
Tuvalu,51.0
Uganda,46.0
Ukraine,6.0
United Republic of Tanzania,51.0
Uruguay,27.0
Uzbekistan,38.0
Vanuatu,32.0
Viet Nam,19.0
Western and Central Africa,43.0
World,58.0
Zambia,42.0
Zimbabwe,20.0
