Country or Area,Crude birth rate (CBR)_1970.0,Crude birth rate (CBR)_1990.0,Crude birth rate (CBR)_2011.0
Afghanistan,52.0,52.0,43.0
Albania,33.0,25.0,13.0
Algeria,49.0,32.0,20.0
Angola,52.0,53.0,41.0
Argentina,23.0,22.0,17.0
Armenia,23.0,21.0,15.0
Australia,20.0,15.0,14.0
Austria,15.0,11.0,9.0
Azerbaijan,29.0,27.0,20.0
Bahamas,26.0,24.0,15.0
Bahrain,38.0,29.0,19.0
Bangladesh,47.0,36.0,20.0
Barbados,22.0,16.0,11.0
Belarus,16.0,14.0,11.0
Belgium,15.0,12.0,11.0
Belize,42.0,37.0,24.0
Benin,48.0,47.0,39.0
Bhutan,47.0,38.0,20.0
Bolivia (Plurinational State of),46.0,36.0,26.0
Bosnia and Herzegovina,23.0,15.0,8.0
Botswana,46.0,35.0,23.0
Brazil,35.0,24.0,15.0
Brunei Darussalam,36.0,29.0,19.0
Bulgaria,16.0,12.0,10.0
Burkina Faso,48.0,47.0,43.0
Burundi,44.0,46.0,34.0
CEE/CIS,20.0,18.0,14.0
Cambodia,42.0,44.0,22.0
Cameroon,45.0,42.0,36.0
Canada,17.0,14.0,11.0
Cape Verde,41.0,39.0,20.0
Central African Republic,43.0,41.0,35.0
Chad,46.0,47.0,44.0
Chile,29.0,23.0,14.0
China,36.0,21.0,12.0
Colombia,38.0,27.0,19.0
Comoros,47.0,37.0,37.0
Congo,43.0,38.0,35.0
Costa Rica,33.0,27.0,16.0
Croatia,15.0,12.0,10.0
Cuba,29.0,17.0,10.0
Cyprus,19.0,19.0,12.0
Czech Republic,16.0,12.0,11.0
Côte d'Ivoire,52.0,41.0,34.0
Democratic People's Republic of Korea,35.0,21.0,14.0
Democratic Republic of the Congo,48.0,50.0,43.0
Denmark,15.0,12.0,11.0
Djibouti,49.0,42.0,29.0
Dominican Republic,42.0,30.0,21.0
East Asia and Pacific,36.0,23.0,14.0
Eastern and Southern Africa,47.0,43.0,35.0
Ecuador,42.0,29.0,20.0
Egypt,41.0,32.0,23.0
El Salvador,43.0,32.0,20.0
Equatorial Guinea,39.0,47.0,36.0
Eritrea,47.0,41.0,36.0
