Country or Area,Crude death rate (CDR)_1970.0,Crude death rate (CDR)_1990.0,Crude death rate (CDR)_2011.0
Afghanistan,29.0,22.0,16.0
Albania,8.0,6.0,6.0
Algeria,16.0,6.0,5.0
Angola,27.0,23.0,14.0
Argentina,9.0,8.0,8.0
Armenia,5.0,8.0,9.0
Australia,9.0,7.0,7.0
Austria,13.0,11.0,9.0
Azerbaijan,7.0,7.0,7.0
Bahamas,6.0,6.0,5.0
Bahrain,7.0,3.0,3.0
Bangladesh,23.0,10.0,6.0
Barbados,9.0,8.0,9.0
Belarus,7.0,11.0,14.0
Belgium,12.0,11.0,10.0
Belize,8.0,5.0,4.0
Benin,26.0,17.0,12.0
Bhutan,23.0,14.0,7.0
Bolivia (Plurinational State of),20.0,11.0,7.0
Bosnia and Herzegovina,7.0,9.0,10.0
Botswana,13.0,7.0,13.0
Brazil,10.0,7.0,6.0
Brunei Darussalam,7.0,4.0,3.0
Bulgaria,9.0,12.0,15.0
Burkina Faso,23.0,17.0,12.0
Burundi,20.0,19.0,14.0
CEE/CIS,10.0,11.0,11.0
Cambodia,20.0,12.0,8.0
Cameroon,19.0,14.0,14.0
Canada,7.0,7.0,8.0
Cape Verde,15.0,9.0,5.0
Central African Republic,23.0,17.0,16.0
Chad,22.0,17.0,16.0
Chile,10.0,6.0,6.0
China,9.0,7.0,7.0
Colombia,9.0,6.0,5.0
Comoros,18.0,11.0,9.0
Congo,14.0,12.0,11.0
Costa Rica,7.0,4.0,4.0
Croatia,10.0,11.0,12.0
Cuba,7.0,7.0,7.0
Cyprus,7.0,7.0,7.0
Czech Republic,12.0,12.0,10.0
Côte d'Ivoire,21.0,13.0,12.0
Democratic People's Republic of Korea,7.0,5.0,10.0
Democratic Republic of the Congo,21.0,19.0,16.0
Denmark,10.0,12.0,10.0
Djibouti,20.0,14.0,10.0
Dominican Republic,11.0,6.0,6.0
East Asia and Pacific,10.0,7.0,7.0
Eastern and Southern Africa,19.0,15.0,12.0
Ecuador,12.0,6.0,5.0
Egypt,16.0,9.0,5.0
El Salvador,13.0,8.0,7.0
Equatorial Guinea,25.0,20.0,14.0
Eritrea,21.0,16.0,8.0
Estonia,11.0,13.0,13.0
Ethiopia,21.0,18.0,9.0
Fiji,8.0,6.0,7.0
Finland,10.0,10.0,10.0
France,11.0,9.0,9.0
Gabon,20.0,11.0,9.0
Gambia,26.0,13.0,9.0
Georgia,9.0,9.0,11.0
Germany,12.0,11.0,11.0
Ghana,17.0,11.0,8.0
Greece,8.0,9.0,10.0
Grenada,9.0,8.0,6.0
Guatemala,15.0,9.0,5.0
Guinea,30.0,21.0,13.0
Guinea-Bissau,26.0,22.0,16.0
Guyana,12.0,10.0,6.0
Haiti,18.0,13.0,9.0
Honduras,15.0,7.0,5.0
Hungary,11.0,14.0,13.0
Iceland,7.0,7.0,6.0
India,16.0,11.0,8.0
Indonesia,15.0,8.0,7.0
Iran (Islamic Republic of),16.0,8.0,5.0
Iraq,12.0,7.0,6.0
Ireland,11.0,9.0,6.0
Israel,7.0,6.0,5.0
Italy,10.0,10.0,10.0
Jamaica,8.0,7.0,7.0
Japan,7.0,7.0,9.0
Jordan,11.0,5.0,4.0
Kazakhstan,9.0,9.0,10.0
Kenya,15.0,10.0,10.0
Kuwait,6.0,3.0,3.0
Kyrgyzstan,11.0,8.0,7.0
Lao People's Democratic Republic,18.0,13.0,6.0
Latin America and Caribbean,10.0,7.0,6.0
Latvia,11.0,13.0,14.0
Least Developed Countries/Territories,22.0,15.0,10.0
Lebanon,9.0,7.0,7.0
Lesotho,17.0,10.0,15.0
Liberia,23.0,21.0,11.0
Libya,16.0,4.0,4.0
Lithuania,9.0,11.0,14.0
Luxembourg,12.0,10.0,8.0
Madagascar,21.0,16.0,6.0
Malawi,24.0,18.0,12.0
Malaysia,7.0,5.0,5.0
Maldives,21.0,9.0,4.0
Mali,30.0,21.0,14.0
Malta,9.0,8.0,8.0
Mauritania,18.0,11.0,9.0
Mauritius,7.0,6.0,7.0
Mexico,10.0,5.0,5.0
Micronesia (Federated States of),9.0,7.0,6.0
Middle East and North Africa,16.0,8.0,5.0
Mongolia,15.0,10.0,6.0
Montenegro,3.0,5.0,10.0
Morocco,17.0,8.0,6.0
Mozambique,25.0,21.0,14.0
Myanmar,16.0,11.0,8.0
Namibia,15.0,9.0,8.0
Nepal,21.0,13.0,6.0
Netherlands,8.0,9.0,8.0
New Zealand,9.0,8.0,7.0
Nicaragua,14.0,7.0,5.0
Niger,26.0,24.0,13.0
Nigeria,22.0,19.0,14.0
Norway,10.0,11.0,8.0
Oman,16.0,5.0,4.0
Pakistan,15.0,10.0,7.0
Panama,8.0,5.0,5.0
Papua New Guinea,17.0,10.0,7.0
Paraguay,7.0,6.0,5.0
Peru,14.0,7.0,5.0
Philippines,9.0,7.0,6.0
Poland,8.0,10.0,10.0
Portugal,11.0,10.0,10.0
Qatar,6.0,2.0,2.0
Republic of Korea,9.0,6.0,6.0
Republic of Moldova,10.0,10.0,13.0
Romania,9.0,11.0,12.0
Russian Federation,9.0,12.0,14.0
Rwanda,20.0,32.0,12.0
Saint Lucia,9.0,6.0,6.0
Saint Vincent and the Grenadines,11.0,7.0,7.0
Samoa,10.0,7.0,5.0
Sao Tome and Principe,13.0,10.0,8.0
Saudi Arabia,15.0,5.0,4.0
Senegal,24.0,13.0,9.0
Serbia,9.0,10.0,12.0
Sierra Leone,29.0,25.0,15.0
Singapore,5.0,5.0,5.0
Slovakia,9.0,10.0,10.0
Slovenia,10.0,10.0,10.0
Solomon Islands,13.0,11.0,6.0
Somalia,24.0,20.0,15.0
South Africa,14.0,8.0,15.0
South Asia,17.0,11.0,8.0
Spain,9.0,9.0,9.0
Sri Lanka,9.0,7.0,7.0
State of Palestine,13.0,5.0,4.0
Sub-Saharan Africa,20.0,16.0,12.0
Sudan (pre-cession),19.0,14.0,9.0
Suriname,9.0,7.0,7.0
Swaziland,18.0,10.0,14.0
Sweden,10.0,11.0,10.0
Switzerland,9.0,9.0,8.0
Syrian Arab Republic,11.0,5.0,4.0
Tajikistan,10.0,8.0,6.0
Thailand,10.0,5.0,7.0
The former Yugoslav Republic of Macedonia,8.0,8.0,9.0
Timor-Leste,23.0,18.0,8.0
Togo,20.0,14.0,11.0
Tonga,7.0,6.0,6.0
Trinidad and Tobago,7.0,7.0,8.0
Tunisia,14.0,6.0,6.0
Turkey,16.0,8.0,5.0
Turkmenistan,11.0,8.0,8.0
Uganda,16.0,17.0,12.0
Ukraine,9.0,13.0,16.0
United Arab Emirates,7.0,3.0,1.0
United Kingdom,12.0,11.0,9.0
United Republic of Tanzania,18.0,15.0,10.0
United States,9.0,9.0,8.0
Uruguay,10.0,10.0,9.0
Uzbekistan,10.0,7.0,7.0
Vanuatu,14.0,8.0,5.0
Venezuela (Bolivarian Republic of),7.0,5.0,5.0
Viet Nam,18.0,8.0,5.0
Western and Central Africa,22.0,18.0,13.0
World,12.0,9.0,8.0
Yemen,24.0,12.0,6.0
Zambia,17.0,17.0,15.0
Zimbabwe,13.0,9.0,13.0
