Country or Area,Debt service as a percentage of exports of goods and services
Albania,9.0
Algeria,1.0
Angola,4.0
Argentina,16.0
Armenia,31.0
Azerbaijan,1.0
Bangladesh,3.0
Belarus,4.0
Belize,11.0
Bolivia (Plurinational State of),8.0
Bosnia and Herzegovina,16.0
Botswana,1.0
Brazil,19.0
Bulgaria,14.0
Burundi,1.0
Cambodia,1.0
Cameroon,4.0
Cape Verde,4.0
CEE/CIS,23.0
Chile,15.0
China,2.0
Colombia,19.0
Costa Rica,7.0
Djibouti,7.0
Dominica,7.0
Dominican Republic,7.0
East Asia and Pacific,4.0
Eastern and Southern Africa,4.0
Ecuador,8.0
Egypt,5.0
El Salvador,12.0
Ethiopia,4.0
Fiji,1.0
Gambia,5.0
Georgia,15.0
Ghana,3.0
Grenada,12.0
Guatemala,10.0
Guinea,5.0
Guyana,2.0
Haiti,6.0
Honduras,5.0
India,5.0
Indonesia,16.0
Jamaica,19.0
Jordan,4.0
Kazakhstan,70.0
Kenya,4.0
Kyrgyzstan,14.0
Lao People's Democratic Republic,13.0
Latin America and Caribbean,13.0
Latvia,74.0
Least Developed Countries/Territories,4.0
Lebanon,14.0
Lesotho,2.0
Liberia,1.0
Lithuania,32.0
Malaysia,5.0
Maldives,20.0
Mauritius,2.0
Mexico,8.0
Middle East and North Africa,5.0
Mongolia,4.0
Morocco,9.0
Mozambique,3.0
Myanmar,8.0
Nepal,4.0
Nicaragua,11.0
Nigeria,0.0
Pakistan,10.0
Panama,5.0
Papua New Guinea,13.0
Paraguay,4.0
Peru,15.0
Philippines,15.0
Republic of Moldova,9.0
Romania,29.0
Russian Federation,13.0
Rwanda,2.0
Saint Kitts and Nevis,17.0
Saint Lucia,6.0
Saint Vincent and the Grenadines,14.0
Samoa,3.0
Sao Tome and Principe,5.0
Serbia,24.0
Seychelles,4.0
Sierra Leone,2.0
Solomon Islands,6.0
South Africa,5.0
South Asia,5.0
Sri Lanka,9.0
Sub-Saharan Africa,3.0
Sudan (pre-cession),4.0
Swaziland,2.0
Syrian Arab Republic,3.0
Tajikistan,18.0
Thailand,5.0
The former Yugoslav Republic of Macedonia,12.0
Tunisia,9.0
Turkey,33.0
Uganda,1.0
Ukraine,39.0
United Republic of Tanzania,3.0
Uruguay,12.0
Venezuela (Bolivarian Republic of),8.0
Viet Nam,2.0
Western and Central Africa,1.0
World,9.0
Yemen,2.0
Zambia,1.0
