Country or Area,Infant mortality rate (IMR)_1990.0,Infant mortality rate (IMR)_2011.0
Afghanistan,129.0,73.0
Albania,36.0,13.0
Algeria,54.0,26.0
Andorra,7.0,3.0
Angola,144.0,96.0
Antigua and Barbuda,23.0,6.0
Argentina,24.0,13.0
Armenia,40.0,16.0
Australia,8.0,4.0
Austria,8.0,4.0
Azerbaijan,75.0,39.0
Bahamas,18.0,14.0
Bahrain,18.0,9.0
Bangladesh,97.0,37.0
Barbados,16.0,18.0
Belarus,14.0,4.0
Belgium,9.0,4.0
Belize,35.0,15.0
Benin,107.0,68.0
Bhutan,96.0,42.0
Bolivia (Plurinational State of),83.0,39.0
Bosnia and Herzegovina,17.0,7.0
Botswana,41.0,20.0
Brazil,49.0,14.0
Brunei Darussalam,9.0,6.0
Bulgaria,19.0,11.0
Burkina Faso,105.0,82.0
Burundi,110.0,86.0
CEE/CIS,40.0,18.0
Cambodia,85.0,36.0
Cameroon,90.0,79.0
Canada,7.0,5.0
Cape Verde,45.0,18.0
Central African Republic,112.0,108.0
Chad,113.0,97.0
Chile,16.0,8.0
China,39.0,13.0
Colombia,28.0,15.0
Comoros,86.0,59.0
Congo,75.0,64.0
Cook Islands,16.0,8.0
Costa Rica,15.0,9.0
Croatia,11.0,4.0
Cuba,11.0,5.0
Cyprus,10.0,3.0
Czech Republic,13.0,3.0
Côte d'Ivoire,104.0,81.0
Democratic People's Republic of Korea,23.0,26.0
Democratic Republic of the Congo,117.0,111.0
Denmark,7.0,3.0
Djibouti,94.0,72.0
Dominica,14.0,11.0
Dominican Republic,45.0,21.0
East Asia and Pacific,41.0,17.0
Eastern and Southern Africa,100.0,55.0
Ecuador,41.0,20.0
Egypt,63.0,18.0
El Salvador,47.0,13.0
Equatorial Guinea,118.0,80.0
Eritrea,86.0,46.0
Estonia,16.0,3.0
Ethiopia,118.0,52.0
Fiji,25.0,14.0
Finland,6.0,2.0
France,7.0,3.0
Gabon,69.0,49.0
Gambia,78.0,58.0
Georgia,40.0,18.0
Germany,7.0,3.0
Ghana,76.0,52.0
Greece,12.0,4.0
Grenada,17.0,10.0
Guatemala,56.0,24.0
Guinea,135.0,79.0
Guinea-Bissau,125.0,98.0
Guyana,48.0,29.0
Haiti,99.0,53.0
Honduras,43.0,18.0
Hungary,17.0,5.0
Iceland,5.0,2.0
India,81.0,47.0
Indonesia,54.0,25.0
Iran (Islamic Republic of),47.0,21.0
Iraq,37.0,31.0
Ireland,8.0,3.0
Israel,10.0,4.0
Italy,8.0,3.0
Jamaica,28.0,16.0
Japan,5.0,2.0
Jordan,31.0,18.0
Kazakhstan,48.0,25.0
Kenya,64.0,48.0
Kiribati,64.0,38.0
Kuwait,14.0,9.0
Kyrgyzstan,58.0,27.0
Lao People's Democratic Republic,102.0,34.0
Latin America and Caribbean,42.0,16.0
Latvia,17.0,7.0
Least Developed Countries/Territories,107.0,65.0
Lebanon,27.0,8.0
Lesotho,71.0,63.0
Liberia,161.0,58.0
Libya,33.0,13.0
Lithuania,14.0,5.0
Luxembourg,7.0,2.0
Madagascar,98.0,43.0
Malawi,134.0,53.0
Malaysia,15.0,6.0
Maldives,76.0,9.0
Mali,132.0,98.0
Malta,10.0,5.0
