Country or Area,Life expectancy at birth_1970.0,Life expectancy at birth_1990.0,Life expectancy at birth_2011.0
Afghanistan,35.0,42.0,49.0
Albania,67.0,72.0,77.0
Algeria,53.0,67.0,73.0
Angola,37.0,41.0,51.0
Argentina,66.0,72.0,76.0
Armenia,70.0,68.0,74.0
Australia,71.0,77.0,82.0
Austria,70.0,75.0,81.0
Azerbaijan,65.0,65.0,71.0
Bahamas,66.0,69.0,76.0
Bahrain,64.0,72.0,75.0
Bangladesh,42.0,59.0,69.0
Barbados,69.0,75.0,77.0
Belarus,71.0,71.0,70.0
Belgium,71.0,76.0,80.0
Belize,66.0,72.0,76.0
Benin,40.0,49.0,56.0
Bhutan,41.0,53.0,67.0
Bolivia (Plurinational State of),46.0,59.0,67.0
Bosnia and Herzegovina,66.0,67.0,76.0
Botswana,55.0,64.0,53.0
Brazil,59.0,66.0,73.0
Brunei Darussalam,67.0,73.0,78.0
Bulgaria,71.0,71.0,73.0
Burkina Faso,41.0,49.0,55.0
Burundi,44.0,46.0,50.0
CEE/CIS,66.0,68.0,70.0
Cambodia,44.0,56.0,63.0
Cameroon,46.0,53.0,52.0
Canada,73.0,77.0,81.0
Cape Verde,53.0,65.0,74.0
Central African Republic,42.0,49.0,48.0
Chad,44.0,51.0,50.0
Chile,62.0,74.0,79.0
China,63.0,69.0,73.0
Colombia,61.0,68.0,74.0
Comoros,48.0,56.0,61.0
Congo,53.0,56.0,57.0
Costa Rica,67.0,76.0,79.0
Croatia,69.0,72.0,77.0
Cuba,70.0,74.0,79.0
Cyprus,73.0,77.0,80.0
Czech Republic,70.0,72.0,78.0
Côte d'Ivoire,44.0,53.0,55.0
Democratic People's Republic of Korea,62.0,71.0,69.0
Democratic Republic of the Congo,44.0,47.0,48.0
Denmark,73.0,75.0,79.0
Djibouti,43.0,51.0,58.0
Dominican Republic,58.0,68.0,73.0
East Asia and Pacific,61.0,68.0,73.0
Eastern and Southern Africa,47.0,51.0,56.0
Ecuador,58.0,69.0,76.0
Egypt,50.0,62.0,73.0
El Salvador,57.0,66.0,72.0
Equatorial Guinea,40.0,47.0,51.0
Eritrea,43.0,48.0,62.0
Estonia,71.0,69.0,75.0
Ethiopia,43.0,47.0,59.0
Fiji,60.0,66.0,69.0
Finland,70.0,75.0,80.0
France,72.0,77.0,82.0
Gabon,47.0,61.0,63.0
Gambia,38.0,53.0,58.0
Georgia,67.0,71.0,74.0
Germany,71.0,75.0,80.0
Ghana,49.0,57.0,64.0
Greece,72.0,77.0,80.0
Grenada,64.0,69.0,76.0
Guatemala,52.0,62.0,71.0
Guinea,34.0,44.0,54.0
Guinea-Bissau,37.0,43.0,48.0
Guyana,56.0,61.0,70.0
Haiti,47.0,55.0,62.0
Honduras,52.0,66.0,73.0
Hungary,69.0,69.0,74.0
Iceland,74.0,78.0,82.0
India,49.0,58.0,65.0
Indonesia,52.0,62.0,69.0
Iran (Islamic Republic of),51.0,62.0,73.0
Iraq,58.0,67.0,69.0
Ireland,71.0,75.0,81.0
Israel,72.0,76.0,82.0
Italy,71.0,77.0,82.0
Jamaica,68.0,71.0,73.0
Japan,72.0,79.0,83.0
Jordan,61.0,70.0,73.0
Kazakhstan,62.0,67.0,67.0
Kenya,52.0,59.0,57.0
Kuwait,67.0,72.0,75.0
Kyrgyzstan,60.0,66.0,68.0
Lao People's Democratic Republic,46.0,54.0,67.0
Latin America and Caribbean,60.0,68.0,74.0
Latvia,70.0,69.0,73.0
Least Developed Countries/Territories,43.0,51.0,59.0
Lebanon,65.0,69.0,73.0
Lesotho,49.0,59.0,48.0
Liberia,41.0,42.0,57.0
Libya,52.0,68.0,75.0
Lithuania,71.0,71.0,72.0
Luxembourg,70.0,75.0,80.0
Madagascar,44.0,51.0,67.0
Malawi,41.0,47.0,54.0
Malaysia,64.0,70.0,74.0
Maldives,44.0,61.0,77.0
Mali,34.0,44.0,51.0
Malta,70.0,75.0,80.0
Mauritania,47.0,56.0,59.0
Mauritius,63.0,69.0,73.0
Mexico,61.0,71.0,77.0
Micronesia (Federated States of),62.0,66.0,69.0
Middle East and North Africa,52.0,63.0,71.0
Mongolia,56.0,61.0,68.0
Montenegro,69.0,76.0,75.0
Morocco,52.0,64.0,72.0
Mozambique,39.0,43.0,50.0
Myanmar,50.0,57.0,65.0
Namibia,53.0,61.0,62.0
Nepal,43.0,54.0,69.0
Netherlands,74.0,77.0,81.0
New Zealand,71.0,75.0,81.0
Nicaragua,54.0,64.0,74.0
Niger,38.0,41.0,55.0
Nigeria,42.0,46.0,52.0
Norway,74.0,77.0,81.0
Oman,51.0,71.0,73.0
Pakistan,53.0,61.0,65.0
Panama,65.0,72.0,76.0
Papua New Guinea,46.0,56.0,63.0
Paraguay,65.0,68.0,72.0
Peru,53.0,66.0,74.0
Philippines,61.0,65.0,69.0
Poland,70.0,71.0,76.0
Portugal,67.0,74.0,79.0
Qatar,66.0,74.0,78.0
Republic of Korea,61.0,72.0,81.0
Republic of Moldova,65.0,68.0,69.0
Romania,68.0,69.0,74.0
Russian Federation,69.0,68.0,69.0
Rwanda,44.0,33.0,55.0
Saint Lucia,64.0,71.0,75.0
Saint Vincent and the Grenadines,61.0,69.0,72.0
Samoa,55.0,65.0,72.0
Sao Tome and Principe,55.0,61.0,65.0
Saudi Arabia,52.0,69.0,74.0
Senegal,41.0,53.0,59.0
