Country or Area,Lifetime risk of maternal death
Afghanistan,32.0
Albania,2200.0
Algeria,430.0
Angola,39.0
Argentina,560.0
Armenia,1700.0
Australia,8100.0
Austria,18200.0
Azerbaijan,1000.0
Bahamas,1100.0
Bahrain,1800.0
Bangladesh,170.0
Barbados,1300.0
Belarus,16300.0
Belgium,7500.0
Belize,610.0
Benin,53.0
Bhutan,210.0
Bolivia (Plurinational State of),140.0
Bosnia and Herzegovina,11400.0
Botswana,220.0
Brazil,910.0
Brunei Darussalam,1900.0
Bulgaria,5900.0
Burkina Faso,55.0
Burundi,31.0
Cambodia,150.0
Cameroon,31.0
Canada,5200.0
Cape Verde,480.0
CEE/CIS,1700.0
Central African Republic,26.0
Chad,15.0
Chile,2200.0
China,1700.0
Colombia,430.0
Comoros,67.0
Congo,39.0
Costa Rica,1300.0
Côte d'Ivoire,53.0
Croatia,4100.0
Cuba,1000.0
Cyprus,6300.0
Czech Republic,12100.0
Democratic People's Republic of Korea,670.0
Democratic Republic of the Congo,30.0
Denmark,4500.0
Djibouti,140.0
Dominican Republic,240.0
East Asia and Pacific,680.0
Eastern and Southern Africa,52.0
Ecuador,350.0
Egypt,490.0
El Salvador,490.0
Equatorial Guinea,88.0
Eritrea,86.0
Estonia,25100.0
Ethiopia,67.0
Fiji,1400.0
Finland,12200.0
France,6200.0
Gabon,130.0
Gambia,56.0
Georgia,960.0
Germany,10600.0
Ghana,68.0
Greece,25500.0
Grenada,1700.0
Guatemala,190.0
Guinea,30.0
Guinea-Bissau,25.0
Guyana,150.0
Haiti,83.0
Honduras,270.0
Hungary,3300.0
Iceland,8900.0
India,170.0
Indonesia,210.0
Iran (Islamic Republic of),2400.0
Iraq,310.0
Ireland,8100.0
Israel,5100.0
Italy,20300.0
Jamaica,370.0
Japan,13100.0
Jordan,470.0
Kazakhstan,770.0
Kenya,55.0
Kuwait,2900.0
Kyrgyzstan,480.0
Lao People's Democratic Republic,74.0
Latin America and Caribbean,520.0
Latvia,2000.0
Least Developed Countries/Territories,52.0
Lebanon,2100.0
Lesotho,53.0
Liberia,24.0
Libya,620.0
Lithuania,9400.0
Luxembourg,3200.0
Madagascar,81.0
Malawi,36.0
Malaysia,1300.0
Maldives,870.0
Mali,28.0
Malta,8900.0
Mauritania,44.0
Mauritius,1000.0
Mexico,790.0
Micronesia (Federated States of),290.0
Middle East and North Africa,190.0
Mongolia,600.0
Montenegro,7400.0
Morocco,400.0
Mozambique,43.0
Myanmar,250.0
Namibia,160.0
Nepal,190.0
Netherlands,10500.0
New Zealand,3300.0
Nicaragua,350.0
Niger,23.0
Nigeria,29.0
Norway,7900.0
Oman,1200.0
Pakistan,110.0
Panama,410.0
Papua New Guinea,110.0
Paraguay,310.0
Peru,570.0
Philippines,300.0
Poland,14400.0
Portugal,9200.0
Qatar,5400.0
Republic of Korea,4800.0
Republic of Moldova,1500.0
Romania,2600.0
Russian Federation,2000.0
Rwanda,54.0
Saint Lucia,1400.0
Saint Vincent and the Grenadines,940.0
Samoa,260.0
Sao Tome and Principe,330.0
Saudi Arabia,1400.0
Senegal,54.0
Serbia,4900.0
Sierra Leone,23.0
Singapore,25300.0
Slovakia,12200.0
Slovenia,5900.0
Solomon Islands,240.0
Somalia,16.0
South Africa,140.0
South Asia,150.0
Spain,12000.0
Sri Lanka,1200.0
State of Palestine,330.0
Sub-Saharan Africa,39.0
Sudan (pre-cession),31.0
Suriname,320.0
Swaziland,95.0
Sweden,14100.0
Switzerland,9500.0
Syrian Arab Republic,460.0
Tajikistan,430.0
Thailand,1400.0
The former Yugoslav Republic of Macedonia,6300.0
Timor-Leste,55.0
Togo,80.0
Tonga,230.0
Trinidad and Tobago,1300.0
Tunisia,860.0
Turkey,2200.0
Turkmenistan,590.0
Uganda,49.0
Ukraine,2200.0
United Arab Emirates,4000.0
United Kingdom,4600.0
United Republic of Tanzania,38.0
United States,2400.0
Uruguay,1600.0
Uzbekistan,1400.0
Vanuatu,230.0
Venezuela (Bolivarian Republic of),410.0
Viet Nam,870.0
Western and Central Africa,32.0
World,180.0
Yemen,90.0
Zambia,37.0
Zimbabwe,52.0
