Country or Area,Maternal mortality ratio (MMR)
Afghanistan,460.0
Albania,27.0
Algeria,97.0
Angola,450.0
Argentina,77.0
Armenia,30.0
Australia,7.0
Austria,4.0
Azerbaijan,43.0
Bahamas,47.0
Bahrain,20.0
Bangladesh,240.0
Barbados,51.0
Belarus,4.0
Belgium,8.0
Belize,53.0
Benin,350.0
Bhutan,180.0
Bolivia (Plurinational State of),190.0
Bosnia and Herzegovina,8.0
Botswana,160.0
Brazil,56.0
Brunei Darussalam,24.0
Bulgaria,11.0
Burkina Faso,300.0
Burundi,800.0
Cambodia,250.0
Cameroon,690.0
Canada,12.0
Cape Verde,79.0
CEE/CIS,32.0
Central African Republic,890.0
Chad,1100.0
Chile,25.0
China,37.0
Colombia,92.0
Comoros,280.0
Congo,560.0
Costa Rica,40.0
Côte d'Ivoire,400.0
Croatia,17.0
Cuba,73.0
Cyprus,10.0
Czech Republic,5.0
Democratic People's Republic of Korea,81.0
Democratic Republic of the Congo,540.0
Denmark,12.0
Djibouti,200.0
Dominican Republic,150.0
East Asia and Pacific,82.0
Eastern and Southern Africa,410.0
Ecuador,110.0
Egypt,66.0
El Salvador,81.0
Equatorial Guinea,240.0
Eritrea,240.0
Estonia,2.0
Ethiopia,350.0
Fiji,26.0
Finland,5.0
France,8.0
Gabon,230.0
Gambia,360.0
Georgia,67.0
Germany,7.0
Ghana,350.0
Greece,3.0
Grenada,24.0
Guatemala,120.0
Guinea,610.0
Guinea-Bissau,790.0
Guyana,280.0
Haiti,350.0
Honduras,100.0
Hungary,21.0
Iceland,5.0
India,200.0
Indonesia,220.0
Iran (Islamic Republic of),21.0
Iraq,63.0
Ireland,6.0
Israel,7.0
Italy,4.0
Jamaica,110.0
Japan,5.0
Jordan,63.0
Kazakhstan,51.0
Kenya,360.0
Kuwait,14.0
Kyrgyzstan,71.0
Lao People's Democratic Republic,470.0
Latin America and Caribbean,81.0
Latvia,34.0
Least Developed Countries/Territories,430.0
Lebanon,25.0
Lesotho,620.0
Liberia,770.0
Libya,58.0
Lithuania,8.0
Luxembourg,20.0
Madagascar,240.0
Malawi,460.0
Malaysia,29.0
Maldives,60.0
Mali,540.0
Malta,8.0
Mauritania,510.0
Mauritius,60.0
Mexico,50.0
Micronesia (Federated States of),100.0
Middle East and North Africa,170.0
Mongolia,63.0
Montenegro,8.0
Morocco,100.0
Mozambique,490.0
Myanmar,200.0
Namibia,200.0
Nepal,170.0
Netherlands,6.0
New Zealand,15.0
Nicaragua,95.0
Niger,590.0
Nigeria,630.0
Norway,7.0
Oman,32.0
Pakistan,260.0
Panama,92.0
Papua New Guinea,230.0
Paraguay,99.0
Peru,67.0
Philippines,99.0
Poland,5.0
Portugal,8.0
Qatar,7.0
Republic of Korea,16.0
Republic of Moldova,41.0
Romania,27.0
Russian Federation,34.0
Rwanda,340.0
Saint Lucia,35.0
Saint Vincent and the Grenadines,48.0
Samoa,100.0
Sao Tome and Principe,70.0
Saudi Arabia,24.0
Senegal,370.0
Serbia,12.0
Sierra Leone,890.0
Singapore,3.0
Slovakia,6.0
Slovenia,12.0
Solomon Islands,93.0
Somalia,1000.0
South Africa,300.0
South Asia,220.0
Spain,6.0
Sri Lanka,35.0
State of Palestine,64.0
Sub-Saharan Africa,500.0
Sudan (pre-cession),730.0
Suriname,130.0
Swaziland,320.0
Sweden,4.0
Switzerland,8.0
Syrian Arab Republic,70.0
Tajikistan,65.0
Thailand,48.0
The former Yugoslav Republic of Macedonia,10.0
Timor-Leste,300.0
Togo,300.0
Tonga,110.0
Trinidad and Tobago,46.0
Tunisia,56.0
Turkey,20.0
Turkmenistan,67.0
Uganda,310.0
Ukraine,32.0
United Arab Emirates,12.0
United Kingdom,12.0
United Republic of Tanzania,460.0
United States,21.0
Uruguay,29.0
Uzbekistan,28.0
Vanuatu,110.0
Venezuela (Bolivarian Republic of),92.0
Viet Nam,59.0
Western and Central Africa,570.0
World,210.0
Yemen,200.0
Zambia,440.0
Zimbabwe,570.0
