Country or Area,Neonatal mortality rate
Afghanistan,36.0
Albania,7.0
Algeria,17.0
Andorra,1.0
Angola,43.0
Antigua and Barbuda,4.0
Argentina,8.0
Armenia,11.0
Australia,3.0
Austria,3.0
Azerbaijan,19.0
Bahamas,7.0
Bahrain,4.0
Bangladesh,26.0
Barbados,10.0
Belarus,3.0
Belgium,2.0
Belize,8.0
Benin,31.0
Bhutan,25.0
Bolivia (Plurinational State of),22.0
Bosnia and Herzegovina,5.0
Botswana,11.0
Brazil,10.0
Brunei Darussalam,4.0
Bulgaria,7.0
Burkina Faso,34.0
Burundi,43.0
Cambodia,19.0
Cameroon,33.0
Canada,4.0
Cape Verde,10.0
CEE/CIS,10.0
Central African Republic,46.0
Chad,42.0
Chile,5.0
China,9.0
Colombia,11.0
Comoros,32.0
Congo,32.0
Cook Islands,5.0
Costa Rica,6.0
Côte d'Ivoire,41.0
Croatia,3.0
Cuba,3.0
Cyprus,1.0
Czech Republic,2.0
Democratic People's Republic of Korea,18.0
Democratic Republic of the Congo,47.0
Denmark,2.0
Djibouti,33.0
Dominica,8.0
Dominican Republic,14.0
East Asia and Pacific,11.0
Eastern and Southern Africa,29.0
Ecuador,10.0
Egypt,7.0
El Salvador,6.0
Equatorial Guinea,37.0
Eritrea,22.0
Estonia,2.0
Ethiopia,31.0
Fiji,8.0
Finland,2.0
France,2.0
Gabon,25.0
Gambia,34.0
Georgia,15.0
Germany,2.0
Ghana,30.0
Greece,3.0
Grenada,7.0
Guatemala,15.0
Guinea,39.0
Guinea-Bissau,44.0
Guyana,20.0
Haiti,25.0
Honduras,11.0
Hungary,4.0
Iceland,1.0
India,32.0
Indonesia,15.0
Iran (Islamic Republic of),14.0
Iraq,20.0
Ireland,2.0
Israel,2.0
Italy,2.0
Jamaica,11.0
Japan,1.0
Jordan,12.0
Kazakhstan,14.0
Kenya,27.0
Kiribati,19.0
Kuwait,5.0
Kyrgyzstan,16.0
Lao People's Democratic Republic,18.0
Latin America and Caribbean,10.0
Latvia,5.0
Least Developed Countries/Territories,33.0
Lebanon,5.0
Lesotho,39.0
Liberia,27.0
Libya,10.0
Lithuania,3.0
Luxembourg,2.0
Madagascar,23.0
Malawi,27.0
Malaysia,3.0
Maldives,7.0
Mali,49.0
Malta,4.0
Marshall Islands,12.0
Mauritania,40.0
Mauritius,9.0
Mexico,7.0
Micronesia (Federated States of),17.0
Middle East and North Africa,16.0
Monaco,2.0
Mongolia,12.0
Montenegro,5.0
Morocco,19.0
Mozambique,34.0
Myanmar,30.0
Namibia,18.0
Nauru,22.0
Nepal,27.0
Netherlands,3.0
New Zealand,3.0
Nicaragua,13.0
Niger,32.0
Nigeria,39.0
Niue,10.0
Norway,2.0
Oman,5.0
Pakistan,36.0
Palau,9.0
Panama,9.0
Papua New Guinea,23.0
Paraguay,13.0
Peru,9.0
Philippines,12.0
Poland,4.0
Portugal,2.0
Qatar,4.0
Republic of Korea,2.0
Republic of Moldova,8.0
Romania,8.0
Russian Federation,7.0
Rwanda,21.0
Saint Kitts and Nevis,5.0
Saint Lucia,9.0
Saint Vincent and the Grenadines,13.0
Samoa,8.0
San Marino,1.0
Sao Tome and Principe,29.0
Saudi Arabia,5.0
Senegal,26.0
Serbia,4.0
Seychelles,9.0
Sierra Leone,49.0
Singapore,1.0
Slovakia,4.0
Slovenia,2.0
Solomon Islands,11.0
Somalia,50.0
South Africa,19.0
South Asia,32.0
South Sudan,38.0
Spain,3.0
Sri Lanka,8.0
State of Palestine,13.0
Sub-Saharan Africa,34.0
Sudan,31.0
Suriname,16.0
Swaziland,35.0
Sweden,2.0
Switzerland,3.0
Syrian Arab Republic,9.0
Tajikistan,25.0
Thailand,8.0
The former Yugoslav Republic of Macedonia,6.0
Timor-Leste,24.0
Togo,36.0
Tonga,8.0
Trinidad and Tobago,18.0
Tunisia,10.0
Turkey,9.0
Turkmenistan,22.0
Tuvalu,14.0
Uganda,28.0
Ukraine,5.0
United Arab Emirates,4.0
United Kingdom,3.0
United Republic of Tanzania,25.0
United States,4.0
Uruguay,5.0
Uzbekistan,15.0
Vanuatu,7.0
Venezuela (Bolivarian Republic of),8.0
Viet Nam,12.0
Western and Central Africa,39.0
World,22.0
Yemen,32.0
Zambia,27.0
Zimbabwe,30.0
