Country or Area,People living with HIVAIDS (low estimate)
Afghanistan,3
Algeria,13
Angola,160
Argentina,79
Armenia,2
Australia,18
Austria,13
Azerbaijan,5
Bahamas,6
Bangladesh,5
Barbados,1
Belarus,15
Belgium,16
Belize,4
Benin,56
Bhutan,<1
Bolivia (Plurinational State of),9
Botswana,280
Brazil,430
Bulgaria,3
Burkina Faso,100
Burundi,72
Cambodia,52
Cameroon,510
Canada,63
Cape Verde,2
CEE/CIS,1100
Central African Republic,100
Chad,180
Chile,34
China,620
Colombia,90
Comoros,<0.5
Congo,74
Costa Rica,7
Côte d'Ivoire,320
Croatia,<1
Cuba,12
Czech Republic,2
Denmark,5
Djibouti,7
Dominican Republic,37
East Asia and Pacific,2100
Eastern and Southern Africa,16300
Ecuador,19
Egypt,6
El Salvador,12
Equatorial Guinea,17
Eritrea,13
Estonia,8
Ethiopia,720
Fiji,<0.2
Finland,3
France,130
Gabon,34
Gambia,7
Georgia,2
Germany,66
Ghana,200
Greece,10
Guatemala,19
Guinea,68
Guinea-Bissau,20
Guyana,6
Haiti,96
Honduras,25
Hungary,3
Iceland,<0.5
Indonesia,240
Iran (Islamic Republic of),80
Ireland,6
Israel,7
Italy,120
Jamaica,24
Japan,6
Kazakhstan,17
Kenya,1500
Kyrgyzstan,9
Lao People's Democratic Republic,8
Latin America and Caribbean,1300
Latvia,7
Least Developed Countries/Territories,9600
Lebanon,2
Lesotho,300
Liberia,21
Lithuania,1
Luxembourg,<1
Madagascar,26
Malawi,850
Malaysia,72
Maldives,<0.1
Mali,83
Malta,<0.5
Mauritania,13
Mauritius,5
Mexico,160
Middle East and North Africa,220
Mongolia,<1
Morocco,21
Mozambique,1200
Myanmar,180
Namibia,160
Nepal,32
Netherlands,20
New Zealand,2
Nicaragua,3
Niger,57
Nigeria,3000
Norway,4
Pakistan,76
Panama,12
Papua New Guinea,24
Paraguay,6
Peru,38
Philippines,16
Poland,28
Portugal,37
Republic of Korea,12
Republic of Moldova,12
Romania,13
Russian Federation,730
Rwanda,180
Sao Tome and Principe,<1
Senegal,43
Serbia,2
Sierra Leone,39
Singapore,3
Slovakia,<0.5
Slovenia,<0.5
Somalia,23
South Africa,5300
South Asia,1600
South Sudan,100
Spain,130
Sri Lanka,3
Sub-Saharan Africa,22100
Sudan,56
Suriname,2
Swaziland,180
Sweden,7
Switzerland,16
Tajikistan,8
Thailand,450
Togo,120
Trinidad and Tobago,12
Tunisia,2
Turkey,4
Uganda,1300
Ukraine,180
United Kingdom,74
United Republic of Tanzania,1500
United States,1000
Uruguay,6
Venezuela (Bolivarian Republic of),51
Viet Nam,200
Western and Central Africa,5700
World,31400
Yemen,19
Zambia,900
Zimbabwe,1200
