Country or Area,People living with HIVAIDS_Female 15+ yr,People living with HIVAIDS_Total,People living with HIVAIDS_Total 0-14 yr
Afghanistan,1.0,6.0,
Angola,120.0,230.0,34.0
Argentina,35.0,95.0,
Armenia,,4.0,
Australia,7.0,22.0,
Austria,5.0,18.0,
Azerbaijan,1.0,7.0,
Bahamas,3.0,7.0,
Bangladesh,,8.0,
Barbados,,1.0,
Belarus,6.0,20.0,
Belgium,6.0,20.0,
Belize,2.0,5.0,
Benin,33.0,64.0,9.0
Bhutan,,1.0,
Bolivia (Plurinational State of),1.0,17.0,
Botswana,160.0,300.0,15.0
Brazil,200.0,490.0,
Bulgaria,1.0,4.0,
Burkina Faso,56.0,120.0,23.0
Burundi,38.0,80.0,19.0
CEE/CIS,410.0,1500.0,18.0
Cambodia,31.0,64.0,
Cameroon,280.0,550.0,60.0
Canada,13.0,71.0,
Cape Verde,3.0,3.0,
Central African Republic,62.0,130.0,20.0
Chad,100.0,210.0,34.0
Chile,5.0,51.0,
China,231.0,780.0,
Colombia,29.0,150.0,
Comoros,,,
Congo,40.0,83.0,13.0
Costa Rica,4.0,9.0,
Croatia,,1.0,
Cuba,3.0,14.0,
Czech Republic,,2.0,
Côte d'Ivoire,170.0,360.0,61.0
Denmark,2.0,6.0,
Djibouti,5.0,9.0,1.0
Dominican Republic,24.0,44.0,
East Asia and Pacific,720.0,2400.0,64.0
Eastern and Southern Africa,8700.0,17200.0,2200.0
Ecuador,8.0,35.0,
Egypt,2.0,10.0,
El Salvador,10.0,24.0,
Equatorial Guinea,10.0,20.0,3.0
Eritrea,12.0,23.0,4.0
Estonia,3.0,10.0,
Ethiopia,390.0,790.0,180.0
Fiji,,,
Finland,,3.0,
France,46.0,160.0,
Gabon,24.0,46.0,3.0
Gambia,8.0,14.0,
Georgia,1.0,5.0,
Germany,11.0,73.0,
Ghana,110.0,230.0,31.0
Greece,3.0,11.0,
Guatemala,26.0,65.0,
Guinea,41.0,85.0,11.0
Guinea-Bissau,12.0,24.0,3.0
Guyana,3.0,6.0,
Haiti,61.0,120.0,13.0
Honduras,10.0,33.0,
Hungary,1.0,4.0,
Iceland,,,
Indonesia,110.0,380.0,
Iran (Islamic Republic of),13.0,96.0,
Ireland,2.0,8.0,
Israel,3.0,9.0,
Italy,49.0,150.0,
Jamaica,10.0,30.0,
Japan,2.0,8.0,
Kazakhstan,8.0,19.0,
Kenya,800.0,1600.0,220.0
Kyrgyzstan,4.0,12.0,
Lao People's Democratic Republic,5.0,10.0,
Latin America and Caribbean,540.0,1600.0,58.0
Latvia,3.0,9.0,
Least Developed Countries/Territories,5000.0,10300.0,1600.0
Lebanon,1.0,3.0,
Lesotho,170.0,320.0,41.0
Liberia,12.0,25.0,5.0
Lithuania,,2.0,
Luxembourg,,,
Madagascar,10.0,34.0,
Malawi,430.0,910.0,170.0
Malaysia,8.0,81.0,
Maldives,,,
Mali,55.0,110.0,
Malta,,,
Mauritania,13.0,24.0,
Mauritius,2.0,7.0,
Mexico,32.0,180.0,
Middle East and North Africa,74.0,260.0,32.0
Mongolia,,,
Morocco,15.0,32.0,
Mozambique,750.0,1400.0,200.0
Myanmar,77.0,220.0,
Namibia,100.0,190.0,20.0
Nepal,10.0,49.0,
Netherlands,8.0,25.0,
New Zealand,,3.0,
Nicaragua,5.0,8.0,
Niger,33.0,65.0,
Nigeria,1700.0,3400.0,440.0
Norway,1.0,5.0,
Pakistan,28.0,130.0,
Panama,4.0,18.0,
Papua New Guinea,12.0,28.0,4.0
Paraguay,4.0,13.0,
Peru,20.0,74.0,
Philippines,4.0,19.0,
Poland,10.0,35.0,
Portugal,14.0,48.0,
Republic of Korea,4.0,15.0,
Republic of Moldova,6.0,15.0,
Romania,5.0,16.0,
Rwanda,110.0,210.0,27.0
Sao Tome and Principe,,,
Senegal,28.0,53.0,
Serbia,,4.0,
Sierra Leone,27.0,49.0,4.0
Singapore,1.0,3.0,
Slovakia,,,
Slovenia,,,
Somalia,15.0,35.0,
South Africa,2900.0,5600.0,460.0
South Asia,890.0,2500.0,110.0
South Sudan,77.0,150.0,16.0
Spain,35.0,150.0,
Sri Lanka,1.0,4.0,
Sub-Saharan Africa,11800.0,23500.0,3100.0
Sudan,22.0,69.0,
Suriname,2.0,3.0,
Swaziland,100.0,190.0,17.0
Sweden,3.0,9.0,
Switzerland,6.0,20.0,
Tajikistan,4.0,11.0,
Thailand,200.0,490.0,
Togo,73.0,150.0,19.0
Trinidad and Tobago,7.0,13.0,
Tunisia,,2.0,
Turkey,2.0,6.0,
Uganda,670.0,1400.0,190.0
Ukraine,94.0,230.0,
United Kingdom,29.0,94.0,
United Republic of Tanzania,760.0,1600.0,230.0
United States,300.0,1300.0,
Uruguay,4.0,12.0,
Venezuela (Bolivarian Republic of),25.0,99.0,
Viet Nam,48.0,250.0,
Western and Central Africa,3200.0,6300.0,850.0
World,15000.0,34000.0,3400.0
Yemen,9.0,22.0,
Zambia,460.0,970.0,170.0
Zimbabwe,600.0,1200.0,200.0
