Country or Area,Population size_Percent_Total 10-19 yr,Population size_Thousand_Total,Population size_Thousand_Total 10-19 yr,Population size_Thousand_Total <18 yr,Population size_Thousand_Total <5 yr
Afghanistan,25.0,32358.0,8015.0,17219.0,5686.0
Albania,17.0,3216.0,551.0,877.0,203.0
Algeria,18.0,35980.0,6425.0,11641.0,3464.0
Andorra,,86.0,,16.0,4.0
Angola,24.0,19618.0,4720.0,10399.0,3393.0
Antigua and Barbuda,,90.0,,28.0,8.0
Argentina,17.0,40765.0,6769.0,12105.0,3423.0
Armenia,14.0,3100.0,435.0,763.0,225.0
Australia,13.0,22606.0,2917.0,5190.0,1504.0
Austria,11.0,8413.0,929.0,1512.0,381.0
Azerbaijan,15.0,9306.0,1378.0,2430.0,846.0
Bahamas,17.0,347.0,58.0,95.0,27.0
Bahrain,11.0,1324.0,153.0,311.0,102.0
Bangladesh,21.0,150494.0,31601.0,55515.0,14421.0
Barbados,14.0,274.0,38.0,59.0,15.0
Belarus,11.0,9559.0,1025.0,1766.0,527.0
Belgium,11.0,10754.0,1207.0,2182.0,619.0
Belize,23.0,318.0,73.0,131.0,37.0
Benin,23.0,9100.0,2094.0,4568.0,1546.0
Bhutan,20.0,738.0,148.0,258.0,70.0
Bolivia (Plurinational State of),22.0,10088.0,2232.0,4254.0,1230.0
Bosnia and Herzegovina,12.0,3752.0,434.0,686.0,167.0
Botswana,21.0,2031.0,434.0,788.0,229.0
Brazil,17.0,196655.0,33906.0,59010.0,14662.0
Brunei Darussalam,16.0,406.0,65.0,124.0,37.0
Bulgaria,9.0,7446.0,696.0,1249.0,378.0
Burkina Faso,23.0,16968.0,3978.0,8824.0,3047.0
Burundi,23.0,8575.0,1946.0,3813.0,1221.0
CEE/CIS,13.0,405743.0,53462.0,95460.0,28590.0
Cambodia,23.0,14305.0,3222.0,5480.0,1505.0
Cameroon,22.0,20030.0,4481.0,9420.0,3102.0
Canada,12.0,34350.0,4137.0,6926.0,1936.0
Cape Verde,23.0,501.0,113.0,190.0,50.0
Central African Republic,23.0,4487.0,1030.0,2098.0,658.0
Chad,23.0,11525.0,2690.0,5992.0,2047.0
Chile,16.0,17270.0,2769.0,4615.0,1222.0
China,15.0,1347565.0,195432.0,317892.0,82205.0
Colombia,19.0,46927.0,8759.0,15951.0,4509.0
Comoros,21.0,754.0,161.0,366.0,124.0
Congo,22.0,4140.0,909.0,1940.0,637.0
Cook Islands,,20.0,,8.0,2.0
Costa Rica,18.0,4727.0,832.0,1405.0,359.0
Croatia,11.0,4396.0,490.0,806.0,215.0
Cuba,13.0,11254.0,1454.0,2343.0,543.0
Cyprus,14.0,1117.0,153.0,244.0,65.0
Czech Republic,10.0,10534.0,1069.0,1836.0,567.0
Côte d'Ivoire,23.0,20153.0,4653.0,9539.0,2992.0
Democratic People's Republic of Korea,17.0,24451.0,4103.0,6757.0,1706.0
Democratic Republic of the Congo,24.0,67758.0,16323.0,35852.0,12037.0
Denmark,13.0,5573.0,701.0,1212.0,327.0
Djibouti,22.0,906.0,202.0,382.0,115.0
Dominica,,68.0,,21.0,6.0
Dominican Republic,20.0,10056.0,1967.0,3672.0,1051.0
East Asia and Pacific,16.0,2032532.0,317250.0,533810.0,141248.0
Eastern and Southern Africa,22.0,418709.0,94195.0,196675.0,63188.0
Ecuador,19.0,14666.0,2843.0,5234.0,1469.0
Egypt,19.0,82537.0,15964.0,30537.0,9092.0
El Salvador,23.0,6227.0,1440.0,2394.0,631.0
Equatorial Guinea,21.0,720.0,154.0,327.0,111.0
Eritrea,22.0,5415.0,1171.0,2588.0,879.0
Estonia,10.0,1341.0,133.0,250.0,80.0
Ethiopia,25.0,84734.0,20948.0,40698.0,11915.0
Fiji,18.0,868.0,159.0,300.0,91.0
Finland,12.0,5385.0,627.0,1084.0,303.0
France,12.0,63126.0,7482.0,13837.0,3985.0
Gabon,23.0,1534.0,346.0,642.0,188.0
Gambia,24.0,1776.0,421.0,897.0,292.0
Georgia,13.0,4329.0,541.0,892.0,258.0
Germany,10.0,82163.0,8059.0,13437.0,3504.0
Ghana,22.0,24966.0,5412.0,11174.0,3591.0
Greece,10.0,11390.0,1087.0,2001.0,600.0
Grenada,20.0,105.0,20.0,35.0,10.0
Guatemala,23.0,14757.0,3467.0,7072.0,2192.0
Guinea,23.0,10222.0,2334.0,5045.0,1691.0
Guinea-Bissau,23.0,1547.0,349.0,739.0,244.0
Guyana,24.0,756.0,181.0,297.0,60.0
Haiti,22.0,10124.0,2270.0,4271.0,1245.0
Holy See,,0.0,,0.0,0.0
Honduras,23.0,7755.0,1777.0,3338.0,975.0
Hungary,11.0,9966.0,1072.0,1800.0,493.0
Iceland,14.0,324.0,45.0,81.0,24.0
India,20.0,1241492.0,243492.0,448336.0,128542.0
Indonesia,18.0,242326.0,42771.0,77471.0,21210.0
Iran (Islamic Republic of),16.0,74799.0,12015.0,20819.0,6269.0
Iraq,23.0,32665.0,7490.0,16146.0,5294.0
Ireland,13.0,4526.0,567.0,1137.0,370.0
Israel,16.0,7562.0,1206.0,2417.0,754.0
Italy,9.0,60789.0,5742.0,10308.0,2910.0
Jamaica,21.0,2751.0,562.0,956.0,254.0
Japan,9.0,126497.0,11799.0,20375.0,5418.0
Jordan,23.0,6330.0,1418.0,2747.0,817.0
Kazakhstan,15.0,16207.0,2402.0,4800.0,1726.0
Kenya,22.0,41610.0,9322.0,20317.0,6805.0
Kiribati,,101.0,,36.0,10.0
Kuwait,14.0,2818.0,394.0,863.0,282.0
Kyrgyzstan,20.0,5393.0,1082.0,1957.0,624.0
Lao People's Democratic Republic,24.0,6288.0,1509.0,2581.0,682.0
Latin America and Caribbean,18.0,591212.0,108552.0,195081.0,52898.0
Latvia,10.0,2243.0,216.0,382.0,117.0
Least Developed Countries/Territories,23.0,851103.0,193984.0,395405.0,124162.0
Lebanon,18.0,4259.0,772.0,1271.0,328.0
Lesotho,24.0,2194.0,531.0,970.0,276.0
Liberia,22.0,4129.0,921.0,2057.0,700.0
Libya,17.0,6423.0,1117.0,2293.0,717.0
Liechtenstein,,36.0,,7.0,2.0
Lithuania,12.0,3307.0,391.0,616.0,173.0
Luxembourg,12.0,516.0,63.0,110.0,29.0
Madagascar,24.0,21315.0,5060.0,10570.0,3378.0
Malawi,24.0,15381.0,3673.0,8116.0,2829.0
Malaysia,19.0,28859.0,5537.0,10244.0,2796.0
Maldives,21.0,320.0,66.0,104.0,26.0
Mali,24.0,15840.0,3723.0,8525.0,2995.0
Malta,12.0,418.0,50.0,77.0,20.0
Marshall Islands,,55.0,,20.0,5.0
Mauritania,22.0,3542.0,791.0,1635.0,522.0
Mauritius,16.0,1307.0,211.0,344.0,81.0
Mexico,19.0,114793.0,21658.0,39440.0,10943.0
Micronesia (Federated States of),24.0,112.0,27.0,48.0,13.0
Middle East and North Africa,20.0,415633.0,82134.0,157845.0,48169.0
Monaco,,35.0,,7.0,2.0
Mongolia,18.0,2800.0,500.0,934.0,317.0
Montenegro,13.0,632.0,83.0,145.0,39.0
Morocco,19.0,32273.0,6094.0,10790.0,3048.0
Mozambique,23.0,23930.0,5577.0,12086.0,3877.0
Myanmar,18.0,48337.0,8665.0,14832.0,3981.0
Namibia,23.0,2324.0,530.0,994.0,288.0
Nauru,,10.0,,4.0,1.0
Nepal,23.0,30486.0,7043.0,12883.0,3453.0
Netherlands,12.0,16665.0,2019.0,3526.0,907.0
New Zealand,14.0,4415.0,612.0,1091.0,320.0
Nicaragua,22.0,5870.0,1319.0,2390.0,684.0
Niger,24.0,16069.0,3776.0,8922.0,3196.0
Nigeria,22.0,162471.0,36205.0,79931.0,27195.0
Niue,,1.0,,1.0,0.0
Norway,13.0,4925.0,646.0,1117.0,309.0
Oman,16.0,2846.0,462.0,910.0,290.0
Pakistan,23.0,176745.0,39894.0,73756.0,22064.0
Palau,,21.0,,7.0,2.0
Panama,18.0,3571.0,646.0,1213.0,345.0
Papua New Guinea,22.0,7014.0,1561.0,3168.0,975.0
Paraguay,21.0,6568.0,1385.0,2587.0,744.0
Peru,20.0,29400.0,5769.0,10421.0,2902.0
Philippines,22.0,94852.0,20508.0,39205.0,11161.0
Poland,11.0,38299.0,4300.0,7023.0,2008.0
Portugal,10.0,10690.0,1100.0,1930.0,501.0
Qatar,8.0,1870.0,151.0,302.0,97.0
Republic of Korea,13.0,48391.0,6458.0,9842.0,2488.0
Republic of Moldova,13.0,3545.0,459.0,740.0,223.0
Romania,11.0,21436.0,2252.0,3928.0,1093.0
Russian Federation,10.0,142836.0,14023.0,26115.0,8264.0
Rwanda,22.0,10943.0,2356.0,5352.0,1909.0
Saint Kitts and Nevis,,53.0,,17.0,5.0
Saint Lucia,18.0,176.0,32.0,55.0,15.0
Saint Vincent and the Grenadines,19.0,109.0,21.0,35.0,9.0
Samoa,24.0,184.0,44.0,81.0,22.0
San Marino,,32.0,,6.0,2.0
Sao Tome and Principe,24.0,169.0,40.0,79.0,24.0
Saudi Arabia,18.0,28083.0,4926.0,9923.0,3186.0
Senegal,24.0,12768.0,3004.0,6425.0,2125.0
Serbia,12.0,9854.0,1207.0,2089.0,551.0
Seychelles,,87.0,,43.0,14.0
Sierra Leone,23.0,5997.0,1366.0,2965.0,984.0
Singapore,14.0,5188.0,747.0,1104.0,238.0
Slovakia,12.0,5472.0,635.0,1024.0,281.0
Slovenia,9.0,2035.0,193.0,344.0,102.0
Solomon Islands,22.0,552.0,121.0,254.0,81.0
Somalia,22.0,9557.0,2140.0,4896.0,1701.0
South Africa,20.0,50460.0,9940.0,18045.0,4989.0
South Asia,20.0,1653679.0,333425.0,614255.0,176150.0
South Sudan,,10314.0,,,
Spain,9.0,46455.0,4299.0,8306.0,2546.0
Sri Lanka,15.0,21045.0,3165.0,6183.0,1886.0
State of Palestine,25.0,4152.0,1040.0,2051.0,635.0
Sub-Saharan Africa,23.0,876497.0,200971.0,428333.0,140617.0
Sudan,,34318.0,,,
Sudan (pre-cession),23.0,,10044.0,20660.0,6472.0
Suriname,18.0,529.0,96.0,176.0,47.0
Swaziland,25.0,1203.0,301.0,548.0,158.0
Sweden,12.0,9441.0,1097.0,1916.0,562.0
Switzerland,11.0,7702.0,867.0,1435.0,382.0
Syrian Arab Republic,23.0,20766.0,4786.0,8923.0,2446.0
Tajikistan,24.0,6977.0,1670.0,3052.0,883.0
Thailand,15.0,69519.0,10192.0,17111.0,4270.0
The former Yugoslav Republic of Macedonia,14.0,2064.0,280.0,445.0,112.0
Timor-Leste,26.0,1154.0,301.0,616.0,201.0
Togo,23.0,6155.0,1416.0,2831.0,870.0
Tonga,22.0,105.0,23.0,46.0,14.0
Trinidad and Tobago,14.0,1346.0,189.0,334.0,96.0
Tunisia,16.0,10594.0,1709.0,3001.0,885.0
Turkey,18.0,73640.0,13004.0,23107.0,6489.0
Turkmenistan,20.0,5105.0,1013.0,1785.0,499.0
Tuvalu,,10.0,,4.0,1.0
Uganda,24.0,34509.0,8326.0,19042.0,6638.0
Ukraine,10.0,45190.0,4638.0,7977.0,2465.0
United Arab Emirates,12.0,7891.0,898.0,1590.0,451.0
United Kingdom,12.0,62417.0,7442.0,13153.0,3858.0
United Republic of Tanzania,23.0,46218.0,10475.0,23690.0,8267.0
United States,13.0,313085.0,41478.0,75491.0,21629.0
