Country or Area,Prevalence of stunting (moderate and severe) - WHO
Afghanistan,59.0
Albania,19.0
Algeria,15.0
Angola,29.0
Argentina,8.0
Armenia,19.0
Azerbaijan,25.0
Bangladesh,41.0
Belarus,4.0
Belize,22.0
Benin,43.0
Bhutan,34.0
Bolivia (Plurinational State of),27.0
Bosnia and Herzegovina,10.0
Botswana,31.0
Brazil,7.0
Burkina Faso,35.0
Burundi,58.0
Cambodia,40.0
Cameroon,33.0
CEE/CIS,12.0
Central African Republic,41.0
Chad,39.0
China,10.0
Colombia,13.0
Congo,30.0
Costa Rica,6.0
Côte d'Ivoire,27.0
Democratic People's Republic of Korea,32.0
Democratic Republic of the Congo,43.0
Djibouti,31.0
Dominican Republic,10.0
East Asia and Pacific,12.0
Eastern and Southern Africa,40.0
Egypt,29.0
El Salvador,19.0
Equatorial Guinea,35.0
Eritrea,44.0
Ethiopia,44.0
Gabon,25.0
Gambia,24.0
Georgia,11.0
Ghana,28.0
Guatemala,48.0
Guinea,40.0
Guinea-Bissau,32.0
Guyana,18.0
Haiti,29.0
Honduras,29.0
India,48.0
Indonesia,36.0
Iraq,26.0
Jamaica,4.0
Jordan,8.0
Kazakhstan,17.0
Kenya,35.0
Kyrgyzstan,18.0
Lao People's Democratic Republic,48.0
Latin America and Caribbean,12.0
Least Developed Countries/Territories,38.0
Lesotho,39.0
Liberia,42.0
Madagascar,50.0
Malawi,47.0
Malaysia,17.0
Maldives,19.0
Mali,38.0
Mauritania,23.0
Mexico,16.0
Middle East and North Africa,20.0
Mongolia,16.0
Montenegro,7.0
Morocco,15.0
Mozambique,43.0
Myanmar,35.0
Namibia,29.0
Nauru,24.0
Nepal,41.0
Nicaragua,22.0
Niger,51.0
Nigeria,41.0
Oman,10.0
Pakistan,44.0
Panama,19.0
Papua New Guinea,43.0
Paraguay,18.0
Peru,20.0
Philippines,32.0
Republic of Moldova,10.0
Romania,13.0
Rwanda,44.0
Sao Tome and Principe,29.0
Senegal,27.0
Serbia,7.0
Sierra Leone,44.0
Singapore,4.0
Solomon Islands,33.0
Somalia,42.0
South Africa,24.0
South Asia,39.0
South Sudan,31.0
Sri Lanka,17.0
Sub-Saharan Africa,40.0
Sudan,35.0
Suriname,11.0
Swaziland,31.0
Syrian Arab Republic,28.0
Tajikistan,39.0
Thailand,16.0
The former Yugoslav Republic of Macedonia,5.0
Timor-Leste,58.0
Togo,30.0
Tunisia,9.0
Turkey,12.0
Turkmenistan,19.0
Tuvalu,10.0
Uganda,33.0
United Republic of Tanzania,42.0
United States,3.0
Uruguay,15.0
Uzbekistan,19.0
Venezuela (Bolivarian Republic of),16.0
Viet Nam,23.0
Western and Central Africa,39.0
World,26.0
Yemen,58.0
Zambia,45.0
Zimbabwe,32.0
