Country or Area,Prevalence of underweight (moderate and severe) - WHO_Percent_Poorest 20%,Prevalence of underweight (moderate and severe) - WHO_Percent_Richest 20%,Prevalence of underweight (moderate and severe) - WHO_Percent_Rural,Prevalence of underweight (moderate and severe) - WHO_Percent_Total <5 yr,Prevalence of underweight (moderate and severe) - WHO_Percent_Urban,Prevalence of underweight (moderate and severe) - WHO_Ratio_Ratio of poorest to richest,Prevalence of underweight (moderate and severe) - WHO_Ratio_Ratio of rural to urban
Afghanistan,,,,33.0,,,
Albania,8.0,4.0,6.0,5.0,5.0,2.2,1.2
Algeria,5.0,2.0,4.0,3.0,3.0,2.4,1.4
Angola,,,,16.0,,,
Argentina,,,,2.0,,,
Armenia,8.0,2.0,7.0,5.0,3.0,5.3,2.6
Azerbaijan,15.0,2.0,12.0,8.0,4.0,7.0,3.1
Bangladesh,50.0,21.0,39.0,36.0,28.0,2.4,1.4
Belarus,2.0,0.0,2.0,1.0,1.0,6.7,1.7
Belize,,,6.0,4.0,2.0,,2.9
Benin,25.0,10.0,21.0,18.0,15.0,2.4,1.4
Bhutan,16.0,7.0,14.0,13.0,11.0,2.2,1.3
Bolivia (Plurinational State of),8.0,2.0,6.0,4.0,3.0,3.8,2.3
Bosnia and Herzegovina,2.0,3.0,1.0,1.0,2.0,0.5,0.7
Botswana,16.0,4.0,,11.0,,4.0,
Brazil,,,2.0,2.0,2.0,,0.8
Burkina Faso,38.0,18.0,,26.0,,2.1,
Burundi,41.0,17.0,30.0,29.0,18.0,2.4,1.7
CEE/CIS,,,,2.0,,,
Cambodia,35.0,16.0,30.0,28.0,19.0,2.2,1.6
Cameroon,,,20.0,15.0,7.0,,2.8
Central African Republic,26.0,19.0,24.0,24.0,23.0,1.4,1.0
Chad,33.0,21.0,33.0,30.0,22.0,1.6,1.5
China,,,4.0,4.0,1.0,,3.3
Colombia,6.0,2.0,5.0,3.0,3.0,3.0,1.6
Congo,16.0,5.0,15.0,11.0,8.0,3.1,2.0
Costa Rica,,,,1.0,,,
Côte d'Ivoire,21.0,6.0,20.0,16.0,9.0,3.4,2.2
Democratic People's Republic of Korea,,,27.0,19.0,13.0,,2.0
Democratic Republic of the Congo,29.0,12.0,27.0,24.0,17.0,2.3,1.6
Djibouti,,,27.0,23.0,18.0,,1.5
Dominican Republic,5.0,1.0,4.0,3.0,3.0,4.4,1.2
East Asia and Pacific,24.0,10.0,10.0,6.0,5.0,2.5,2.0
Eastern and Southern Africa,26.0,12.0,20.0,18.0,12.0,2.2,1.7
Ecuador,,,,6.0,,,
Egypt,8.0,5.0,6.0,6.0,6.0,1.4,1.0
El Salvador,12.0,1.0,7.0,6.0,4.0,12.9,2.0
Equatorial Guinea,,,,11.0,,,
Eritrea,,,40.0,35.0,23.0,,1.7
Ethiopia,36.0,15.0,30.0,29.0,16.0,2.4,1.9
Gabon,,,,8.0,,,
Gambia,24.0,9.0,22.0,18.0,12.0,2.6,1.9
Georgia,,,1.0,1.0,1.0,,1.6
Ghana,19.0,9.0,16.0,14.0,11.0,2.2,1.5
Guatemala,21.0,3.0,16.0,13.0,8.0,6.5,1.9
Guinea,24.0,19.0,23.0,21.0,15.0,1.3,1.5
Guinea-Bissau,22.0,11.0,21.0,18.0,13.0,2.1,1.6
Guyana,16.0,4.0,12.0,11.0,7.0,3.8,1.7
Haiti,22.0,6.0,20.0,18.0,12.0,3.6,1.7
Honduras,16.0,2.0,11.0,8.0,4.0,8.1,2.4
India,57.0,20.0,46.0,43.0,33.0,2.9,1.4
Indonesia,23.0,10.0,21.0,18.0,15.0,2.2,1.4
Iraq,,,7.0,6.0,6.0,,1.1
Jamaica,,,,2.0,,,
Jordan,3.0,0.0,2.0,2.0,2.0,26.0,1.3
Kazakhstan,5.0,2.0,5.0,4.0,3.0,2.8,1.7
Kenya,25.0,9.0,17.0,16.0,10.0,2.8,1.7
Kyrgyzstan,2.0,2.0,2.0,2.0,2.0,0.8,0.9
Lao People's Democratic Republic,38.0,14.0,34.0,31.0,20.0,2.7,1.7
Latin America and Caribbean,,,,3.0,,,
Least Developed Countries/Territories,33.0,15.0,27.0,23.0,18.0,2.3,1.5
Lesotho,18.0,9.0,13.0,13.0,12.0,1.9,1.1
Liberia,21.0,13.0,20.0,15.0,17.0,1.6,1.2
Madagascar,40.0,24.0,37.0,36.0,31.0,1.7,1.2
Malawi,17.0,13.0,13.0,13.0,10.0,1.3,1.3
Malaysia,,,,13.0,,,
Maldives,24.0,11.0,20.0,17.0,11.0,2.3,1.8
Mali,31.0,17.0,29.0,27.0,20.0,1.8,1.5
Mauritania,,,,20.0,,,
Mexico,,,,3.0,,,
Middle East and North Africa,,,,8.0,,,
Mongolia,6.0,2.0,5.0,5.0,4.0,2.7,1.2
Montenegro,4.0,1.0,1.0,2.0,2.0,4.1,0.7
Morocco,,,4.0,3.0,2.0,,2.5
Mozambique,,,17.0,15.0,10.0,,1.7
Myanmar,33.0,14.0,24.0,23.0,19.0,2.5,1.3
Namibia,22.0,7.0,19.0,17.0,12.0,3.1,1.7
Nauru,7.0,3.0,,5.0,,2.7,
Nepal,40.0,10.0,30.0,29.0,17.0,4.0,1.8
Nicaragua,9.0,1.0,7.0,6.0,4.0,6.6,1.7
Niger,,,39.0,39.0,44.0,,0.9
Nigeria,35.0,10.0,27.0,23.0,16.0,3.5,1.7
Oman,,,,9.0,,,
Pakistan,,,33.0,32.0,27.0,,1.3
Panama,,,,4.0,,,
Papua New Guinea,,,20.0,18.0,12.0,,1.6
Paraguay,,,,3.0,,,
Peru,9.0,1.0,8.0,4.0,2.0,15.7,3.8
Philippines,,,,22.0,,,
Republic of Moldova,5.0,1.0,4.0,3.0,2.0,8.2,2.0
Romania,,,4.0,4.0,3.0,,1.3
Rwanda,16.0,5.0,12.0,11.0,6.0,3.0,1.9
Sao Tome and Principe,18.0,7.0,14.0,13.0,12.0,2.6,1.1
Senegal,24.0,10.0,21.0,18.0,12.0,2.4,1.8
Serbia,3.0,2.0,1.0,2.0,2.0,1.4,0.7
Sierra Leone,22.0,15.0,22.0,22.0,20.0,1.4,1.1
Singapore,,,,3.0,,,
Solomon Islands,14.0,10.0,12.0,12.0,8.0,1.4,1.5
