Country or Area,Proportion of 1 year-old children immunised against DPT1
Afghanistan,86.0
Albania,99.0
Algeria,99.0
Andorra,99.0
Angola,99.0
Antigua and Barbuda,99.0
Argentina,98.0
Armenia,98.0
Australia,92.0
Austria,93.0
Azerbaijan,79.0
Bahamas,99.0
Bahrain,99.0
Bangladesh,99.0
Barbados,93.0
Belarus,99.0
Belgium,99.0
Belize,98.0
Benin,94.0
Bhutan,98.0
Bolivia (Plurinational State of),90.0
Bosnia and Herzegovina,94.0
Botswana,98.0
Brazil,99.0
Brunei Darussalam,99.0
Bulgaria,96.0
Burkina Faso,93.0
Burundi,99.0
Cambodia,96.0
Cameroon,90.0
Canada,98.0
Cape Verde,99.0
CEE/CIS,95.0
Central African Republic,64.0
Chad,45.0
Chile,98.0
China,99.0
Colombia,95.0
Comoros,94.0
Congo,90.0
Cook Islands,98.0
Costa Rica,87.0
Côte d'Ivoire,75.0
Croatia,97.0
Cuba,96.0
Cyprus,99.0
Czech Republic,99.0
Democratic People's Republic of Korea,95.0
Democratic Republic of the Congo,79.0
Denmark,94.0
Djibouti,89.0
Dominica,99.0
Dominican Republic,91.0
East Asia and Pacific,95.0
Eastern and Southern Africa,85.0
Ecuador,99.0
Egypt,97.0
El Salvador,90.0
Equatorial Guinea,65.0
Eritrea,99.0
Estonia,96.0
Ethiopia,61.0
Fiji,99.0
Finland,99.0
France,99.0
Gabon,69.0
Gambia,99.0
Georgia,95.0
Germany,99.0
Ghana,94.0
Greece,99.0
Grenada,98.0
Guatemala,91.0
Guinea,86.0
Guinea-Bissau,92.0
Guyana,97.0
Haiti,83.0
Honduras,99.0
Hungary,99.0
Iceland,98.0
India,83.0
Indonesia,86.0
Iran (Islamic Republic of),99.0
Iraq,90.0
Ireland,98.0
Israel,96.0
Italy,98.0
Jamaica,99.0
Japan,99.0
Jordan,98.0
Kazakhstan,99.0
Kenya,95.0
Kiribati,99.0
Kuwait,99.0
Kyrgyzstan,97.0
Lao People's Democratic Republic,83.0
Latin America and Caribbean,96.0
Latvia,97.0
Least Developed Countries/Territories,87.0
Lebanon,84.0
Lesotho,93.0
Liberia,61.0
Libya,98.0
Lithuania,95.0
Luxembourg,99.0
Madagascar,96.0
Malawi,98.0
Malaysia,99.0
Maldives,97.0
Mali,85.0
Malta,99.0
Marshall Islands,99.0
Mauritania,91.0
Mauritius,99.0
Mexico,99.0
Micronesia (Federated States of),96.0
Middle East and North Africa,96.0
Monaco,99.0
Mongolia,99.0
Montenegro,98.0
Morocco,99.0
Mozambique,90.0
Myanmar,99.0
Namibia,88.0
Nauru,99.0
Nepal,96.0
Netherlands,99.0
New Zealand,95.0
Nicaragua,99.0
Niger,80.0
Nigeria,53.0
Niue,99.0
Norway,99.0
Oman,99.0
Pakistan,88.0
Palau,99.0
Panama,95.0
Papua New Guinea,83.0
Paraguay,97.0
Peru,94.0
Philippines,85.0
Poland,99.0
Portugal,99.0
Qatar,94.0
Republic of Korea,99.0
Republic of Moldova,96.0
Romania,96.0
Russian Federation,97.0
Rwanda,98.0
Saint Kitts and Nevis,99.0
Saint Lucia,98.0
Saint Vincent and the Grenadines,98.0
Samoa,99.0
San Marino,90.0
Sao Tome and Principe,98.0
Saudi Arabia,99.0
Senegal,94.0
Serbia,91.0
Seychelles,99.0
Sierra Leone,94.0
Singapore,98.0
Slovakia,99.0
Slovenia,98.0
Solomon Islands,94.0
Somalia,52.0
South Africa,77.0
South Asia,85.0
South Sudan,58.0
Spain,99.0
Sri Lanka,99.0
State of Palestine,99.0
Sub-Saharan Africa,79.0
Sudan,98.0
Suriname,90.0
Swaziland,98.0
Sweden,99.0
Switzerland,95.0
Syrian Arab Republic,86.0
Tajikistan,98.0
Thailand,99.0
The former Yugoslav Republic of Macedonia,95.0
Timor-Leste,69.0
Togo,95.0
Tonga,99.0
Trinidad and Tobago,96.0
Tunisia,98.0
Turkey,98.0
Turkmenistan,98.0
Tuvalu,99.0
Uganda,91.0
Ukraine,73.0
United Arab Emirates,94.0
United Kingdom,98.0
United Republic of Tanzania,96.0
United States,98.0
Uruguay,99.0
Uzbekistan,99.0
Vanuatu,78.0
Venezuela (Bolivarian Republic of),90.0
Viet Nam,97.0
Western and Central Africa,71.0
World,89.0
Yemen,89.0
Zambia,87.0
Zimbabwe,99.0
