Country or Area,Proportion of 1 year-old children immunised against TB (BCG)
Afghanistan,68.0
Albania,99.0
Algeria,99.0
Angola,88.0
Argentina,99.0
Armenia,96.0
Azerbaijan,82.0
Bangladesh,95.0
Belarus,99.0
Belize,98.0
Benin,97.0
Bhutan,95.0
Bolivia (Plurinational State of),90.0
Bosnia and Herzegovina,94.0
Botswana,99.0
Brazil,99.0
Brunei Darussalam,96.0
Bulgaria,98.0
Burkina Faso,99.0
Burundi,90.0
Cambodia,94.0
Cameroon,80.0
Cape Verde,99.0
CEE/CIS,96.0
Central African Republic,74.0
Chad,53.0
Chile,91.0
China,99.0
Colombia,83.0
Comoros,76.0
Congo,95.0
Cook Islands,98.0
Costa Rica,78.0
Côte d'Ivoire,74.0
Croatia,99.0
Cuba,99.0
Democratic People's Republic of Korea,98.0
Democratic Republic of the Congo,67.0
Djibouti,89.0
Dominica,99.0
Dominican Republic,98.0
East Asia and Pacific,95.0
Eastern and Southern Africa,85.0
Ecuador,99.0
Egypt,98.0
El Salvador,91.0
Equatorial Guinea,73.0
Eritrea,99.0
Estonia,99.0
Ethiopia,69.0
Fiji,99.0
Gabon,89.0
Gambia,90.0
Georgia,96.0
Ghana,98.0
Greece,91.0
Guatemala,89.0
Guinea,93.0
Guinea-Bissau,93.0
Guyana,97.0
Haiti,75.0
Honduras,99.0
Hungary,99.0
India,87.0
Indonesia,82.0
Iran (Islamic Republic of),99.0
Iraq,92.0
Ireland,41.0
Jamaica,99.0
Japan,94.0
Jordan,95.0
Kazakhstan,96.0
Kenya,92.0
Kiribati,86.0
Kuwait,99.0
Kyrgyzstan,98.0
Lao People's Democratic Republic,77.0
Latin America and Caribbean,95.0
Latvia,95.0
Least Developed Countries/Territories,82.0
Lesotho,95.0
Liberia,73.0
Libya,99.0
Lithuania,98.0
Madagascar,82.0
Malawi,99.0
Malaysia,99.0
Maldives,98.0
Mali,89.0
Marshall Islands,99.0
Mauritania,86.0
Mauritius,99.0
Mexico,99.0
Micronesia (Federated States of),75.0
Middle East and North Africa,93.0
Monaco,89.0
Mongolia,99.0
Montenegro,97.0
Morocco,99.0
Mozambique,91.0
Myanmar,93.0
Namibia,89.0
Nauru,99.0
Nepal,97.0
Nicaragua,98.0
Niger,61.0
Nigeria,64.0
Niue,99.0
Oman,99.0
Pakistan,85.0
Panama,97.0
Papua New Guinea,83.0
Paraguay,94.0
Peru,91.0
Philippines,84.0
Poland,93.0
Portugal,96.0
Qatar,97.0
Republic of Korea,99.0
Republic of Moldova,98.0
Romania,99.0
Russian Federation,95.0
Rwanda,99.0
Saint Kitts and Nevis,99.0
Saint Lucia,97.0
Saint Vincent and the Grenadines,99.0
Samoa,99.0
Sao Tome and Principe,99.0
Saudi Arabia,98.0
Senegal,95.0
Serbia,99.0
Seychelles,99.0
Sierra Leone,96.0
Singapore,99.0
Slovakia,97.0
Solomon Islands,89.0
Somalia,41.0
South Africa,78.0
South Asia,87.0
South Sudan,57.0
Sri Lanka,99.0
State of Palestine,98.0
Sub-Saharan Africa,79.0
Sudan,92.0
Swaziland,98.0
Sweden,23.0
Syrian Arab Republic,90.0
Tajikistan,97.0
Thailand,99.0
The former Yugoslav Republic of Macedonia,98.0
Timor-Leste,68.0
Togo,90.0
Tonga,99.0
Tunisia,98.0
Turkey,97.0
Turkmenistan,98.0
Tuvalu,99.0
Uganda,86.0
Ukraine,90.0
United Arab Emirates,98.0
United Republic of Tanzania,99.0
Uruguay,99.0
Uzbekistan,99.0
Vanuatu,81.0
Venezuela (Bolivarian Republic of),95.0
Viet Nam,98.0
Western and Central Africa,73.0
World,88.0
Yemen,59.0
Zambia,88.0
Zimbabwe,98.0
