Country or Area,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-19 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-24 yr Poorest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-24 yr Richest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-19 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-24 yr Poorest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-24 yr Richest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Rural Female 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Urban Female 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Ratio_Female 15-24 yr Ratio of richest to poorest,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Ratio_Female 15-24 yr Ratio of urban to rural,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Ratio_Male 15-24 yr Ratio of richest to poorest
Albania,36.0,36.0,20.0,60.0,21.0,22.0,10.0,38.0,26.0,51.0,3.0,2.0,3.8
Algeria,12.0,13.0,5.0,20.0,,,,,10.0,16.0,3.7,1.7,
Angola,,25.0,,,,32.0,,,,,,,
Antigua and Barbuda,40.0,46.0,,,55.0,53.0,,,,,,,
Armenia,10.0,16.0,,,4.0,9.0,,,16.0,16.0,,1.0,
Azerbaijan,3.0,5.0,1.0,12.0,2.0,5.0,2.0,14.0,2.0,7.0,10.3,3.3,6.3
Bangladesh,7.0,8.0,,,,18.0,,,,,,,
Belize,39.0,40.0,28.0,55.0,,,,,29.0,49.0,2.0,1.7,
Benin,17.0,16.0,9.0,26.0,31.0,35.0,17.0,52.0,11.0,22.0,3.1,1.9,3.0
Bhutan,22.0,21.0,7.0,32.0,,,,,15.0,32.0,4.4,2.1,
Bolivia (Plurinational State of),22.0,24.0,5.0,40.0,24.0,28.0,11.0,45.0,9.0,32.0,8.4,3.5,4.3
Bosnia and Herzegovina,45.0,44.0,46.0,49.0,,,,,42.0,46.0,1.1,1.1,
Burkina Faso,29.0,31.0,8.0,37.0,31.0,36.0,,,24.0,46.0,4.4,1.9,
Burundi,43.0,45.0,,,45.0,47.0,,,43.0,59.0,,1.4,
