Country or Area,Proportion of births attended by skilled health personnel_Percent_Poorest 20%,Proportion of births attended by skilled health personnel_Percent_Richest 20%,Proportion of births attended by skilled health personnel_Percent_Rural,Proportion of births attended by skilled health personnel_Percent_Total,Proportion of births attended by skilled health personnel_Percent_Urban,Proportion of births attended by skilled health personnel_Ratio_Ratio of richest to poorest,Proportion of births attended by skilled health personnel_Ratio_Ratio of urban to rural
Afghanistan,16.0,76.0,31.0,39.0,74.0,4.9,2.4
Albania,98.0,100.0,99.0,99.0,100.0,1.0,1.0
Algeria,88.0,98.0,92.0,95.0,98.0,1.1,1.1
Angola,,,26.0,47.0,71.0,,2.8
Antigua and Barbuda,,,,100.0,,,
Argentina,,,,95.0,,,
Armenia,99.0,100.0,99.0,100.0,100.0,1.0,1.0
Azerbaijan,76.0,100.0,80.0,88.0,97.0,1.3,1.2
Bahamas,,,,99.0,,,
Bahrain,,,,97.0,,,
Bangladesh,12.0,64.0,25.0,32.0,54.0,5.5,2.1
Barbados,,,,100.0,,,
Belarus,100.0,100.0,100.0,100.0,100.0,1.0,1.0
Belize,,,93.0,94.0,99.0,,1.1
Benin,52.0,96.0,79.0,84.0,92.0,1.9,1.2
Bhutan,34.0,95.0,54.0,65.0,90.0,2.8,1.6
Bolivia (Plurinational State of),38.0,99.0,51.0,71.0,88.0,2.6,1.7
Bosnia and Herzegovina,99.0,100.0,100.0,100.0,100.0,1.0,1.0
Botswana,84.0,100.0,90.0,95.0,99.0,1.2,1.1
Brazil,,,94.0,97.0,98.0,,1.0
Brunei Darussalam,,,,100.0,,,
Bulgaria,,,,100.0,,,
Burkina Faso,46.0,92.0,61.0,66.0,93.0,2.0,1.5
Burundi,51.0,81.0,58.0,60.0,88.0,1.6,1.5
CEE/CIS,,,,97.0,,,
Cambodia,49.0,97.0,67.0,71.0,95.0,2.0,1.4
Cameroon,23.0,98.0,47.0,64.0,87.0,4.4,1.9
Canada,,,,100.0,,,
Cape Verde,,,64.0,78.0,91.0,,1.4
Central African Republic,33.0,87.0,38.0,54.0,83.0,2.6,2.2
Chad,8.0,61.0,12.0,23.0,60.0,7.6,5.1
Chile,,,99.0,100.0,100.0,,1.0
China,,,99.0,100.0,100.0,,1.0
Colombia,84.0,99.0,86.0,99.0,98.0,1.2,1.1
Comoros,49.0,77.0,57.0,62.0,79.0,1.6,1.4
Congo,40.0,95.0,86.0,93.0,98.0,2.4,1.1
Cook Islands,,,,100.0,,,
Costa Rica,,,99.0,99.0,100.0,,1.0
Croatia,,,,100.0,,,
Cuba,,,,100.0,,,
Czech Republic,,,,100.0,,,
Côte d'Ivoire,29.0,95.0,45.0,59.0,84.0,3.3,1.9
Democratic People's Republic of Korea,,,100.0,100.0,100.0,,1.0
Democratic Republic of the Congo,69.0,99.0,75.0,80.0,96.0,1.4,1.3
Djibouti,,,40.0,93.0,95.0,,2.3
Dominica,,,,100.0,,,
Dominican Republic,95.0,99.0,97.0,98.0,98.0,1.0,1.0
East Asia and Pacific,54.0,92.0,88.0,92.0,95.0,1.7,1.1
Eastern and Southern Africa,28.0,77.0,36.0,44.0,75.0,2.7,2.1
Ecuador,99.0,98.0,99.0,98.0,98.0,1.0,1.0
Egypt,55.0,97.0,72.0,79.0,90.0,1.8,1.2
El Salvador,91.0,98.0,94.0,96.0,97.0,1.1,1.0
Equatorial Guinea,47.0,85.0,49.0,65.0,87.0,1.8,1.8
Eritrea,7.0,81.0,10.0,28.0,65.0,12.1,6.2
Estonia,,,,100.0,,,
Ethiopia,2.0,46.0,4.0,10.0,51.0,26.8,12.7
Fiji,,,,100.0,,,
Gabon,,,67.0,86.0,92.0,,1.4
Gambia,34.0,58.0,41.0,57.0,77.0,1.7,1.9
Georgia,95.0,99.0,98.0,100.0,99.0,1.0,1.0
Ghana,39.0,98.0,54.0,68.0,88.0,2.5,1.6
Grenada,,,,99.0,,,
Guatemala,20.0,95.0,37.0,52.0,77.0,4.7,2.1
Guinea,26.0,57.0,31.0,46.0,84.0,2.2,2.7
Guinea-Bissau,19.0,79.0,27.0,44.0,69.0,4.0,2.6
Guyana,81.0,96.0,90.0,92.0,98.0,1.2,1.1
Haiti,6.0,68.0,15.0,26.0,47.0,10.5,3.0
Honduras,33.0,99.0,50.0,67.0,90.0,2.9,1.8
Hungary,,,,100.0,,,
India,24.0,85.0,43.0,52.0,76.0,3.6,1.7
Indonesia,65.0,86.0,76.0,79.0,84.0,1.3,1.1
Iran (Islamic Republic of),,,,97.0,,,
Iraq,,,71.0,80.0,86.0,,1.2
Ireland,,,,100.0,,,
Jamaica,97.0,98.0,98.0,98.0,99.0,1.0,1.0
Jordan,98.0,100.0,99.0,99.0,99.0,1.0,1.0
Kazakhstan,100.0,100.0,100.0,100.0,100.0,1.0,1.0
Kenya,20.0,81.0,37.0,44.0,75.0,4.0,2.0
Kiribati,76.0,93.0,77.0,80.0,84.0,1.2,1.1
Kuwait,,,,100.0,,,
Kyrgyzstan,93.0,100.0,96.0,99.0,100.0,1.1,1.0
Lao People's Democratic Republic,3.0,81.0,11.0,20.0,68.0,27.1,6.2
Latin America and Caribbean,,,,90.0,,,
Latvia,,,,100.0,,,
Least Developed Countries/Territories,30.0,78.0,40.0,48.0,76.0,2.6,1.9
Lebanon,,,,98.0,,,
Lesotho,35.0,90.0,54.0,62.0,88.0,2.6,1.6
Liberia,26.0,81.0,32.0,46.0,79.0,3.2,2.4
Libya,,,,100.0,,,
Lithuania,,,,100.0,,,
Luxembourg,,,,100.0,,,
Madagascar,22.0,90.0,39.0,44.0,82.0,4.1,2.1
Malawi,63.0,89.0,69.0,71.0,84.0,1.4,1.2
Malaysia,,,,99.0,,,
Maldives,89.0,99.0,93.0,95.0,99.0,1.1,1.1
Mali,35.0,86.0,38.0,49.0,80.0,2.5,2.1
Marshall Islands,68.0,99.0,68.0,99.0,97.0,1.5,1.4
Mauritania,21.0,95.0,39.0,61.0,90.0,4.6,2.3
Mauritius,,,,98.0,,,
Mexico,,,87.0,95.0,98.0,,1.1
Micronesia (Federated States of),,,,100.0,,,
Middle East and North Africa,,,57.0,73.0,84.0,,1.5
Mongolia,98.0,99.0,98.0,99.0,99.0,1.0,1.0
Montenegro,98.0,100.0,98.0,100.0,100.0,1.0,1.0
Morocco,30.0,95.0,55.0,74.0,92.0,3.2,1.7
Mozambique,37.0,89.0,46.0,55.0,78.0,2.4,1.7
Myanmar,51.0,96.0,63.0,71.0,90.0,1.9,1.4
Namibia,60.0,98.0,73.0,81.0,94.0,1.6,1.3
Nauru,97.0,98.0,,97.0,,1.0,
Nepal,11.0,82.0,32.0,36.0,73.0,7.6,2.3
Nicaragua,42.0,99.0,56.0,74.0,92.0,2.4,1.7
Niger,5.0,59.0,8.0,18.0,71.0,11.8,8.5
Nigeria,8.0,86.0,28.0,39.0,65.0,10.3,2.4
Niue,,,,100.0,,,
Oman,,,,99.0,,,
Pakistan,16.0,77.0,33.0,43.0,66.0,4.8,2.0
Palau,,,,100.0,,,
Panama,,,84.0,89.0,99.0,,1.2
Papua New Guinea,,,47.0,53.0,88.0,,1.9
Paraguay,,,,82.0,,,
Peru,56.0,100.0,64.0,85.0,96.0,1.8,1.5
Philippines,26.0,94.0,48.0,62.0,78.0,3.7,1.6
Poland,,,,100.0,,,
Portugal,,,,100.0,,,
Qatar,,,,100.0,,,
Republic of Moldova,99.0,100.0,99.0,100.0,100.0,1.0,1.0
Romania,,,98.0,99.0,100.0,,1.0
Russian Federation,,,,100.0,,,
Rwanda,61.0,86.0,67.0,69.0,82.0,1.4,1.2
Saint Kitts and Nevis,,,,100.0,,,
Saint Lucia,,,,100.0,,,
Saint Vincent and the Grenadines,,,,99.0,,,
Samoa,66.0,95.0,78.0,81.0,94.0,1.4,1.2
Sao Tome and Principe,74.0,93.0,75.0,82.0,89.0,1.3,1.2
Saudi Arabia,,,,97.0,,,
Senegal,30.0,96.0,49.0,65.0,91.0,3.2,1.8
Serbia,99.0,100.0,100.0,100.0,100.0,1.0,1.0
Sierra Leone,44.0,85.0,59.0,63.0,72.0,1.9,1.2
Slovakia,,,,100.0,,,
Slovenia,,,,100.0,,,
Solomon Islands,74.0,95.0,84.0,86.0,95.0,1.3,1.1
Somalia,11.0,77.0,15.0,33.0,65.0,7.2,4.5
South Africa,,,85.0,91.0,94.0,,1.1
South Asia,22.0,82.0,40.0,49.0,73.0,3.7,1.8
South Sudan,8.0,41.0,15.0,19.0,31.0,5.1,2.0
Sri Lanka,97.0,99.0,99.0,99.0,99.0,1.0,1.0
State of Palestine,98.0,100.0,98.0,99.0,99.0,1.0,1.0
Sub-Saharan Africa,27.0,82.0,40.0,49.0,76.0,3.0,1.9
Sudan,6.0,59.0,16.0,23.0,41.0,10.5,2.5
Suriname,81.0,96.0,82.0,90.0,95.0,1.2,1.2
Swaziland,65.0,94.0,80.0,82.0,89.0,1.4,1.1
Syrian Arab Republic,78.0,99.0,93.0,96.0,99.0,1.3,1.1
Tajikistan,90.0,90.0,86.0,88.0,95.0,1.0,1.1
Thailand,93.0,100.0,100.0,100.0,100.0,1.1,1.0
The former Yugoslav Republic of Macedonia,98.0,98.0,98.0,98.0,98.0,1.0,1.0
Timor-Leste,10.0,69.0,20.0,29.0,59.0,6.9,2.9
Togo,28.0,94.0,43.0,59.0,91.0,3.4,2.1
Tonga,,,,98.0,,,
Trinidad and Tobago,98.0,100.0,,98.0,,1.0,
Tunisia,,,89.0,95.0,98.0,,1.1
Turkey,73.0,100.0,80.0,91.0,96.0,1.4,1.2
Turkmenistan,99.0,100.0,99.0,100.0,100.0,1.0,1.0
Tuvalu,99.0,98.0,,98.0,,1.0,
Uganda,43.0,88.0,52.0,57.0,89.0,2.0,1.7
Ukraine,97.0,99.0,98.0,99.0,99.0,1.0,1.0
United Arab Emirates,,,,100.0,,,
United Republic of Tanzania,31.0,90.0,40.0,49.0,83.0,2.9,2.0
Uruguay,,,,100.0,,,
Uzbekistan,100.0,100.0,100.0,100.0,100.0,1.0,1.0
Vanuatu,55.0,90.0,72.0,74.0,87.0,1.6,1.2
Venezuela (Bolivarian Republic of),95.0,92.0,,95.0,,1.0,
