Country or Area,Proportion of infants with low birth weight
Albania,7.0
Algeria,6.0
Angola,12.0
Antigua and Barbuda,5.0
Argentina,7.0
Armenia,7.0
Australia,7.0
Austria,7.0
Azerbaijan,10.0
Bahamas,11.0
Bangladesh,22.0
Barbados,12.0
Belarus,4.0
Belize,14.0
Benin,15.0
Bhutan,10.0
Bolivia (Plurinational State of),6.0
Bosnia and Herzegovina,5.0
Botswana,13.0
Brazil,8.0
Bulgaria,9.0
Burkina Faso,16.0
Burundi,11.0
Cambodia,11.0
Cameroon,11.0
Canada,6.0
Cape Verde,6.0
CEE/CIS,7.0
Central African Republic,14.0
Chad,20.0
Chile,6.0
China,3.0
Colombia,6.0
Comoros,25.0
Congo,13.0
Cook Islands,3.0
Costa Rica,7.0
Côte d'Ivoire,17.0
Croatia,5.0
Cuba,5.0
Czech Republic,7.0
Democratic People's Republic of Korea,6.0
Democratic Republic of the Congo,10.0
Denmark,5.0
Djibouti,10.0
Dominica,10.0
Dominican Republic,11.0
East Asia and Pacific,6.0
Ecuador,8.0
Egypt,13.0
El Salvador,9.0
Equatorial Guinea,13.0
Eritrea,14.0
Estonia,4.0
Ethiopia,20.0
Fiji,10.0
Finland,4.0
Gabon,14.0
Gambia,10.0
Georgia,5.0
Ghana,13.0
Grenada,9.0
Guatemala,11.0
Guinea,12.0
Guinea-Bissau,11.0
Guyana,14.0
Haiti,25.0
Honduras,10.0
Hungary,9.0
Iceland,4.0
India,28.0
Indonesia,9.0
Iran (Islamic Republic of),7.0
Iraq,15.0
Israel,8.0
Jamaica,12.0
Japan,8.0
Jordan,13.0
Kazakhstan,6.0
Kenya,8.0
Kyrgyzstan,5.0
Lao People's Democratic Republic,11.0
Latin America and Caribbean,8.0
Latvia,5.0
Lebanon,12.0
Lesotho,11.0
Liberia,14.0
Lithuania,4.0
Luxembourg,8.0
Madagascar,16.0
Malawi,13.0
Malaysia,11.0
Maldives,22.0
Mali,19.0
Malta,6.0
Marshall Islands,18.0
Mauritania,34.0
Mauritius,14.0
Mexico,7.0
Micronesia (Federated States of),18.0
Mongolia,5.0
Montenegro,4.0
Morocco,15.0
Mozambique,16.0
Myanmar,9.0
Namibia,16.0
Nauru,27.0
Nepal,18.0
New Zealand,6.0
Nicaragua,9.0
Niger,27.0
Nigeria,12.0
Niue,0.0
Norway,5.0
Oman,12.0
Pakistan,32.0
Panama,10.0
Papua New Guinea,11.0
Paraguay,6.0
Peru,8.0
Philippines,21.0
Poland,6.0
Portugal,8.0
Republic of Korea,4.0
Republic of Moldova,6.0
Romania,8.0
Russian Federation,6.0
Rwanda,7.0
Saint Kitts and Nevis,8.0
Saint Lucia,11.0
Saint Vincent and the Grenadines,8.0
Samoa,10.0
Sao Tome and Principe,8.0
Senegal,19.0
Serbia,5.0
Sierra Leone,11.0
Singapore,8.0
Slovakia,7.0
Solomon Islands,13.0
South Asia,28.0
Sri Lanka,17.0
State of Palestine,7.0
Sub-Saharan Africa,12.0
Suriname,11.0
Swaziland,9.0
Syrian Arab Republic,10.0
Tajikistan,10.0
Thailand,7.0
The former Yugoslav Republic of Macedonia,6.0
Timor-Leste,12.0
Togo,11.0
Tonga,3.0
Trinidad and Tobago,19.0
Tunisia,5.0
Turkey,11.0
Turkmenistan,4.0
Tuvalu,6.0
Uganda,14.0
Ukraine,4.0
United Kingdom,8.0
United Republic of Tanzania,8.0
United States,8.0
Uruguay,9.0
Uzbekistan,5.0
Vanuatu,10.0
Venezuela (Bolivarian Republic of),8.0
Viet Nam,5.0
Western and Central Africa,12.0
World,15.0
Zambia,11.0
Zimbabwe,11.0
