Country or Area,Proportion of new borns protected against tetanus
Afghanistan,60.0
Albania,87.0
Algeria,90.0
Angola,70.0
Bahamas,92.0
Bahrain,94.0
Bangladesh,94.0
Belize,88.0
Benin,92.0
Bhutan,89.0
Bolivia (Plurinational State of),74.0
Botswana,92.0
Brazil,92.0
Brunei Darussalam,95.0
Burkina Faso,88.0
Burundi,80.0
Cambodia,91.0
Cameroon,75.0
Cape Verde,92.0
Central African Republic,80.0
Chad,60.0
Colombia,79.0
Comoros,85.0
Congo,83.0
Côte d'Ivoire,82.0
Democratic People's Republic of Korea,93.0
Democratic Republic of the Congo,70.0
Djibouti,79.0
Dominican Republic,90.0
East Asia and Pacific,85.0
Eastern and Southern Africa,81.0
Ecuador,85.0
Egypt,86.0
El Salvador,88.0
Equatorial Guinea,75.0
Eritrea,93.0
Ethiopia,88.0
Fiji,94.0
Gabon,75.0
Gambia,91.0
Ghana,88.0
Guatemala,85.0
Guinea,80.0
Guinea-Bissau,80.0
Guyana,90.0
Haiti,70.0
Honduras,94.0
India,87.0
Indonesia,85.0
Iran (Islamic Republic of),95.0
Iraq,85.0
Jamaica,80.0
Jordan,90.0
Kenya,73.0
Kuwait,95.0
Lao People's Democratic Republic,80.0
Latin America and Caribbean,85.0
Least Developed Countries/Territories,81.0
Lesotho,83.0
Liberia,91.0
Madagascar,78.0
Malawi,87.0
Malaysia,90.0
Maldives,95.0
Mali,89.0
Mauritania,80.0
Mauritius,95.0
Mexico,88.0
Middle East and North Africa,85.0
Morocco,89.0
Mozambique,83.0
Myanmar,93.0
Namibia,83.0
Nepal,82.0
Nicaragua,81.0
Niger,84.0
Nigeria,60.0
Oman,91.0
Pakistan,75.0
Papua New Guinea,61.0
Paraguay,85.0
Peru,85.0
Philippines,76.0
Rwanda,85.0
Senegal,88.0
Sierra Leone,85.0
Solomon Islands,85.0
Somalia,64.0
South Africa,77.0
South Asia,85.0
South Sudan,44.0
Sri Lanka,95.0
Sub-Saharan Africa,76.0
Sudan,74.0
Suriname,93.0
Swaziland,86.0
Syrian Arab Republic,94.0
Thailand,91.0
Timor-Leste,81.0
Togo,81.0
Tunisia,96.0
Turkey,90.0
Uganda,85.0
United Republic of Tanzania,88.0
Vanuatu,75.0
Venezuela (Bolivarian Republic of),50.0
Viet Nam,87.0
Western and Central Africa,72.0
World,82.0
Yemen,66.0
Zambia,81.0
Zimbabwe,66.0
