Country or Area,Proportion of population in malaria risk areas using effective malaria treatment measures
Angola,28.0
Azerbaijan,1.0
Benin,38.0
Burkina Faso,35.0
Burundi,17.0
Cameroon,21.0
Central African Republic,32.0
Chad,36.0
Comoros,63.0
Congo,25.0
Côte d'Ivoire,18.0
Democratic Republic of the Congo,39.0
Djibouti,1.0
Eastern and Southern Africa,31.0
Equatorial Guinea,49.0
Eritrea,13.0
Ethiopia,10.0
Gambia,30.0
Ghana,53.0
Guinea,74.0
Guinea-Bissau,51.0
Guyana,6.0
Haiti,5.0
Honduras,1.0
India,8.0
Indonesia,1.0
Iraq,1.0
Kenya,23.0
Lao People's Democratic Republic,8.0
Least Developed Countries/Territories,36.0
Liberia,57.0
Madagascar,20.0
Malawi,43.0
Mali,35.0
Mauritania,21.0
Mozambique,30.0
Namibia,20.0
Nepal,1.0
Nicaragua,2.0
Nigeria,49.0
Pakistan,3.0
Philippines,0.0
Rwanda,11.0
Sao Tome and Principe,8.0
Senegal,8.0
Sierra Leone,62.0
Solomon Islands,19.0
Somalia,8.0
South Asia,7.0
South Sudan,36.0
Sri Lanka,0.0
Sub-Saharan Africa,38.0
Sudan,65.0
Swaziland,2.0
Tajikistan,2.0
Timor-Leste,6.0
Togo,34.0
Uganda,65.0
United Republic of Tanzania,59.0
Vanuatu,53.0
Viet Nam,1.0
Western and Central Africa,42.0
World,19.0
Zambia,34.0
Zimbabwe,2.0
