Country or Area,Proportion of population with access to improved sanitation_Percent_Rural,Proportion of population with access to improved sanitation_Percent_Total,Proportion of population with access to improved sanitation_Percent_Urban,Proportion of population with access to improved sanitation_Ratio_Ratio of urban to rural
Afghanistan,30.0,37.0,60.0,2.0
Albania,93.0,94.0,95.0,1.0
Algeria,88.0,95.0,98.0,1.1
Andorra,100.0,100.0,100.0,1.0
Angola,19.0,58.0,85.0,4.5
Antigua and Barbuda,,,98.0,
Armenia,80.0,90.0,95.0,1.2
Australia,100.0,100.0,100.0,1.0
Austria,100.0,100.0,100.0,1.0
Azerbaijan,78.0,82.0,86.0,1.1
Bahamas,100.0,100.0,100.0,1.0
Bahrain,,,100.0,
Bangladesh,55.0,56.0,57.0,1.0
Barbados,100.0,100.0,100.0,1.0
Belarus,97.0,93.0,91.0,0.9
Belgium,100.0,100.0,100.0,1.0
Belize,87.0,90.0,93.0,1.1
Benin,5.0,13.0,25.0,5.0
Bhutan,29.0,44.0,73.0,2.5
Bolivia (Plurinational State of),10.0,27.0,35.0,3.5
Bosnia and Herzegovina,92.0,95.0,99.0,1.1
Botswana,41.0,62.0,75.0,1.8
Brazil,44.0,79.0,85.0,1.9
Bulgaria,100.0,100.0,100.0,1.0
Burkina Faso,6.0,17.0,50.0,8.3
Burundi,46.0,46.0,49.0,1.1
CEE/CIS,80.0,85.0,87.0,1.1
Cambodia,20.0,31.0,73.0,3.7
Cameroon,36.0,49.0,58.0,1.6
Canada,99.0,100.0,100.0,1.0
Cape Verde,43.0,61.0,73.0,1.7
Central African Republic,28.0,34.0,43.0,1.5
Chad,6.0,13.0,30.0,5.0
Chile,83.0,96.0,98.0,1.2
China,56.0,64.0,74.0,1.3
Colombia,63.0,77.0,82.0,1.3
Comoros,30.0,36.0,50.0,1.7
Congo,15.0,18.0,20.0,1.3
Cook Islands,100.0,100.0,100.0,1.0
Costa Rica,96.0,95.0,95.0,1.0
Croatia,98.0,99.0,99.0,1.0
Cuba,81.0,91.0,94.0,1.2
Cyprus,100.0,100.0,100.0,1.0
Czech Republic,97.0,98.0,99.0,1.0
Côte d'Ivoire,11.0,24.0,36.0,3.3
Democratic People's Republic of Korea,71.0,80.0,86.0,1.2
Democratic Republic of the Congo,24.0,24.0,24.0,1.0
Denmark,100.0,100.0,100.0,1.0
Djibouti,10.0,50.0,63.0,6.3
Dominican Republic,75.0,83.0,87.0,1.2
East Asia and Pacific,58.0,67.0,77.0,1.3
Eastern and Southern Africa,27.0,35.0,54.0,2.0
Ecuador,84.0,92.0,96.0,1.1
Egypt,93.0,95.0,97.0,1.0
El Salvador,83.0,87.0,89.0,1.1
Eritrea,4.0,,,
Estonia,94.0,95.0,96.0,1.0
Ethiopia,19.0,21.0,29.0,1.5
Fiji,71.0,83.0,94.0,1.3
Finland,100.0,100.0,100.0,1.0
France,100.0,100.0,100.0,1.0
Gabon,30.0,33.0,33.0,1.1
Gambia,65.0,68.0,70.0,1.1
Georgia,93.0,95.0,96.0,1.0
Germany,100.0,100.0,100.0,1.0
Ghana,8.0,14.0,19.0,2.4
Greece,97.0,98.0,99.0,1.0
Grenada,97.0,97.0,96.0,1.0
Guatemala,70.0,78.0,87.0,1.2
Guinea,11.0,18.0,32.0,2.9
Guinea-Bissau,9.0,20.0,44.0,4.9
Guyana,82.0,84.0,88.0,1.1
Haiti,10.0,17.0,24.0,2.4
Honduras,69.0,77.0,85.0,1.2
Hungary,100.0,100.0,100.0,1.0
Iceland,100.0,100.0,100.0,1.0
India,23.0,34.0,58.0,2.5
Indonesia,39.0,54.0,73.0,1.9
Iran (Islamic Republic of),100.0,100.0,100.0,1.0
Iraq,67.0,73.0,76.0,1.1
Ireland,98.0,99.0,100.0,1.0
Israel,100.0,100.0,100.0,1.0
Jamaica,82.0,80.0,78.0,1.0
Japan,100.0,100.0,100.0,1.0
Jordan,98.0,98.0,98.0,1.0
Kazakhstan,98.0,97.0,97.0,1.0
Kenya,32.0,32.0,32.0,1.0
Kuwait,100.0,100.0,100.0,1.0
Kyrgyzstan,93.0,93.0,94.0,1.0
Lao People's Democratic Republic,50.0,63.0,89.0,1.8
Latin America and Caribbean,60.0,79.0,84.0,1.4
Least Developed Countries/Territories,30.0,35.0,48.0,1.6
Lebanon,,,100.0,
Lesotho,24.0,26.0,32.0,1.3
Liberia,7.0,18.0,29.0,4.1
Libya,96.0,97.0,97.0,1.0
Lithuania,,,95.0,
Luxembourg,100.0,100.0,100.0,1.0
Madagascar,12.0,15.0,21.0,1.8
Malawi,51.0,51.0,49.0,1.0
Malaysia,95.0,96.0,96.0,1.0
Maldives,97.0,97.0,98.0,1.0
Mali,14.0,22.0,35.0,2.5
Malta,100.0,100.0,100.0,1.0
Marshall Islands,53.0,75.0,83.0,1.6
Mauritania,9.0,26.0,51.0,5.7
Mauritius,88.0,89.0,91.0,1.0
Mexico,79.0,85.0,87.0,1.1
Middle East and North Africa,70.0,82.0,91.0,1.3
Monaco,,100.0,100.0,
Mongolia,29.0,51.0,64.0,2.2
Montenegro,87.0,90.0,92.0,1.1
Morocco,52.0,70.0,83.0,1.6
Mozambique,5.0,18.0,38.0,7.6
Myanmar,73.0,76.0,83.0,1.1
Namibia,17.0,32.0,57.0,3.4
Nauru,,65.0,65.0,
Nepal,27.0,31.0,48.0,1.8
Netherlands,100.0,100.0,100.0,1.0
Nicaragua,37.0,52.0,63.0,1.7
Niger,4.0,9.0,34.0,8.5
Nigeria,27.0,31.0,35.0,1.3
Niue,100.0,100.0,100.0,1.0
Norway,100.0,100.0,100.0,1.0
Oman,95.0,99.0,100.0,1.1
Pakistan,34.0,48.0,72.0,2.1
Palau,100.0,100.0,100.0,1.0
Papua New Guinea,41.0,45.0,71.0,1.7
Paraguay,40.0,71.0,90.0,2.3
Peru,37.0,71.0,81.0,2.2
Philippines,69.0,74.0,79.0,1.1
Poland,,,96.0,
Portugal,100.0,100.0,100.0,1.0
Qatar,100.0,100.0,100.0,1.0
Republic of Korea,100.0,100.0,100.0,1.0
Republic of Moldova,82.0,85.0,89.0,1.1
Russian Federation,59.0,70.0,74.0,1.3
Rwanda,56.0,55.0,52.0,0.9
Saint Kitts and Nevis,96.0,96.0,96.0,1.0
Saint Lucia,63.0,65.0,71.0,1.1
Saint Vincent and the Grenadines,96.0,,,
Samoa,98.0,98.0,98.0,1.0
Sao Tome and Principe,19.0,26.0,30.0,1.6
Saudi Arabia,,,100.0,
Senegal,39.0,52.0,70.0,1.8
Serbia,88.0,92.0,96.0,1.1
Seychelles,,,98.0,
Sierra Leone,6.0,13.0,23.0,3.8
Singapore,,100.0,100.0,
Slovakia,99.0,100.0,100.0,1.0
Slovenia,100.0,100.0,100.0,1.0
