Country or Area,Proportion of population with sustainable access to an improved water source_Rural,Proportion of population with sustainable access to an improved water source_Total,Proportion of population with sustainable access to an improved water source_Urban
Afghanistan,42.0,50.0,78.0
Albania,94.0,95.0,96.0
Algeria,79.0,83.0,85.0
Andorra,100.0,100.0,100.0
Angola,38.0,51.0,60.0
Antigua and Barbuda,,,95.0
Argentina,,,98.0
Armenia,97.0,98.0,99.0
Australia,100.0,100.0,100.0
Austria,100.0,100.0,100.0
Azerbaijan,71.0,80.0,88.0
Bahamas,,,98.0
Bahrain,,,100.0
Bangladesh,80.0,81.0,85.0
Barbados,100.0,100.0,100.0
Belarus,99.0,100.0,100.0
Belgium,100.0,100.0,100.0
Belize,99.0,98.0,98.0
Benin,68.0,75.0,84.0
Bhutan,94.0,96.0,100.0
Bolivia (Plurinational State of),71.0,88.0,96.0
Bosnia and Herzegovina,98.0,99.0,100.0
Botswana,92.0,96.0,99.0
Brazil,85.0,98.0,100.0
Bulgaria,100.0,100.0,100.0
Burkina Faso,73.0,79.0,95.0
Burundi,71.0,72.0,83.0
CEE/CIS,91.0,96.0,99.0
Cambodia,58.0,64.0,87.0
Cameroon,52.0,77.0,95.0
Canada,99.0,100.0,100.0
Cape Verde,85.0,88.0,90.0
Central African Republic,51.0,67.0,92.0
Chad,44.0,51.0,70.0
Chile,75.0,96.0,99.0
China,85.0,91.0,98.0
Colombia,72.0,92.0,99.0
Comoros,97.0,95.0,91.0
Congo,32.0,71.0,95.0
Cook Islands,,,98.0
Costa Rica,91.0,97.0,100.0
Croatia,97.0,99.0,100.0
Cuba,89.0,94.0,96.0
Cyprus,100.0,100.0,100.0
Czech Republic,100.0,100.0,100.0
Côte d'Ivoire,68.0,80.0,91.0
Democratic People's Republic of Korea,97.0,98.0,99.0
Democratic Republic of the Congo,27.0,45.0,79.0
Denmark,100.0,100.0,100.0
Djibouti,54.0,88.0,99.0
Dominica,,,96.0
Dominican Republic,84.0,86.0,87.0
East Asia and Pacific,84.0,90.0,97.0
Eastern and Southern Africa,50.0,61.0,87.0
Ecuador,89.0,94.0,96.0
Egypt,99.0,99.0,100.0
El Salvador,76.0,88.0,94.0
Estonia,97.0,98.0,99.0
Ethiopia,34.0,44.0,97.0
Fiji,95.0,98.0,100.0
Finland,100.0,100.0,100.0
France,100.0,100.0,100.0
Gabon,41.0,87.0,95.0
Gambia,85.0,89.0,92.0
Georgia,96.0,98.0,100.0
Germany,100.0,100.0,100.0
Ghana,80.0,86.0,91.0
Greece,99.0,100.0,100.0
Grenada,,,97.0
Guatemala,87.0,92.0,98.0
Guinea,65.0,74.0,90.0
Guinea-Bissau,53.0,64.0,91.0
Guyana,93.0,94.0,98.0
Haiti,51.0,69.0,85.0
Honduras,79.0,87.0,95.0
Hungary,100.0,100.0,100.0
Iceland,100.0,100.0,100.0
India,90.0,92.0,97.0
Indonesia,74.0,82.0,92.0
Iran (Islamic Republic of),92.0,96.0,97.0
Iraq,56.0,79.0,91.0
Ireland,100.0,100.0,100.0
Israel,100.0,100.0,100.0
Italy,100.0,100.0,100.0
Jamaica,88.0,93.0,98.0
Japan,100.0,100.0,100.0
Jordan,92.0,97.0,98.0
Kazakhstan,90.0,95.0,99.0
Kenya,52.0,59.0,82.0
Kuwait,99.0,99.0,99.0
Kyrgyzstan,85.0,90.0,99.0
Lao People's Democratic Republic,62.0,67.0,77.0
Latin America and Caribbean,81.0,94.0,98.0
Latvia,96.0,99.0,100.0
Least Developed Countries/Territories,56.0,63.0,82.0
Lebanon,100.0,100.0,100.0
Lesotho,73.0,78.0,91.0
Liberia,60.0,73.0,88.0
Lithuania,,,98.0
Luxembourg,100.0,100.0,100.0
Madagascar,34.0,46.0,74.0
Malawi,80.0,83.0,95.0
Malaysia,99.0,100.0,100.0
Maldives,97.0,98.0,100.0
Mali,51.0,64.0,87.0
Malta,100.0,100.0,100.0
Marshall Islands,99.0,94.0,92.0
