Country or Area,Proportion of pupils starting grade 1 who reach grade 5 (survey data)
Afghanistan,90.0
Albania,100.0
Algeria,93.0
Angola,83.0
Armenia,100.0
Azerbaijan,100.0
Bahrain,99.0
Bangladesh,94.0
Belarus,100.0
Belize,98.0
Benin,89.0
Bhutan,94.0
Bolivia (Plurinational State of),96.0
Bosnia and Herzegovina,100.0
Brazil,88.0
Burkina Faso,89.0
Burundi,82.0
Cambodia,92.0
Cameroon,87.0
Central African Republic,62.0
Chad,94.0
Colombia,95.0
Comoros,19.0
Congo,93.0
Côte d'Ivoire,90.0
Democratic Republic of the Congo,75.0
Djibouti,92.0
Dominican Republic,78.0
Egypt,99.0
Ethiopia,84.0
Gambia,93.0
Georgia,98.0
Ghana,81.0
Guinea,96.0
Guinea-Bissau,79.0
Guyana,100.0
Haiti,85.0
India,95.0
Iraq,93.0
Jamaica,99.0
Kazakhstan,100.0
Kenya,96.0
Kyrgyzstan,99.0
Lao People's Democratic Republic,65.0
Lebanon,93.0
Lesotho,84.0
Madagascar,89.0
Malawi,81.0
Maldives,99.0
Mali,96.0
Mauritania,77.0
Mongolia,99.0
Montenegro,97.0
Mozambique,60.0
Myanmar,93.0
Namibia,89.0
Nepal,95.0
Nicaragua,56.0
Niger,88.0
Nigeria,98.0
Peru,95.0
Philippines,90.0
Republic of Moldova,100.0
Rwanda,76.0
Sao Tome and Principe,84.0
Senegal,93.0
Serbia,99.0
Sierra Leone,93.0
Somalia,85.0
South Asia,95.0
South Sudan,65.0
Sudan,82.0
Suriname,92.0
Swaziland,93.0
Syrian Arab Republic,100.0
Tajikistan,100.0
Thailand,99.0
The former Yugoslav Republic of Macedonia,99.0
Timor-Leste,91.0
Togo,90.0
Trinidad and Tobago,98.0
Turkey,95.0
Turkmenistan,100.0
Uganda,72.0
Ukraine,100.0
United Republic of Tanzania,91.0
Uzbekistan,100.0
Vanuatu,88.0
Venezuela (Bolivarian Republic of),82.0
Viet Nam,99.0
Western and Central Africa,90.0
Yemen,73.0
Zambia,87.0
Zimbabwe,79.0
