Country or Area,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Poorest 20%,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Richest 20%,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Rural,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Total <5 yr,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Percent_Urban,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Ratio_Ratio of richest to poorest,Proportion of under-five children with diarrhoea receiving oral rehydration and continued feeding_Ratio_Ratio of urban to rural
Afghanistan,56.0,52.0,54.0,53.0,48.0,0.9,0.9
Albania,,,36.0,54.0,33.0,,0.9
Algeria,15.0,19.0,19.0,19.0,18.0,1.2,1.0
Armenia,,,28.0,33.0,22.0,,0.8
Azerbaijan,3.0,36.0,5.0,21.0,19.0,13.3,3.6
Bangladesh,81.0,82.0,76.0,78.0,84.0,1.0,1.1
Belarus,,,33.0,36.0,38.0,,1.1
Belize,,,,27.0,,,
Benin,15.0,32.0,47.0,50.0,58.0,2.1,1.2
Bhutan,60.0,56.0,60.0,61.0,64.0,0.9,1.1
Bolivia (Plurinational State of),31.0,35.0,32.0,35.0,38.0,1.1,1.2
Bosnia and Herzegovina,,,35.0,35.0,34.0,,1.0
Botswana,,,51.0,49.0,47.0,,0.9
Burkina Faso,13.0,31.0,19.0,21.0,31.0,2.5,1.6
Burundi,35.0,42.0,38.0,38.0,33.0,1.2,0.9
Cambodia,32.0,34.0,34.0,34.0,33.0,1.1,1.0
Cameroon,5.0,34.0,12.0,17.0,27.0,6.8,2.2
Central African Republic,11.0,28.0,12.0,16.0,23.0,2.5,2.0
Chad,5.0,29.0,10.0,13.0,27.0,5.3,2.8
Colombia,47.0,61.0,49.0,54.0,57.0,1.3,1.2
Comoros,16.0,24.0,17.0,19.0,25.0,1.5,1.5
Congo,13.0,18.0,27.0,35.0,38.0,1.4,1.4
Cuba,,,37.0,51.0,54.0,,1.4
Côte d'Ivoire,6.0,12.0,14.0,17.0,22.0,2.0,1.5
Democratic People's Republic of Korea,,,73.0,74.0,75.0,,1.0
Democratic Republic of the Congo,28.0,26.0,27.0,27.0,26.0,0.9,1.0
Djibouti,,,,62.0,,,
Dominican Republic,41.0,38.0,39.0,41.0,42.0,0.9,1.1
East Asia and Pacific,36.0,41.0,41.0,43.0,46.0,1.1,1.1
Eastern and Southern Africa,34.0,44.0,38.0,39.0,46.0,1.3,1.2
Egypt,34.0,23.0,29.0,28.0,28.0,0.7,1.0
El Salvador,,,56.0,58.0,60.0,,1.1
Equatorial Guinea,24.0,37.0,19.0,29.0,43.0,1.5,2.2
Eritrea,,,39.0,45.0,59.0,,1.5
Ethiopia,18.0,45.0,24.0,26.0,45.0,2.5,1.9
Gabon,,,29.0,25.0,23.0,,0.8
Gambia,43.0,32.0,39.0,39.0,39.0,0.7,1.0
Georgia,,,36.0,40.0,44.0,,1.2
Ghana,45.0,34.0,34.0,35.0,37.0,0.7,1.1
Guatemala,39.0,51.0,37.0,37.0,38.0,1.3,1.0
Guinea,18.0,59.0,28.0,33.0,52.0,3.3,1.9
Guinea-Bissau,16.0,37.0,13.0,19.0,28.0,2.3,2.1
Guyana,,,38.0,50.0,42.0,,1.1
Haiti,29.0,50.0,35.0,40.0,51.0,1.7,1.4
Honduras,56.0,47.0,56.0,56.0,55.0,0.8,1.0
India,19.0,43.0,24.0,26.0,33.0,2.3,1.4
Indonesia,32.0,27.0,35.0,35.0,33.0,0.9,0.9
Iraq,,,32.0,31.0,30.0,,0.9
Jamaica,,,,40.0,,,
Jordan,18.0,30.0,20.0,20.0,20.0,1.6,1.0
Kazakhstan,,,,74.0,,,
Kenya,40.0,37.0,39.0,39.0,40.0,0.9,1.0
Kiribati,,,,62.0,,,
Kyrgyzstan,,,,20.0,,,
Lao People's Democratic Republic,42.0,80.0,43.0,46.0,79.0,1.9,1.9
Least Developed Countries/Territories,40.0,47.0,41.0,42.0,47.0,1.2,1.1
Lebanon,,,,44.0,,,
Lesotho,,,50.0,51.0,57.0,,1.1
Liberia,41.0,64.0,52.0,53.0,57.0,1.6,1.1
Madagascar,12.0,29.0,14.0,17.0,32.0,2.4,2.2
Malawi,67.0,73.0,69.0,69.0,72.0,1.1,1.0
Maldives,,,,57.0,,,
Mali,8.0,29.0,11.0,14.0,26.0,3.5,2.3
Mauritania,10.0,34.0,11.0,20.0,16.0,3.2,1.5
Mongolia,,,36.0,38.0,41.0,,1.1
Montenegro,,,,16.0,,,
Morocco,18.0,25.0,18.0,23.0,28.0,1.4,1.5
Mozambique,40.0,50.0,50.0,55.0,65.0,1.3,1.3
Myanmar,52.0,75.0,56.0,61.0,72.0,1.4,1.3
Namibia,50.0,59.0,60.0,63.0,67.0,1.2,1.1
Nepal,39.0,36.0,39.0,39.0,44.0,0.9,1.1
Nicaragua,53.0,64.0,55.0,59.0,64.0,1.2,1.2
Niger,14.0,32.0,16.0,34.0,31.0,2.3,2.0
Nigeria,15.0,53.0,21.0,26.0,41.0,3.5,1.9
Pakistan,41.0,44.0,40.0,41.0,44.0,1.1,1.1
Peru,27.0,42.0,24.0,32.0,37.0,1.6,1.6
Philippines,37.0,55.0,36.0,47.0,58.0,1.5,1.6
Republic of Moldova,,,6.0,33.0,9.0,,1.5
Rwanda,22.0,37.0,30.0,29.0,26.0,1.7,0.9
Samoa,,,,68.0,,,
Sao Tome and Principe,,,52.0,49.0,45.0,,0.9
Senegal,21.0,31.0,21.0,22.0,24.0,1.5,1.2
Serbia,,,22.0,36.0,50.0,,2.3
Sierra Leone,75.0,70.0,75.0,73.0,66.0,0.9,0.9
Somalia,7.0,31.0,9.0,13.0,25.0,4.8,2.9
South Africa,,,32.0,40.0,41.0,,1.3
South Asia,29.0,46.0,32.0,34.0,39.0,1.6,1.2
South Sudan,27.0,52.0,37.0,39.0,44.0,1.9,1.2
Sri Lanka,,,50.0,50.0,57.0,,1.1
Sub-Saharan Africa,27.0,42.0,31.0,32.0,38.0,1.5,1.2
