Country or Area,Proportion of women 15-49 year-olds who believe that the practice of female genital mutilationcutting should continue
Benin,1.0
Burkina Faso,9.0
Cameroon,7.0
Central African Republic,11.0
Chad,38.0
Côte d'Ivoire,20.0
Djibouti,37.0
Egypt,54.0
Eritrea,49.0
Gambia,64.0
Ghana,2.0
Guinea,69.0
Guinea-Bissau,34.0
Kenya,9.0
Mali,73.0
Mauritania,53.0
Niger,3.0
Nigeria,22.0
Senegal,17.0
Sierra Leone,72.0
Somalia,65.0
Sub-Saharan Africa,21.0
Sudan,42.0
Togo,2.0
Uganda,9.0
United Republic of Tanzania,6.0
Western and Central Africa,22.0
Yemen,41.0
