Country or Area,Proportion of women 20-24 year-olds who gave birth before age 18
Afghanistan,26.0
Albania,3.0
Armenia,2.0
Azerbaijan,4.0
Bangladesh,40.0
Belarus,3.0
Belize,19.0
Benin,23.0
Bhutan,15.0
Bolivia (Plurinational State of),20.0
Burkina Faso,28.0
Burundi,11.0
Cambodia,7.0
Cameroon,33.0
Cape Verde,22.0
Central African Republic,45.0
Chad,47.0
Colombia,20.0
Congo,29.0
Costa Rica,9.0
Côte d'Ivoire,29.0
Cuba,9.0
Democratic Republic of the Congo,25.0
Dominican Republic,25.0
East Asia and Pacific,8.0
Eastern and Southern Africa,26.0
Egypt,7.0
Eritrea,25.0
Ethiopia,22.0
Gabon,35.0
Gambia,23.0
Georgia,6.0
Ghana,16.0
Guatemala,22.0
Guinea,44.0
Guinea-Bissau,31.0
Guyana,16.0
Haiti,15.0
Honduras,26.0
India,22.0
Indonesia,10.0
Jamaica,16.0
Jordan,4.0
Kazakhstan,3.0
Kenya,26.0
Kiribati,9.0
Kyrgyzstan,2.0
Lao People's Democratic Republic,55.0
Least Developed Countries/Territories,28.0
Lesotho,13.0
Liberia,38.0
Madagascar,36.0
Malawi,35.0
Maldives,1.0
Mali,46.0
Marshall Islands,21.0
Mauritania,19.0
Mexico,39.0
Mongolia,2.0
Morocco,8.0
Mozambique,42.0
Namibia,17.0
Nauru,22.0
Nepal,19.0
Nicaragua,28.0
Niger,51.0
Nigeria,28.0
Pakistan,10.0
Papua New Guinea,14.0
Peru,13.0
Philippines,7.0
Republic of Moldova,5.0
Rwanda,5.0
Samoa,5.0
Sao Tome and Principe,25.0
Senegal,22.0
Serbia,3.0
Sierra Leone,38.0
Solomon Islands,15.0
South Africa,15.0
South Asia,22.0
South Sudan,28.0
Sri Lanka,4.0
Sub-Saharan Africa,26.0
Sudan,14.0
Swaziland,22.0
Syrian Arab Republic,9.0
Tajikistan,4.0
Thailand,8.0
The former Yugoslav Republic of Macedonia,2.0
Timor-Leste,9.0
Togo,17.0
Turkey,8.0
Turkmenistan,2.0
Tuvalu,3.0
Uganda,33.0
Ukraine,3.0
United Republic of Tanzania,28.0
Uzbekistan,2.0
Viet Nam,3.0
Western and Central Africa,27.0
World,20.0
Zambia,34.0
Zimbabwe,21.0
