Country or Area,Ratio of life expectancy at birth of females to males
Afghanistan,101.0
Albania,108.0
Algeria,104.0
Angola,106.0
Argentina,110.0
Armenia,109.0
Australia,106.0
Austria,107.0
Azerbaijan,109.0
Bahamas,109.0
Bahrain,102.0
Bangladesh,102.0
Barbados,109.0
Belarus,118.0
Belgium,107.0
Belize,104.0
Benin,107.0
Bhutan,106.0
Bolivia (Plurinational State of),107.0
Bosnia and Herzegovina,107.0
Botswana,96.0
Brazil,110.0
Brunei Darussalam,106.0
Bulgaria,110.0
Burkina Faso,104.0
Burundi,106.0
Cambodia,105.0
Cameroon,104.0
Canada,106.0
Cape Verde,111.0
CEE/CIS,113.0
Central African Republic,107.0
Chad,106.0
Chile,108.0
China,105.0
Colombia,110.0
Comoros,105.0
Congo,105.0
Costa Rica,106.0
Côte d'Ivoire,104.0
Croatia,110.0
Cuba,105.0
Cyprus,106.0
Czech Republic,108.0
Democratic People's Republic of Korea,110.0
Democratic Republic of the Congo,107.0
Denmark,106.0
Djibouti,105.0
Dominican Republic,108.0
East Asia and Pacific,105.0
Eastern and Southern Africa,104.0
Ecuador,108.0
Egypt,105.0
El Salvador,114.0
Equatorial Guinea,105.0
Eritrea,108.0
Estonia,115.0
Ethiopia,106.0
Fiji,108.0
Finland,108.0
France,108.0
Gabon,103.0
Gambia,104.0
Georgia,110.0
Germany,106.0
Ghana,103.0
Greece,106.0
Grenada,104.0
Guatemala,111.0
Guinea,106.0
Guinea-Bissau,107.0
Guyana,109.0
Haiti,104.0
Honduras,107.0
Hungary,111.0
Iceland,104.0
India,105.0
Indonesia,105.0
Iran (Islamic Republic of),105.0
Iraq,110.0
Ireland,106.0
Israel,106.0
Italy,107.0
Jamaica,107.0
Japan,109.0
Jordan,104.0
Kazakhstan,118.0
Kenya,104.0
Kuwait,102.0
Kyrgyzstan,113.0
Lao People's Democratic Republic,104.0
Latin America and Caribbean,109.0
Latvia,115.0
Least Developed Countries/Territories,104.0
Lebanon,106.0
Lesotho,97.0
Liberia,104.0
Libya,107.0
Lithuania,117.0
Luxembourg,107.0
Madagascar,105.0
Malawi,100.0
Malaysia,106.0
Maldives,103.0
Mali,104.0
Malta,106.0
Mauritania,106.0
Mauritius,109.0
Mexico,106.0
Micronesia (Federated States of),103.0
Middle East and North Africa,105.0
Mongolia,112.0
Montenegro,107.0
Morocco,107.0
Mozambique,104.0
Myanmar,105.0
Namibia,102.0
Nepal,103.0
Netherlands,105.0
New Zealand,105.0
Nicaragua,109.0
Niger,102.0
Nigeria,103.0
Norway,106.0
Oman,107.0
Pakistan,103.0
Panama,107.0
Papua New Guinea,107.0
Paraguay,106.0
Peru,107.0
Philippines,110.0
Poland,112.0
Portugal,108.0
Qatar,99.0
Republic of Korea,109.0
Republic of Moldova,111.0
Romania,110.0
Russian Federation,119.0
Rwanda,105.0
Saint Lucia,108.0
Saint Vincent and the Grenadines,106.0
Samoa,109.0
Sao Tome and Principe,105.0
Saudi Arabia,103.0
Senegal,104.0
Serbia,106.0
Sierra Leone,103.0
Singapore,106.0
Slovakia,111.0
Slovenia,109.0
Solomon Islands,104.0
Somalia,106.0
South Africa,102.0
South Asia,104.0
Spain,108.0
Sri Lanka,109.0
State of Palestine,105.0
Sub-Saharan Africa,104.0
Sudan (pre-cession),106.0
Suriname,110.0
Swaziland,98.0
Sweden,105.0
Switzerland,106.0
Syrian Arab Republic,104.0
Tajikistan,110.0
Thailand,109.0
The former Yugoslav Republic of Macedonia,106.0
Timor-Leste,103.0
Togo,106.0
Tonga,108.0
Trinidad and Tobago,110.0
Tunisia,106.0
Turkey,106.0
Turkmenistan,114.0
Uganda,103.0
Ukraine,118.0
United Arab Emirates,103.0
United Kingdom,105.0
United Republic of Tanzania,103.0
United States,107.0
Uruguay,110.0
Uzbekistan,110.0
Vanuatu,106.0
Venezuela (Bolivarian Republic of),108.0
Viet Nam,105.0
Western and Central Africa,104.0
World,106.0
Yemen,105.0
Zambia,102.0
Zimbabwe,97.0
