Country or Area,Timely complementary feeding rate
Afghanistan,29.0
Albania,78.0
Algeria,39.0
Angola,77.0
Armenia,48.0
Azerbaijan,83.0
Bangladesh,71.0
Belarus,38.0
Benin,76.0
Bhutan,67.0
Bolivia (Plurinational State of),83.0
Bosnia and Herzegovina,29.0
Botswana,46.0
Brazil,70.0
Burkina Faso,61.0
Burundi,70.0
Cambodia,82.0
Cameroon,63.0
Cape Verde,80.0
Central African Republic,56.0
Chad,46.0
China,43.0
Colombia,86.0
Comoros,34.0
Congo,78.0
Costa Rica,92.0
Côte d'Ivoire,51.0
Cuba,77.0
Democratic People's Republic of Korea,31.0
Democratic Republic of the Congo,52.0
Djibouti,35.0
Dominican Republic,88.0
East Asia and Pacific,57.0
Eastern and Southern Africa,84.0
Ecuador,77.0
Egypt,70.0
El Salvador,72.0
Eritrea,43.0
Ethiopia,55.0
Gabon,62.0
Gambia,34.0
Georgia,43.0
Ghana,76.0
Guatemala,71.0
Guinea,32.0
Guinea-Bissau,43.0
Guyana,81.0
Haiti,90.0
Honduras,84.0
India,56.0
Indonesia,85.0
Iran (Islamic Republic of),68.0
Iraq,62.0
Jamaica,36.0
Jordan,84.0
Kazakhstan,50.0
Kenya,85.0
Kyrgyzstan,60.0
Lao People's Democratic Republic,41.0
Least Developed Countries/Territories,68.0
Lebanon,35.0
Lesotho,68.0
Liberia,51.0
Madagascar,86.0
Malawi,86.0
Maldives,91.0
Mali,25.0
Marshall Islands,77.0
Mauritania,61.0
Mexico,27.0
Mongolia,78.0
Montenegro,35.0
Morocco,66.0
Mozambique,86.0
Myanmar,81.0
Namibia,91.0
Nauru,65.0
Nepal,66.0
Nicaragua,76.0
Niger,65.0
Nigeria,76.0
Oman,91.0
Pakistan,36.0
Papua New Guinea,76.0
Paraguay,67.0
Peru,82.0
Philippines,90.0
Republic of Moldova,18.0
Romania,41.0
Rwanda,79.0
Samoa,71.0
Sao Tome and Principe,74.0
Senegal,61.0
Serbia,84.0
Sierra Leone,25.0
Solomon Islands,81.0
Somalia,16.0
South Africa,49.0
South Asia,55.0
South Sudan,21.0
Sri Lanka,87.0
Sub-Saharan Africa,71.0
Sudan,51.0
Suriname,58.0
Swaziland,66.0
Tajikistan,15.0
The former Yugoslav Republic of Macedonia,41.0
Timor-Leste,82.0
Togo,44.0
Trinidad and Tobago,83.0
Tunisia,61.0
Turkey,68.0
Turkmenistan,54.0
Tuvalu,40.0
Uganda,75.0
Ukraine,86.0
United Republic of Tanzania,92.0
Uruguay,35.0
Uzbekistan,47.0
Vanuatu,68.0
Viet Nam,50.0
Western and Central Africa,65.0
World,60.0
Yemen,76.0
Zambia,94.0
Zimbabwe,86.0
