Country or Area,Total fertility rate (TFR)_1970.0,Total fertility rate (TFR)_1990.0,Total fertility rate (TFR)_2011.0
Afghanistan,7.7,8.0,6.2
Albania,4.9,3.2,1.5
Algeria,7.4,4.7,2.2
Angola,7.3,7.2,5.3
Argentina,3.1,3.0,2.2
Armenia,3.2,2.5,1.7
Australia,2.7,1.9,2.0
Austria,2.3,1.5,1.4
Azerbaijan,4.6,3.0,2.2
Bahamas,3.5,2.6,1.9
Bahrain,6.5,3.7,2.5
Bangladesh,6.9,4.5,2.2
Barbados,3.1,1.7,1.6
Belarus,2.3,1.9,1.5
Belgium,2.2,1.6,1.8
Belize,6.3,4.5,2.7
Benin,6.7,6.7,5.2
Bhutan,6.7,5.8,2.3
Bolivia (Plurinational State of),6.6,4.9,3.3
Bosnia and Herzegovina,2.9,1.7,1.1
Botswana,6.6,4.7,2.7
Brazil,5.0,2.8,1.8
Brunei Darussalam,5.8,3.5,2.0
Bulgaria,2.2,1.7,1.5
Burkina Faso,6.6,6.8,5.8
Burundi,6.8,6.5,4.2
CEE/CIS,2.8,2.3,1.8
Cambodia,5.9,5.7,2.5
Cameroon,6.2,5.9,4.4
Canada,2.2,1.7,1.7
Cape Verde,6.9,5.3,2.3
Central African Republic,6.0,5.8,4.5
Chad,6.5,6.7,5.9
Chile,4.0,2.6,1.8
China,5.5,2.3,1.6
Colombia,5.6,3.1,2.3
Comoros,7.1,5.6,4.9
Congo,6.3,5.4,4.5
Costa Rica,5.0,3.2,1.8
Croatia,2.0,1.7,1.5
Cuba,4.0,1.8,1.5
Cyprus,2.6,2.4,1.5
Czech Republic,2.0,1.8,1.5
Côte d'Ivoire,7.9,6.3,4.3
Democratic People's Republic of Korea,4.0,2.4,2.0
Democratic Republic of the Congo,6.2,7.1,5.7
Denmark,2.1,1.7,1.9
Djibouti,7.4,6.2,3.7
Dominican Republic,6.2,3.5,2.5
East Asia and Pacific,5.6,2.6,1.8
Eastern and Southern Africa,6.8,6.0,4.5
Ecuador,6.3,3.7,2.4
Egypt,5.9,4.4,2.7
El Salvador,6.2,4.0,2.2
Equatorial Guinea,5.7,5.9,5.1
Eritrea,6.6,6.2,4.4
Estonia,2.1,1.9,1.7
Ethiopia,6.8,7.1,4.0
Fiji,4.5,3.4,2.6
Finland,1.9,1.7,1.9
France,2.5,1.8,2.0
Gabon,4.7,5.2,3.2
Gambia,6.1,6.1,4.8
Georgia,2.6,2.2,1.5
Germany,2.0,1.4,1.4
Ghana,7.0,5.6,4.1
Greece,2.4,1.4,1.5
Grenada,4.6,3.8,2.2
Guatemala,6.2,5.6,3.9
Guinea,6.8,6.7,5.2
Guinea-Bissau,6.1,6.6,5.0
Guyana,5.6,2.6,2.2
Haiti,5.8,5.4,3.3
Honduras,7.3,5.1,3.1
Hungary,2.0,1.8,1.4
Iceland,3.0,2.2,2.1
India,5.5,3.9,2.6
Indonesia,5.5,3.1,2.1
Iran (Islamic Republic of),6.5,4.8,1.6
Iraq,7.4,6.0,4.6
Ireland,3.8,2.0,2.1
Israel,3.8,3.0,2.9
Italy,2.5,1.3,1.4
Jamaica,5.5,2.9,2.3
Japan,2.1,1.6,1.4
Jordan,7.9,5.8,3.0
Kazakhstan,3.5,2.8,2.5
Kenya,8.1,6.0,4.7
Kuwait,7.2,2.6,2.3
Kyrgyzstan,4.9,3.9,2.7
Lao People's Democratic Republic,6.0,6.2,2.7
Latin America and Caribbean,5.3,3.2,2.2
Latvia,1.9,1.9,1.5
Least Developed Countries/Territories,6.7,5.9,4.2
Lebanon,5.1,3.1,1.8
Lesotho,5.8,4.9,3.1
Liberia,6.7,6.5,5.2
Libya,7.6,4.8,2.5
Lithuania,2.3,2.0,1.5
Luxembourg,2.0,1.6,1.7
Madagascar,7.3,6.3,4.6
Malawi,7.3,6.8,6.0
Malaysia,4.9,3.5,2.6
Maldives,7.2,6.1,1.7
