Country or Area,Under-five mortality rate (U5MR)_Deaths per 1000 live births_1970.0_Total,Under-five mortality rate (U5MR)_Deaths per 1000 live births_1990.0_Total,Under-five mortality rate (U5MR)_Deaths per 1000 live births_2000.0_Total,Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Female,Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Male,Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Total,Under-five mortality rate (U5MR)_Rank_2011.0_Total
Afghanistan,309.0,192.0,136.0,99.0,103.0,101.0,23.0
Albania,,41.0,26.0,14.0,15.0,14.0,122.0
Algeria,199.0,66.0,46.0,28.0,32.0,30.0,74.0
Andorra,,8.0,5.0,3.0,4.0,3.0,184.0
Angola,,243.0,199.0,150.0,165.0,158.0,8.0
Antigua and Barbuda,,27.0,15.0,7.0,9.0,8.0,145.0
Argentina,58.0,28.0,20.0,13.0,16.0,14.0,122.0
Armenia,,47.0,30.0,15.0,19.0,18.0,102.0
Australia,21.0,9.0,6.0,4.0,5.0,5.0,165.0
Austria,29.0,9.0,6.0,4.0,5.0,4.0,169.0
Azerbaijan,,95.0,69.0,43.0,47.0,45.0,61.0
Bahamas,31.0,22.0,17.0,15.0,17.0,16.0,107.0
Bahrain,81.0,21.0,12.0,10.0,10.0,10.0,135.0
Bangladesh,226.0,139.0,84.0,44.0,48.0,46.0,60.0
Barbados,47.0,18.0,17.0,18.0,22.0,20.0,98.0
Belarus,,17.0,14.0,5.0,6.0,6.0,157.0
Belgium,24.0,10.0,6.0,4.0,5.0,4.0,169.0
Belize,,44.0,26.0,15.0,19.0,17.0,106.0
Benin,261.0,177.0,140.0,103.0,109.0,106.0,20.0
Bhutan,286.0,138.0,89.0,50.0,57.0,54.0,51.0
Bolivia (Plurinational State of),226.0,120.0,81.0,48.0,54.0,51.0,55.0
Bosnia and Herzegovina,,19.0,10.0,7.0,9.0,8.0,145.0
Botswana,131.0,53.0,81.0,24.0,28.0,26.0,80.0
Brazil,129.0,58.0,36.0,14.0,17.0,16.0,107.0
Brunei Darussalam,,12.0,10.0,7.0,8.0,7.0,151.0
Bulgaria,39.0,22.0,21.0,11.0,13.0,12.0,128.0
Burkina Faso,291.0,208.0,182.0,142.0,151.0,146.0,9.0
Burundi,229.0,183.0,165.0,133.0,145.0,139.0,10.0
CEE/CIS,88.0,48.0,35.0,19.0,23.0,21.0,
Cambodia,,117.0,102.0,37.0,47.0,43.0,62.0
Cameroon,206.0,145.0,140.0,120.0,135.0,127.0,11.0
Canada,22.0,8.0,6.0,5.0,6.0,6.0,157.0
Cape Verde,160.0,58.0,39.0,20.0,23.0,21.0,91.0
Central African Republic,226.0,169.0,172.0,157.0,170.0,164.0,6.0
Chad,257.0,208.0,189.0,160.0,177.0,169.0,4.0
Chile,82.0,19.0,11.0,8.0,10.0,9.0,141.0
China,117.0,49.0,35.0,14.0,15.0,15.0,115.0
Colombia,105.0,34.0,25.0,16.0,20.0,18.0,102.0
Comoros,219.0,122.0,100.0,74.0,85.0,79.0,33.0
Congo,152.0,119.0,109.0,94.0,103.0,99.0,25.0
Cook Islands,61.0,19.0,17.0,8.0,11.0,10.0,135.0
Costa Rica,71.0,17.0,13.0,9.0,11.0,10.0,135.0
Croatia,,13.0,8.0,5.0,6.0,5.0,165.0
Cuba,41.0,13.0,9.0,5.0,6.0,6.0,157.0
Cyprus,,11.0,7.0,3.0,3.0,3.0,184.0
Czech Republic,,14.0,7.0,4.0,4.0,4.0,169.0
Côte d'Ivoire,233.0,151.0,139.0,105.0,125.0,115.0,17.0
Democratic People's Republic of Korea,,45.0,58.0,32.0,35.0,33.0,69.0
Democratic Republic of the Congo,244.0,181.0,181.0,158.0,178.0,168.0,5.0
Denmark,16.0,9.0,6.0,3.0,4.0,4.0,169.0
Djibouti,,122.0,106.0,84.0,95.0,90.0,26.0
Dominica,54.0,17.0,15.0,11.0,13.0,12.0,128.0
Dominican Republic,122.0,58.0,39.0,23.0,27.0,25.0,83.0
East Asia and Pacific,120.0,55.0,39.0,19.0,21.0,20.0,
Eastern and Southern Africa,214.0,162.0,135.0,79.0,89.0,84.0,
Ecuador,138.0,52.0,34.0,21.0,25.0,23.0,86.0
Egypt,237.0,86.0,44.0,20.0,22.0,21.0,91.0
El Salvador,158.0,60.0,34.0,14.0,17.0,15.0,115.0
Equatorial Guinea,,190.0,152.0,112.0,124.0,118.0,16.0
Eritrea,247.0,138.0,98.0,61.0,74.0,68.0,41.0
Estonia,,20.0,11.0,3.0,4.0,4.0,169.0
Ethiopia,230.0,198.0,139.0,72.0,82.0,77.0,36.0
Fiji,53.0,30.0,22.0,15.0,18.0,16.0,107.0
Finland,16.0,7.0,4.0,3.0,3.0,3.0,184.0
France,18.0,9.0,5.0,4.0,5.0,4.0,169.0
Gabon,,94.0,82.0,59.0,72.0,66.0,44.0
Gambia,286.0,165.0,130.0,94.0,107.0,101.0,23.0
Georgia,,47.0,33.0,18.0,23.0,21.0,91.0
Germany,26.0,9.0,5.0,4.0,4.0,4.0,169.0
Ghana,183.0,121.0,99.0,72.0,83.0,78.0,34.0
Greece,38.0,13.0,8.0,4.0,5.0,4.0,169.0
Grenada,,21.0,16.0,12.0,13.0,13.0,125.0
Guatemala,172.0,78.0,48.0,28.0,33.0,30.0,74.0
Guinea,316.0,228.0,175.0,123.0,128.0,126.0,12.0
Guinea-Bissau,242.0,210.0,186.0,147.0,174.0,161.0,7.0
Guyana,78.0,63.0,49.0,32.0,40.0,36.0,68.0
Haiti,229.0,143.0,102.0,66.0,74.0,70.0,40.0
Honduras,156.0,55.0,35.0,20.0,23.0,21.0,91.0
Hungary,43.0,19.0,11.0,6.0,7.0,6.0,157.0
Iceland,16.0,6.0,4.0,2.0,3.0,3.0,184.0
India,189.0,114.0,88.0,64.0,59.0,61.0,49.0
Indonesia,164.0,82.0,53.0,29.0,34.0,32.0,71.0
Iran (Islamic Republic of),203.0,61.0,44.0,25.0,25.0,25.0,83.0
Iraq,115.0,46.0,43.0,35.0,41.0,38.0,67.0
Ireland,23.0,9.0,7.0,4.0,4.0,4.0,169.0
Israel,,12.0,7.0,4.0,5.0,4.0,169.0
Italy,33.0,10.0,6.0,3.0,4.0,4.0,169.0
Jamaica,63.0,35.0,26.0,16.0,21.0,18.0,102.0
Japan,18.0,6.0,5.0,3.0,4.0,3.0,184.0
Jordan,97.0,37.0,28.0,19.0,22.0,21.0,91.0
Kazakhstan,79.0,57.0,42.0,24.0,32.0,28.0,78.0
Kenya,153.0,98.0,113.0,67.0,78.0,73.0,38.0
Kiribati,154.0,88.0,65.0,45.0,50.0,47.0,58.0
Kuwait,60.0,17.0,13.0,10.0,12.0,11.0,133.0
Kyrgyzstan,143.0,70.0,47.0,28.0,34.0,31.0,72.0
Lao People's Democratic Republic,,148.0,81.0,39.0,44.0,42.0,63.0
Latin America and Caribbean,117.0,53.0,34.0,17.0,21.0,19.0,
Latvia,,21.0,17.0,8.0,9.0,8.0,145.0
Least Developed Countries/Territories,238.0,171.0,136.0,93.0,102.0,98.0,
Lebanon,57.0,33.0,19.0,9.0,10.0,9.0,141.0
Lesotho,177.0,88.0,117.0,79.0,93.0,86.0,29.0
Liberia,280.0,241.0,164.0,74.0,83.0,78.0,34.0
Libya,139.0,44.0,27.0,16.0,17.0,16.0,107.0
Lithuania,26.0,17.0,12.0,5.0,6.0,6.0,157.0
Luxembourg,22.0,8.0,5.0,3.0,3.0,3.0,184.0
Madagascar,176.0,161.0,104.0,58.0,65.0,62.0,47.0
Malawi,334.0,227.0,164.0,79.0,87.0,83.0,31.0
Malaysia,54.0,17.0,11.0,6.0,7.0,7.0,151.0
Maldives,266.0,105.0,53.0,10.0,12.0,11.0,133.0
Mali,373.0,257.0,214.0,169.0,182.0,176.0,3.0
Malta,27.0,11.0,8.0,5.0,7.0,6.0,157.0
Marshall Islands,98.0,52.0,38.0,23.0,29.0,26.0,80.0
Mauritania,197.0,125.0,118.0,104.0,120.0,112.0,18.0
Mauritius,85.0,24.0,19.0,14.0,16.0,15.0,115.0
Mexico,108.0,49.0,29.0,14.0,17.0,16.0,107.0
Micronesia (Federated States of),,56.0,49.0,36.0,47.0,42.0,63.0
Middle East and North Africa,190.0,72.0,52.0,34.0,38.0,36.0,
Monaco,,8.0,5.0,3.0,4.0,4.0,169.0
Mongolia,,107.0,63.0,26.0,35.0,31.0,72.0
Montenegro,,18.0,13.0,7.0,8.0,7.0,151.0
Morocco,177.0,81.0,53.0,30.0,35.0,33.0,69.0
Mozambique,275.0,226.0,172.0,99.0,107.0,103.0,22.0
Myanmar,172.0,107.0,84.0,56.0,69.0,62.0,47.0
Namibia,113.0,73.0,74.0,38.0,45.0,42.0,63.0
Nauru,,40.0,40.0,24.0,56.0,40.0,66.0
Nepal,249.0,135.0,83.0,47.0,49.0,48.0,57.0
Netherlands,16.0,8.0,6.0,4.0,4.0,4.0,169.0
New Zealand,21.0,11.0,7.0,5.0,7.0,6.0,157.0
Nicaragua,161.0,66.0,42.0,22.0,29.0,26.0,80.0
Niger,324.0,314.0,216.0,122.0,127.0,125.0,13.0
Nigeria,259.0,214.0,188.0,119.0,129.0,124.0,14.0
Niue,,14.0,29.0,21.0,21.0,21.0,91.0
Norway,16.0,8.0,5.0,3.0,3.0,3.0,184.0
Oman,195.0,48.0,22.0,8.0,9.0,9.0,141.0
Pakistan,182.0,122.0,95.0,68.0,76.0,72.0,39.0
Palau,,32.0,25.0,14.0,23.0,19.0,100.0
Panama,62.0,33.0,26.0,18.0,21.0,20.0,98.0
Papua New Guinea,151.0,88.0,72.0,55.0,60.0,58.0,50.0
Paraguay,75.0,53.0,35.0,20.0,25.0,22.0,87.0
Peru,158.0,75.0,39.0,17.0,20.0,18.0,102.0
Philippines,88.0,57.0,39.0,22.0,29.0,25.0,83.0
Poland,36.0,17.0,10.0,5.0,6.0,6.0,157.0
Portugal,66.0,15.0,7.0,3.0,4.0,3.0,184.0
Qatar,57.0,20.0,13.0,7.0,8.0,8.0,145.0
Republic of Korea,49.0,8.0,6.0,4.0,5.0,5.0,165.0
Republic of Moldova,70.0,35.0,24.0,15.0,17.0,16.0,107.0
Romania,64.0,37.0,27.0,11.0,14.0,13.0,125.0
Russian Federation,40.0,27.0,21.0,10.0,13.0,12.0,128.0
Rwanda,223.0,156.0,183.0,51.0,57.0,54.0,51.0
Saint Kitts and Nevis,71.0,28.0,16.0,6.0,8.0,7.0,151.0
Saint Lucia,63.0,23.0,18.0,14.0,17.0,16.0,107.0
Saint Vincent and the Grenadines,96.0,27.0,22.0,19.0,23.0,21.0,91.0
Samoa,,30.0,23.0,16.0,21.0,19.0,100.0
San Marino,,12.0,5.0,2.0,2.0,2.0,195.0
Sao Tome and Principe,96.0,96.0,93.0,86.0,92.0,89.0,28.0
Saudi Arabia,,43.0,21.0,8.0,10.0,9.0,141.0
Senegal,295.0,136.0,130.0,60.0,69.0,65.0,45.0
Serbia,,29.0,13.0,6.0,8.0,7.0,151.0
Seychelles,66.0,17.0,14.0,13.0,15.0,14.0,122.0
Sierra Leone,342.0,267.0,241.0,176.0,194.0,185.0,1.0
Singapore,27.0,8.0,4.0,2.0,3.0,3.0,184.0
Slovakia,,18.0,12.0,7.0,9.0,8.0,145.0
Slovenia,,10.0,5.0,3.0,3.0,3.0,184.0
Solomon Islands,102.0,42.0,31.0,22.0,21.0,22.0,87.0
Somalia,,180.0,180.0,170.0,190.0,180.0,2.0
South Africa,,62.0,74.0,44.0,50.0,47.0,58.0
South Asia,195.0,119.0,89.0,63.0,61.0,62.0,
South Sudan,302.0,217.0,165.0,119.0,122.0,121.0,15.0
Spain,29.0,11.0,7.0,4.0,5.0,4.0,169.0
Sri Lanka,76.0,29.0,19.0,11.0,13.0,12.0,128.0
State of Palestine,,43.0,30.0,21.0,23.0,22.0,87.0
Sub-Saharan Africa,236.0,178.0,154.0,103.0,114.0,109.0,
Sudan,148.0,123.0,104.0,81.0,91.0,86.0,29.0
Suriname,,52.0,40.0,26.0,33.0,30.0,74.0
Swaziland,181.0,83.0,114.0,94.0,113.0,104.0,21.0
Sweden,13.0,7.0,4.0,3.0,3.0,3.0,184.0
Switzerland,18.0,8.0,6.0,4.0,5.0,4.0,169.0
Syrian Arab Republic,113.0,36.0,23.0,14.0,16.0,15.0,115.0
Tajikistan,,114.0,95.0,56.0,70.0,63.0,46.0
Thailand,102.0,35.0,19.0,11.0,13.0,12.0,128.0
The former Yugoslav Republic of Macedonia,,38.0,16.0,9.0,11.0,10.0,135.0
Timor-Leste,,180.0,109.0,51.0,57.0,54.0,51.0
Togo,220.0,147.0,128.0,102.0,118.0,110.0,19.0
Tonga,43.0,25.0,20.0,13.0,18.0,15.0,115.0
Trinidad and Tobago,52.0,37.0,32.0,24.0,31.0,28.0,78.0
Tunisia,181.0,51.0,30.0,15.0,18.0,16.0,107.0
Turkey,194.0,72.0,35.0,14.0,16.0,15.0,115.0
Turkmenistan,,94.0,71.0,48.0,57.0,53.0,54.0
Tuvalu,,58.0,43.0,27.0,33.0,30.0,74.0
Uganda,190.0,178.0,141.0,83.0,97.0,90.0,26.0
Ukraine,34.0,19.0,19.0,9.0,11.0,10.0,135.0
United Arab Emirates,92.0,22.0,12.0,6.0,7.0,7.0,151.0
United Kingdom,21.0,9.0,7.0,5.0,6.0,5.0,165.0
United Republic of Tanzania,208.0,158.0,126.0,65.0,70.0,68.0,41.0
United States,23.0,11.0,9.0,7.0,8.0,8.0,145.0
Uruguay,55.0,23.0,17.0,9.0,11.0,10.0,135.0
Uzbekistan,,75.0,61.0,42.0,55.0,49.0,56.0
Vanuatu,102.0,39.0,23.0,12.0,14.0,13.0,125.0
