Country or Area,Vitamin A supplementation coverage (full)
Afghanistan,100.0
Angola,55.0
Bangladesh,94.0
Benin,98.0
Bolivia (Plurinational State of),21.0
Botswana,75.0
Burkina Faso,87.0
Burundi,83.0
Cambodia,92.0
Central African Republic,0.0
Côte d'Ivoire,100.0
Democratic People's Republic of Korea,100.0
Democratic Republic of the Congo,98.0
Djibouti,95.0
East Asia and Pacific,85.0
Eastern and Southern Africa,72.0
Eritrea,46.0
Ethiopia,71.0
Gambia,93.0
Guatemala,28.0
Guinea,88.0
Guinea-Bissau,100.0
Haiti,36.0
India,66.0
Indonesia,76.0
Lao People's Democratic Republic,92.0
Least Developed Countries/Territories,82.0
Liberia,96.0
Madagascar,91.0
Malawi,96.0
Mali,96.0
Mauritania,100.0
Mongolia,85.0
Mozambique,100.0
Myanmar,96.0
Nepal,91.0
Nicaragua,2.0
Niger,95.0
Nigeria,73.0
Pakistan,90.0
Papua New Guinea,12.0
Philippines,91.0
Rwanda,76.0
Sao Tome and Principe,44.0
Sierra Leone,99.0
Somalia,12.0
South Africa,44.0
South Asia,73.0
Sub-Saharan Africa,78.0
Swaziland,41.0
Tajikistan,99.0
Timor-Leste,59.0
Togo,22.0
Uganda,60.0
United Republic of Tanzania,97.0
Uzbekistan,95.0
Viet Nam,99.0
Western and Central Africa,83.0
World,75.0
Yemen,9.0
Zambia,72.0
Zimbabwe,56.0
