Proportion of 1 year-old children fully immunised against polio (OPV) , Proportion of 1 year-old children fully immunised against DPT
Proportion of 1 year-old children immunised against DPT1 , Proportion of 1 year-old children fully immunised against DPT
Population size_Thousand_Total <5 yr , Annual number of births (Births)
Institutional deliveries , Proportion of births attended by skilled health personnel_Percent_Total
Proportion of 1 year-old children immunised against measles , Proportion of 1 year-old children fully immunised against DPT
Proportion of 1 year-old children fully immunised against polio (OPV) , Proportion of 1 year-old children immunised against DPT1
Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Male , Infant mortality rate (IMR)_2011.0
Proportion of 1 year-old children fully immunised against polio (OPV) , Proportion of 1 year-old children immunised against measles
Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Total , Infant mortality rate (IMR)_2011.0
Proportion of 1 year-old children fully immunised against Hepatitis B , Proportion of 1 year-old children fully immunised against DPT
Total fertility rate (TFR)_1990.0 , Crude birth rate (CBR)_1990.0
Total fertility rate (TFR)_2011.0 , Crude birth rate (CBR)_2011.0
Total fertility rate (TFR)_1970.0 , Crude birth rate (CBR)_1970.0
Proportion of 1 year-old children immunised against DPT1 , Proportion of 1 year-old children immunised against measles
Average annual rate of reduction of under-five mortality rate_2000-2011 , Reduction in under-five mortality rate_2000.0
Population size_Thousand_Total <18 yr , Annual number of births (Births)
Proportion of 1 year-old children fully immunised against Hepatitis B , Proportion of 1 year-old children immunised against DPT1
Under-five mortality rate (U5MR)_Deaths per 1000 live births_2011.0_Female , Infant mortality rate (IMR)_2011.0
Proportion of 1 year-old children fully immunised against Hepatitis B , Proportion of 1 year-old children fully immunised against polio (OPV)
Proportion of births attended by skilled health personnel_Percent_Urban , Antenatal care coverage (ANC)
Proportion of 1 year-old children fully immunised against Hepatitis B , Proportion of 1 year-old children immunised against measles
Institutional deliveries , Proportion of births attended by skilled health personnel_Percent_Rural
Under-five mortality rate (U5MR)_Deaths per 1000 live births_1990.0_Total , Infant mortality rate (IMR)_1990.0
Average annual rate of reduction of under-five mortality rate_1990-2011 , Reduction in under-five mortality rate_1990.0
Neonatal mortality rate , Infant mortality rate (IMR)_2011.0
Proportion of births attended by skilled health personnel_Percent_Richest 20% , Antenatal care coverage (ANC)
Proportion of 1 year-old children immunised against TB (BCG) , Proportion of 1 year-old children immunised against DPT1
Population size_Thousand_Total 10-19 yr , Annual number of births (Births)
Average annual rate of reduction of under-five mortality rate_1990-2000 , Reduction in under-five mortality rate_1990.0
